shift,state_in,state_out,cost
1,0,0,500.0
1,1,0,560.0
1,2,0,600.0
1,0,1,560.0
1,1,1,500.0
1,2,1,600.0
1,0,2,850.0
1,1,2,850.0
1,2,2,750.0
2,0,0,500.0
2,1,0,560.0
2,2,0,600.0
2,0,1,560.0
2,1,1,500.0
2,2,1,600.0
2,0,2,850.0
2,1,2,850.0
2,2,2,750.0
3,0,0,450.0
3,1,0,510.0
3,2,0,550.0
3,0,1,510.0
3,1,1,450.0
3,2,1,550.0
3,0,2,775.0
3,1,2,775.0
3,2,2,675.0
4,0,0,450.0
4,1,0,510.0
4,2,0,550.0
4,0,1,510.0
4,1,1,450.0
4,2,1,550.0
4,0,2,775.0
4,1,2,775.0
4,2,2,675.0
5,0,0,400.0
5,1,0,460.0
5,2,0,500.0
5,0,1,460.0
5,1,1,400.0
5,2,1,500.0
5,0,2,700.0
5,1,2,700.0
5,2,2,600.0
6,0,0,400.0
6,1,0,460.0
6,2,0,500.0
6,0,1,460.0
6,1,1,400.0
6,2,1,500.0
6,0,2,700.0
6,1,2,700.0
6,2,2,600.0
7,0,0,350.0
7,1,0,410.0
7,2,0,450.0
7,0,1,410.0
7,1,1,350.0
7,2,1,450.0
7,0,2,625.0
7,1,2,625.0
7,2,2,525.0
8,0,0,350.0
8,1,0,410.0
8,2,0,450.0
8,0,1,410.0
8,1,1,350.0
8,2,1,450.0
8,0,2,625.0
8,1,2,625.0
8,2,2,525.0
9,0,0,300.0
9,1,0,360.0
9,2,0,400.0
9,0,1,360.0
9,1,1,300.0
9,2,1,400.0
9,0,2,550.0
9,1,2,550.0
9,2,2,450.0
10,0,0,300.0
10,1,0,360.0
10,2,0,400.0
10,0,1,360.0
10,1,1,300.0
10,2,1,400.0
10,0,2,550.0
10,1,2,550.0
10,2,2,450.0
11,0,0,250.0
11,1,0,310.0
11,2,0,350.0
11,0,1,310.0
11,1,1,250.0
11,2,1,350.0
11,0,2,475.0
11,1,2,475.0
11,2,2,375.0
12,0,0,250.0
12,1,0,310.0
12,2,0,350.0
12,0,1,310.0
12,1,1,250.0
12,2,1,350.0
12,0,2,475.0
12,1,2,475.0
12,2,2,375.0
13,0,0,200.0
13,1,0,260.0
13,2,0,300.0
13,0,1,260.0
13,1,1,200.0
13,2,1,300.0
13,0,2,400.0
13,1,2,400.0
13,2,2,300.0
14,0,0,200.0
14,1,0,260.0
14,2,0,300.0
14,0,1,260.0
14,1,1,200.0
14,2,1,300.0
14,0,2,400.0
14,1,2,400.0
14,2,2,300.0
15,0,0,150.0
15,1,0,210.0
15,2,0,250.0
15,0,1,210.0
15,1,1,150.0
15,2,1,250.0
15,0,2,325.0
15,1,2,325.0
15,2,2,225.0
16,0,0,150.0
16,1,0,210.0
16,2,0,250.0
16,0,1,210.0
16,1,1,150.0
16,2,1,250.0
16,0,2,325.0
16,1,2,325.0
16,2,2,225.0
17,0,0,100.0
17,1,0,160.0
17,2,0,200.0
17,0,1,160.0
17,1,1,100.0
17,2,1,200.0
17,0,2,250.0
17,1,2,250.0
17,2,2,150.0
18,0,0,100.0
18,1,0,160.0
18,2,0,200.0
18,0,1,160.0
18,1,1,100.0
18,2,1,200.0
18,0,2,250.0
18,1,2,250.0
18,2,2,150.0
19,0,0,50.0
19,1,0,110.0
19,2,0,150.0
19,0,1,110.0
19,1,1,50.0
19,2,1,150.0
19,0,2,175.0
19,1,2,175.0
19,2,2,75.0
20,0,0,50.0
20,1,0,110.0
20,2,0,150.0
20,0,1,110.0
20,1,1,50.0
20,2,1,150.0
20,0,2,175.0
20,1,2,175.0
20,2,2,75.0
