id_edge,source_node,target_node,cost
1,1,2,3661.0
2,3,2,2078.0
3,3,1,2294.0
4,4,3,1586.0
5,4,2,2865.0
6,4,1,2635.0
7,5,3,3282.0
8,5,2,3158.0
9,5,4,3018.0
10,6,2,4147.0
11,6,4,3130.0
12,6,5,3602.0
13,7,6,2331.0
14,7,4,2468.0
15,7,5,4790.0
16,8,4,4506.0
17,8,6,2700.0
18,8,2,1944.0
19,9,3,3153.0
20,9,2,3422.0
21,9,5,2779.0
22,10,9,2666.0
23,10,5,3776.0
24,10,3,4195.0
25,11,6,3511.0
26,11,8,2395.0
27,11,4,1611.0
28,12,2,3257.0
29,12,9,1719.0
30,12,3,2273.0
31,13,4,4374.0
32,13,1,2037.0
33,13,3,1406.0
34,14,1,3450.0
35,14,4,3164.0
36,14,2,1585.0
37,15,3,2359.0
38,15,2,3747.0
39,15,12,2975.0
40,16,1,1556.0
41,16,2,3708.0
42,16,3,1483.0
43,17,2,3707.0
44,17,8,3668.0
45,17,6,2054.0
46,18,14,3598.0
47,18,2,4313.0
48,18,1,1756.0
49,19,2,1795.0
50,19,1,1178.0
51,19,18,4705.0
52,20,4,2566.0
53,20,6,1263.0
54,20,11,1531.0
55,21,10,2039.0
56,21,9,3384.0
57,21,5,4317.0
58,22,3,3921.0
59,22,2,4017.0
60,22,15,2655.0
61,23,13,4998.0
62,23,3,4087.0
63,23,4,3804.0
64,24,8,1697.0
65,24,2,2888.0
66,24,4,2688.0
67,25,13,3225.0
68,25,4,1642.0
69,25,1,4780.0
70,26,7,2777.0
71,26,5,4829.0
72,26,6,1730.0
73,27,24,2298.0
74,27,2,3441.0
75,27,4,3463.0
76,28,1,3080.0
77,28,4,1091.0
78,28,14,2732.0
79,29,3,1988.0
80,29,9,4058.0
81,29,10,3214.0
82,30,14,1013.0
83,30,1,1743.0
84,30,28,3382.0
85,31,6,2331.0
86,31,17,1839.0
87,31,8,4393.0
88,32,5,1063.0
89,32,6,1376.0
90,32,26,1504.0
91,33,22,3787.0
92,33,15,1340.0
93,33,3,4264.0
94,34,2,4381.0
95,34,1,4455.0
96,34,19,3702.0
97,35,33,3311.0
98,35,3,3167.0
99,35,22,1349.0
100,36,29,2141.0
101,36,9,1974.0
102,36,10,1178.0
103,37,2,1479.0
104,37,15,2766.0
105,37,22,2528.0
106,38,28,3800.0
107,38,14,2051.0
108,38,30,3878.0
109,39,5,2322.0
110,39,9,4231.0
111,39,2,1735.0
112,40,22,4655.0
113,40,33,4226.0
114,40,35,2638.0
115,41,17,3704.0
116,41,31,2566.0
117,41,6,4896.0
118,42,22,3855.0
119,42,33,3034.0
120,42,40,1633.0
121,43,14,2492.0
122,43,18,4742.0
123,43,1,1137.0
124,44,10,3667.0
125,44,29,3460.0
126,44,36,4330.0
127,45,39,3809.0
128,45,5,4607.0
129,45,9,2010.0
130,46,37,3890.0
131,46,2,1534.0
132,46,15,4092.0
133,47,6,3917.0
134,47,7,2031.0
135,47,26,4693.0
136,48,2,2376.0
137,48,17,4262.0
138,48,6,3969.0
139,49,3,4250.0
140,49,15,4727.0
141,49,12,2751.0
142,50,12,2078.0
143,50,3,2598.0
144,50,49,3413.0
145,51,18,2226.0
146,51,43,2865.0
147,51,14,1144.0
148,52,18,1441.0
149,52,1,1991.0
150,52,43,1470.0
151,53,35,1290.0
152,53,40,4119.0
153,53,33,3590.0
154,54,4,2850.0
155,54,25,1410.0
156,54,13,2611.0
157,55,13,4655.0
158,55,23,2729.0
159,55,4,2471.0
160,56,54,3593.0
161,56,4,2443.0
162,56,25,3481.0
163,57,38,4903.0
164,57,14,1127.0
165,57,30,2706.0
166,58,18,2039.0
167,58,52,1354.0
168,58,43,4899.0
169,59,4,3488.0
170,59,27,4980.0
171,59,2,3963.0
172,60,35,4916.0
173,60,3,1509.0
174,60,22,3887.0
175,61,4,2744.0
176,61,28,2828.0
177,61,1,2737.0
178,62,11,2132.0
179,62,6,1751.0
180,62,8,1952.0
181,63,26,4780.0
182,63,47,2203.0
183,63,7,1611.0
184,64,15,2167.0
185,64,2,4723.0
186,64,12,4677.0
187,65,62,3071.0
188,65,11,3776.0
189,65,6,4039.0
190,66,39,4004.0
191,66,45,4175.0
192,66,9,2465.0
193,67,51,4194.0
194,67,18,4192.0
195,67,43,1700.0
196,68,55,3507.0
197,68,13,4566.0
198,68,23,3531.0
199,69,47,1478.0
200,69,63,1293.0
201,69,26,4321.0
202,70,33,3489.0
203,70,3,4218.0
204,70,35,4362.0
205,71,9,3850.0
206,71,10,2889.0
207,71,36,3468.0
208,72,71,4016.0
209,72,36,3404.0
210,72,9,4506.0
211,73,16,2332.0
212,73,2,2670.0
213,73,3,2548.0
214,74,25,3193.0
215,74,54,1571.0
216,74,56,4055.0
217,75,11,2066.0
218,75,8,2690.0
219,75,4,1709.0
220,76,18,1387.0
221,76,67,3932.0
222,76,51,2201.0
223,77,4,3775.0
224,77,24,1654.0
225,77,27,2968.0
226,78,46,3898.0
227,78,15,3300.0
228,78,37,2113.0
229,79,60,1844.0
230,79,35,2461.0
231,79,3,2201.0
232,80,74,1147.0
233,80,25,3001.0
234,80,54,3780.0
235,81,45,1168.0
236,81,39,3604.0
237,81,5,1154.0
238,82,37,1948.0
239,82,2,1189.0
240,82,46,2721.0
241,83,1,1995.0
242,83,13,1671.0
243,83,25,4824.0
244,84,77,2792.0
245,84,24,2706.0
246,84,27,3208.0
247,85,6,1872.0
248,85,62,4681.0
249,85,65,3924.0
250,86,3,4986.0
251,86,2,2041.0
252,86,22,2301.0
253,87,62,4774.0
254,87,85,4994.0
255,87,6,3253.0
256,88,28,4218.0
257,88,61,2601.0
258,88,4,4102.0
259,89,2,2197.0
260,89,48,4456.0
261,89,6,1015.0
262,90,5,4409.0
263,90,7,3786.0
264,90,4,4675.0
265,91,15,3891.0
266,91,64,1759.0
267,91,12,4094.0
268,92,68,3807.0
269,92,13,2927.0
270,92,23,1548.0
271,93,71,3451.0
272,93,10,1311.0
273,93,36,4409.0
274,94,54,4944.0
275,94,13,4285.0
276,94,4,2139.0
277,95,11,2790.0
278,95,20,2639.0
279,95,6,2337.0
280,96,14,1567.0
281,96,51,2720.0
282,96,43,3281.0
283,97,4,1909.0
284,97,28,1991.0
285,97,88,1133.0
286,98,68,1678.0
287,98,13,3716.0
288,98,92,3834.0
289,99,9,3049.0
290,99,39,1927.0
291,99,66,4017.0
292,100,25,2669.0
293,100,54,2678.0
294,100,80,4578.0
295,101,7,1619.0
296,101,90,2710.0
297,101,5,3482.0
298,102,84,4959.0
299,102,27,3395.0
300,102,77,2761.0
301,103,14,4797.0
302,103,57,3800.0
303,103,38,4924.0
304,104,18,4780.0
305,104,2,4664.0
306,104,19,1261.0
307,105,13,4899.0
308,105,23,1158.0
309,105,92,2462.0
310,106,15,3503.0
311,106,91,1918.0
312,106,12,2867.0
313,107,42,3007.0
314,107,40,4924.0
315,107,22,4278.0
316,108,61,4564.0
317,108,88,1702.0
318,108,28,3180.0
319,109,25,1395.0
320,109,1,4809.0
321,109,83,4397.0
322,110,27,2127.0
323,110,59,3504.0
324,110,4,1511.0
325,111,33,1556.0
326,111,40,3797.0
327,111,42,2216.0
328,112,44,4717.0
329,112,10,2386.0
330,112,29,4537.0
331,113,58,2602.0
332,113,52,2882.0
333,113,43,4520.0
334,114,23,4438.0
335,114,92,3399.0
336,114,105,4745.0
337,115,3,4906.0
338,115,12,1187.0
339,115,9,3977.0
340,116,85,4920.0
341,116,6,3508.0
342,116,87,1442.0
343,117,1,2690.0
344,117,28,3353.0
345,117,30,1463.0
346,118,38,4883.0
347,118,14,1237.0
348,118,103,2743.0
349,119,42,1299.0
350,119,111,2045.0
351,119,40,3647.0
352,120,4,2074.0
353,120,25,2851.0
354,120,56,1076.0
355,121,28,4531.0
356,121,14,2365.0
357,121,38,2497.0
358,122,107,4522.0
359,122,40,3213.0
360,122,22,2781.0
361,123,1,1343.0
362,123,83,3274.0
363,123,109,2368.0
364,124,122,3209.0
365,124,22,1975.0
366,124,107,4824.0
367,125,112,3797.0
368,125,44,3449.0
369,125,10,3405.0
370,126,28,2910.0
371,126,61,3952.0
372,126,108,3120.0
373,127,29,1838.0
374,127,10,1721.0
375,127,3,1852.0
376,128,7,4424.0
377,128,101,2889.0
378,128,5,1751.0
379,129,57,2004.0
380,129,30,1883.0
381,129,38,4866.0
382,130,2,4447.0
383,130,15,4953.0
384,130,46,1184.0
385,131,124,2745.0
386,131,122,2777.0
387,131,22,4095.0
388,132,114,3242.0
389,132,92,4476.0
390,132,105,2830.0
391,133,35,1372.0
392,133,53,3615.0
393,133,33,1219.0
394,134,30,3579.0
395,134,117,4472.0
396,134,28,3408.0
397,0,88,3169.0
398,0,108,3941.0
399,0,61,2162.0
400,135,91,1761.0
401,135,64,2558.0
402,135,12,4244.0
403,136,54,4386.0
404,136,74,2080.0
405,136,80,3489.0
406,137,118,3234.0
407,137,14,3731.0
408,137,103,2104.0
409,138,66,4212.0
410,138,99,1750.0
411,138,39,4920.0
412,139,94,3962.0
413,139,13,3469.0
414,139,4,2183.0
415,140,39,2919.0
416,140,138,2322.0
417,140,99,4538.0
418,141,95,2854.0
419,141,6,4319.0
420,141,11,2773.0
421,142,6,4590.0
422,142,32,4426.0
423,142,5,4582.0
424,143,93,4556.0
425,143,71,3002.0
426,143,10,3483.0
427,144,18,3816.0
428,144,58,3767.0
429,144,43,4231.0
430,145,96,2402.0
431,145,14,1663.0
432,145,51,3175.0
433,146,39,4885.0
434,146,66,2627.0
435,146,138,1960.0
436,147,137,4748.0
437,147,14,4622.0
438,147,103,2496.0
439,148,45,3775.0
440,148,39,3045.0
441,148,81,2482.0
442,149,2,2724.0
443,149,4,1448.0
444,149,59,3582.0
445,150,26,2301.0
446,150,5,4677.0
447,150,32,2278.0
448,151,1,4291.0
449,151,14,4811.0
450,151,43,4559.0
451,152,6,4448.0
452,152,31,4219.0
453,152,8,2063.0
454,153,22,4639.0
455,153,124,3855.0
456,153,131,1564.0
457,154,69,3806.0
458,154,47,4645.0
459,154,63,4429.0
460,155,1,1202.0
461,155,43,3414.0
462,155,52,2440.0
463,156,56,4594.0
464,156,74,1806.0
465,156,54,1030.0
466,157,9,3122.0
467,157,5,2487.0
468,157,21,2692.0
469,158,94,3523.0
470,158,54,1648.0
471,158,13,4561.0
472,159,2,4519.0
473,159,19,2879.0
474,159,104,2143.0
475,160,14,4183.0
476,160,28,3969.0
477,160,4,4681.0
478,161,40,2976.0
479,161,107,2885.0
480,161,42,4523.0
481,162,8,4272.0
482,162,62,2766.0
483,162,6,4857.0
484,163,143,3462.0
485,163,71,2244.0
486,163,10,4423.0
487,164,42,1328.0
488,164,107,1228.0
489,164,22,4870.0
490,165,158,4345.0
491,165,13,3463.0
492,165,94,1255.0
493,166,124,1099.0
494,166,22,3918.0
495,166,107,4372.0
496,167,13,2401.0
497,167,83,1766.0
498,167,1,2418.0
499,168,25,4901.0
500,168,80,4111.0
501,168,74,4604.0
502,169,7,4459.0
503,169,90,3788.0
504,169,101,2426.0
505,170,2,2702.0
506,170,5,1101.0
507,170,39,2838.0
508,171,110,4978.0
509,171,27,4049.0
510,171,59,1752.0
511,172,79,3721.0
512,172,35,3072.0
513,172,3,3756.0
514,173,164,3979.0
515,173,107,3040.0
516,173,22,1011.0
517,174,171,4609.0
518,174,27,2357.0
519,174,59,2265.0
520,175,21,4760.0
521,175,157,3558.0
522,175,5,3491.0
523,176,152,3198.0
524,176,31,2089.0
525,176,8,3792.0
526,177,18,4319.0
527,177,14,1543.0
528,177,2,4327.0
529,178,104,1988.0
530,178,2,4829.0
531,178,159,1259.0
532,179,121,1825.0
533,179,28,2399.0
534,179,14,4318.0
535,180,2,2282.0
536,180,5,3291.0
537,180,170,3379.0
538,181,127,4319.0
539,181,3,4254.0
540,181,29,3084.0
541,182,81,3974.0
542,182,148,3306.0
543,182,39,2894.0
544,183,21,2620.0
545,183,5,4220.0
546,183,10,2322.0
547,184,174,1620.0
548,184,59,2001.0
549,184,171,2752.0
550,185,5,2645.0
551,185,2,3054.0
552,185,6,3996.0
553,186,161,1360.0
554,186,40,2616.0
555,186,107,3037.0
556,187,94,2495.0
557,187,139,4122.0
558,187,4,2754.0
559,188,23,3776.0
560,188,68,1574.0
561,188,92,4716.0
562,189,14,2291.0
563,189,1,4750.0
564,189,30,1280.0
565,190,5,1571.0
566,190,2,4243.0
567,190,185,3993.0
568,191,90,4263.0
569,191,7,2461.0
570,191,4,4141.0
571,192,166,4398.0
572,192,107,3392.0
573,192,124,2147.0
574,193,50,3557.0
575,193,12,1635.0
576,193,3,4474.0
577,194,124,2746.0
578,194,122,3546.0
579,194,131,4346.0
580,195,130,4191.0
581,195,2,4400.0
582,195,15,3117.0
583,196,36,3206.0
584,196,10,1397.0
585,196,44,3892.0
586,197,11,1876.0
587,197,8,3508.0
588,197,75,1886.0
589,198,51,4844.0
590,198,14,3959.0
591,198,18,1864.0
592,199,1,2765.0
593,199,34,1093.0
594,199,2,2371.0
595,2,1,1678.0
596,2,3,4550.0
597,1,3,4907.0
598,3,4,4876.0
599,2,4,3996.0
600,1,4,1116.0
601,3,5,1625.0
602,2,5,4536.0
603,4,5,4360.0
604,2,6,3628.0
605,4,6,2387.0
606,5,6,4056.0
607,6,7,4300.0
608,4,7,4562.0
609,5,7,4544.0
610,4,8,1028.0
611,6,8,4088.0
612,2,8,1963.0
613,3,9,3400.0
614,2,9,3227.0
615,5,9,1360.0
616,9,10,2052.0
617,5,10,4891.0
618,3,10,1054.0
619,6,11,2264.0
620,8,11,4305.0
621,4,11,2837.0
622,2,12,2294.0
623,9,12,1726.0
624,3,12,3140.0
625,4,13,2393.0
626,1,13,4256.0
627,3,13,3483.0
628,1,14,2328.0
629,4,14,1315.0
630,2,14,4482.0
631,3,15,4492.0
632,2,15,4251.0
633,12,15,2674.0
634,1,16,1098.0
635,2,16,2355.0
636,3,16,2145.0
637,2,17,2635.0
638,8,17,3973.0
639,6,17,2371.0
640,14,18,1441.0
641,2,18,2945.0
642,1,18,3769.0
643,2,19,2843.0
644,1,19,2327.0
645,18,19,3726.0
646,4,20,4053.0
647,6,20,3279.0
648,11,20,1672.0
649,10,21,2220.0
650,9,21,3558.0
651,5,21,2084.0
652,3,22,2415.0
653,2,22,1106.0
654,15,22,1743.0
655,13,23,4407.0
656,3,23,4569.0
657,4,23,4011.0
658,8,24,2759.0
659,2,24,2720.0
660,4,24,1936.0
661,13,25,1834.0
662,4,25,2953.0
663,1,25,2804.0
664,7,26,2690.0
665,5,26,3533.0
666,6,26,1050.0
667,24,27,1725.0
668,2,27,1921.0
669,4,27,2960.0
670,1,28,4108.0
671,4,28,2453.0
672,14,28,4292.0
673,3,29,3409.0
674,9,29,4394.0
675,10,29,3735.0
676,14,30,4918.0
677,1,30,3478.0
678,28,30,4299.0
679,6,31,1848.0
680,17,31,2593.0
681,8,31,1871.0
682,5,32,4420.0
683,6,32,2872.0
684,26,32,1507.0
685,22,33,4784.0
686,15,33,3920.0
687,3,33,2074.0
688,2,34,3544.0
689,1,34,1466.0
690,19,34,4319.0
691,33,35,1077.0
692,3,35,3322.0
693,22,35,3625.0
694,29,36,1807.0
695,9,36,3385.0
696,10,36,4085.0
697,2,37,2254.0
698,15,37,3235.0
699,22,37,2937.0
700,28,38,2558.0
701,14,38,1552.0
702,30,38,2883.0
703,5,39,2280.0
704,9,39,4920.0
705,2,39,3518.0
706,22,40,3154.0
707,33,40,3009.0
708,35,40,1991.0
709,17,41,2877.0
710,31,41,4296.0
711,6,41,1083.0
712,22,42,1779.0
713,33,42,1958.0
714,40,42,2294.0
715,14,43,1654.0
716,18,43,3496.0
717,1,43,1121.0
718,10,44,4057.0
719,29,44,2023.0
720,36,44,3182.0
721,39,45,2405.0
722,5,45,2998.0
723,9,45,1362.0
724,37,46,3055.0
725,2,46,1971.0
726,15,46,4185.0
727,6,47,1808.0
728,7,47,2708.0
729,26,47,1015.0
730,2,48,2122.0
731,17,48,3579.0
732,6,48,4283.0
733,3,49,2731.0
734,15,49,4347.0
735,12,49,2706.0
736,12,50,1755.0
737,3,50,4979.0
738,49,50,3926.0
739,18,51,2038.0
740,43,51,2433.0
741,14,51,4275.0
742,18,52,1996.0
743,1,52,4121.0
744,43,52,2815.0
