item_id,weight
C0001,6567.0
C0002,6563.0
C0003,14353.0
C0004,11135.0
C0005,6562.0
C0006,9785.0
C0007,8174.0
C0008,6563.0
C0009,12741.0
C0010,8176.0
C0011,12740.0
C0012,11136.0
C0013,12744.0
C0014,8176.0
C0015,9783.0
C0016,12742.0
C0017,11135.0
C0018,12745.0
C0019,14352.0
C0020,9782.0
C0021,6565.0
C0022,11136.0
C0023,6563.0
C0024,12743.0
C0025,14350.0
C0026,11134.0
C0027,8176.0
C0028,12740.0
C0029,6563.0
C0030,9782.0
C0031,12743.0
C0032,14352.0
C0033,12741.0
C0034,6566.0
C0035,12743.0
C0036,6564.0
C0037,9785.0
C0038,9782.0
C0039,12741.0
C0040,9782.0
C0041,14350.0
C0042,11133.0
C0043,6562.0
C0044,11135.0
C0045,8176.0
C0046,9781.0
C0047,6562.0
C0048,11135.0
C0049,8175.0
C0050,12745.0
C0051,11133.0
C0052,6566.0
C0053,11135.0
C0054,11132.0
C0055,12743.0
C0056,12743.0
C0057,14349.0
C0058,9784.0
C0059,12740.0
C0060,9783.0
C0061,8174.0
C0062,9785.0
C0063,6567.0
C0064,8176.0
C0065,8175.0
C0066,8174.0
C0067,8174.0
C0068,6564.0
C0069,11135.0
C0070,6564.0
C0071,9781.0
C0072,6565.0
C0073,12740.0
C0074,14353.0
C0075,8176.0
C0076,11132.0
C0077,14350.0
C0078,8172.0
C0079,14353.0
C0080,8175.0
C0081,8171.0
C0082,14353.0
C0083,9783.0
C0084,8175.0
C0085,6567.0
C0086,8173.0
C0087,9783.0
C0088,6564.0
C0089,9781.0
C0090,12742.0
C0091,14353.0
C0092,11133.0
C0093,9783.0
C0094,11132.0
C0095,12743.0
C0096,12743.0
C0097,12740.0
C0098,9782.0
C0099,9782.0
C0100,14354.0
