id_edge,source_node,target_node,flow_cost,fixed_cost
0,484,0,9.0,52.0
1,0,396,5.0,50.0
2,396,0,0.0,59.0
3,0,45,10.0,80.0
4,45,0,1.0,57.0
5,0,286,8.0,53.0
6,286,0,2.0,83.0
7,0,36,1.0,97.0
8,36,0,7.0,61.0
9,0,3,7.0,66.0
10,3,0,10.0,66.0
11,0,7,1.0,69.0
12,7,0,5.0,51.0
13,0,16,3.0,95.0
14,16,0,5.0,63.0
15,0,25,9.0,71.0
16,25,0,0.0,93.0
17,0,73,6.0,67.0
18,73,0,1.0,87.0
19,0,22,9.0,72.0
20,22,0,0.0,98.0
21,0,15,6.0,94.0
22,15,0,10.0,87.0
23,0,180,0.0,76.0
24,180,0,6.0,65.0
25,0,163,8.0,73.0
26,163,0,3.0,56.0
27,0,2,7.0,69.0
28,2,0,4.0,55.0
29,0,9,9.0,71.0
30,9,0,7.0,65.0
31,0,14,7.0,90.0
32,14,0,4.0,50.0
33,0,38,4.0,98.0
34,38,0,5.0,66.0
35,0,35,10.0,60.0
36,35,0,1.0,70.0
37,0,32,1.0,87.0
38,32,0,3.0,75.0
39,0,47,3.0,56.0
40,47,0,4.0,72.0
41,0,103,10.0,60.0
42,103,0,3.0,85.0
43,0,27,10.0,100.0
44,27,0,6.0,85.0
45,0,5,6.0,56.0
46,5,0,1.0,61.0
47,0,100,6.0,56.0
48,100,0,0.0,67.0
49,0,436,4.0,52.0
50,436,0,1.0,89.0
51,0,90,6.0,89.0
52,90,0,1.0,63.0
53,0,169,7.0,73.0
54,169,0,5.0,71.0
55,0,11,5.0,95.0
56,11,0,8.0,70.0
57,0,57,2.0,81.0
58,57,0,8.0,50.0
59,0,71,10.0,59.0
60,71,0,1.0,57.0
61,0,171,3.0,96.0
62,171,0,6.0,71.0
63,0,167,7.0,58.0
64,167,0,0.0,81.0
65,0,244,0.0,75.0
66,244,0,8.0,88.0
67,0,450,6.0,78.0
68,450,0,8.0,82.0
69,0,77,1.0,82.0
70,77,0,6.0,92.0
71,0,4,1.0,54.0
72,4,0,5.0,94.0
73,0,240,2.0,78.0
74,240,0,8.0,57.0
75,0,1,7.0,68.0
76,1,240,0.0,94.0
77,240,1,8.0,97.0
78,1,4,1.0,66.0
79,4,1,7.0,51.0
80,1,258,8.0,83.0
81,258,1,2.0,52.0
82,1,291,2.0,72.0
83,291,1,4.0,88.0
84,1,328,8.0,66.0
85,328,1,4.0,72.0
86,1,13,6.0,65.0
87,13,1,4.0,52.0
88,1,260,3.0,81.0
89,260,1,0.0,63.0
90,1,2,2.0,62.0
91,2,1,8.0,90.0
92,1,83,1.0,98.0
93,83,1,1.0,63.0
94,1,28,5.0,62.0
95,28,1,5.0,94.0
96,1,218,9.0,96.0
97,218,1,6.0,56.0
98,1,8,5.0,67.0
99,8,1,9.0,55.0
100,1,21,4.0,90.0
101,21,1,0.0,98.0
102,1,187,8.0,80.0
103,187,1,10.0,92.0
104,1,63,6.0,84.0
105,63,1,4.0,68.0
106,1,366,1.0,67.0
107,366,1,2.0,89.0
108,1,80,9.0,66.0
109,80,1,6.0,74.0
110,1,318,5.0,90.0
111,318,1,2.0,60.0
112,1,449,10.0,94.0
113,449,1,3.0,90.0
114,1,118,10.0,95.0
115,118,1,3.0,82.0
116,1,235,0.0,55.0
117,235,1,2.0,64.0
118,1,184,4.0,77.0
119,184,1,9.0,52.0
120,1,164,2.0,99.0
121,164,1,10.0,93.0
122,1,3,6.0,69.0
123,3,1,1.0,80.0
124,1,58,1.0,96.0
125,58,1,0.0,67.0
126,1,209,9.0,55.0
127,209,1,9.0,79.0
128,1,117,0.0,56.0
129,117,1,10.0,62.0
130,1,36,7.0,64.0
131,36,1,1.0,74.0
132,1,263,8.0,55.0
133,263,1,4.0,80.0
134,1,261,4.0,99.0
135,261,1,5.0,74.0
136,1,290,4.0,60.0
137,290,1,3.0,82.0
138,1,334,5.0,87.0
139,334,1,9.0,76.0
140,1,466,7.0,87.0
141,466,1,1.0,57.0
142,1,487,4.0,71.0
143,487,1,6.0,67.0
144,1,141,5.0,93.0
145,141,1,5.0,89.0
146,1,45,9.0,99.0
147,45,1,9.0,63.0
148,1,396,9.0,84.0
149,396,1,1.0,100.0
150,1,484,0.0,75.0
151,484,1,7.0,71.0
152,2,260,9.0,85.0
153,260,2,3.0,97.0
154,2,13,4.0,82.0
155,13,2,9.0,62.0
156,2,52,10.0,74.0
157,52,2,9.0,81.0
158,2,330,0.0,55.0
159,330,2,9.0,99.0
160,2,34,6.0,79.0
161,34,2,7.0,74.0
162,2,152,9.0,70.0
163,152,2,3.0,62.0
164,2,154,3.0,96.0
165,154,2,10.0,94.0
166,2,196,1.0,80.0
167,196,2,6.0,57.0
168,2,53,10.0,99.0
169,53,2,8.0,67.0
170,2,356,8.0,75.0
171,356,2,6.0,98.0
172,2,81,6.0,58.0
173,81,2,4.0,89.0
174,2,368,2.0,92.0
175,368,2,8.0,74.0
176,2,343,3.0,84.0
177,343,2,9.0,67.0
178,2,69,5.0,76.0
179,69,2,6.0,89.0
180,2,195,7.0,65.0
181,195,2,6.0,51.0
182,2,96,8.0,62.0
183,96,2,1.0,81.0
184,2,270,10.0,53.0
185,270,2,1.0,72.0
186,2,112,6.0,77.0
187,112,2,3.0,99.0
188,2,236,2.0,77.0
189,236,2,2.0,82.0
190,2,177,7.0,100.0
191,177,2,9.0,80.0
192,2,310,1.0,82.0
193,310,2,9.0,62.0
194,2,19,1.0,58.0
195,19,2,6.0,61.0
196,2,128,7.0,83.0
197,128,2,2.0,84.0
198,2,381,5.0,67.0
199,381,2,1.0,69.0
200,2,4,6.0,87.0
201,4,2,7.0,58.0
202,2,40,1.0,61.0
