id_edge,source_node,target_node,flow_cost,fixed_cost
0,1,194,10.0,314.0
1,0,50,8.0,208.0
2,2,194,1.0,288.0
3,3,288,10.0,103.0
4,3,161,4.0,483.0
5,1,39,3.0,198.0
6,4,316,5.0,315.0
7,2,57,7.0,163.0
8,3,235,7.0,212.0
9,0,402,6.0,114.0
10,4,83,7.0,291.0
11,5,226,9.0,129.0
12,6,22,5.0,256.0
13,5,37,2.0,131.0
14,2,16,8.0,510.0
15,0,20,4.0,283.0
16,2,20,9.0,186.0
17,7,10,1.0,431.0
18,0,5,5.0,367.0
19,5,0,10.0,290.0
20,3,77,10.0,221.0
21,7,171,7.0,317.0
22,1,11,5.0,308.0
23,6,11,3.0,284.0
24,2,93,0.0,407.0
25,5,227,1.0,404.0
26,0,3,9.0,430.0
27,3,0,2.0,430.0
28,8,15,1.0,390.0
29,1,430,8.0,219.0
30,3,111,1.0,166.0
31,1,3,7.0,262.0
32,3,1,8.0,290.0
33,9,381,10.0,172.0
34,3,44,6.0,482.0
35,5,165,8.0,257.0
36,7,300,5.0,287.0
37,9,340,6.0,394.0
38,10,7,8.0,395.0
39,10,96,6.0,185.0
40,2,34,1.0,180.0
41,10,230,1.0,314.0
42,11,6,3.0,183.0
43,11,1,7.0,150.0
44,12,488,7.0,129.0
45,9,317,7.0,286.0
46,10,317,0.0,460.0
47,6,390,2.0,392.0
48,1,28,2.0,501.0
49,13,16,4.0,156.0
50,13,7,2.0,308.0
51,1,181,8.0,156.0
52,12,181,4.0,364.0
53,13,148,8.0,353.0
54,10,84,4.0,371.0
55,2,287,10.0,432.0
56,7,134,9.0,320.0
57,8,3,8.0,233.0
58,3,8,8.0,134.0
59,14,52,3.0,443.0
60,14,9,2.0,414.0
61,9,47,3.0,135.0
62,3,266,7.0,218.0
63,1,389,1.0,183.0
64,6,454,5.0,237.0
65,15,8,4.0,323.0
66,15,88,7.0,481.0
67,16,2,2.0,409.0
68,16,13,7.0,423.0
69,7,170,3.0,226.0
70,14,263,8.0,477.0
71,1,448,9.0,494.0
72,15,225,8.0,330.0
73,16,31,9.0,119.0
74,10,24,2.0,444.0
75,2,180,1.0,446.0
76,13,180,0.0,432.0
77,8,12,5.0,149.0
78,12,8,2.0,360.0
79,17,123,3.0,508.0
