id_edge,source_node,target_node,flow_cost,fixed_cost
0,1,194,0.0,1.0
1,0,50,0.0,1.0
2,2,194,0.0,1.0
3,3,288,0.0,1.0
4,3,161,0.0,1.0
5,1,39,0.0,1.0
6,4,316,0.0,1.0
7,2,57,0.0,1.0
8,3,235,0.0,1.0
9,0,402,0.0,1.0
10,4,83,0.0,1.0
11,5,226,0.0,1.0
12,6,22,0.0,1.0
13,5,37,0.0,1.0
14,2,16,0.0,1.0
15,0,20,0.0,1.0
16,2,20,0.0,1.0
17,7,10,0.0,1.0
18,0,5,0.0,1.0
19,5,0,0.0,1.0
20,3,77,0.0,1.0
21,7,171,0.0,1.0
22,1,11,0.0,1.0
23,6,11,0.0,1.0
24,2,93,0.0,1.0
25,5,227,0.0,1.0
26,0,3,0.0,1.0
27,3,0,0.0,1.0
28,8,15,0.0,1.0
29,1,430,0.0,1.0
30,3,111,0.0,1.0
31,1,3,0.0,1.0
32,3,1,0.0,1.0
33,9,381,0.0,1.0
34,3,44,0.0,1.0
35,5,165,0.0,1.0
36,7,300,0.0,1.0
37,9,340,0.0,1.0
38,10,7,0.0,1.0
39,10,96,0.0,1.0
40,2,34,0.0,1.0
41,10,230,0.0,1.0
42,11,6,0.0,1.0
43,11,1,0.0,1.0
44,12,488,0.0,1.0
45,9,317,0.0,1.0
46,10,317,0.0,1.0
47,6,390,0.0,1.0
48,1,28,0.0,1.0
49,13,16,0.0,1.0
50,13,7,0.0,1.0
51,1,181,0.0,1.0
52,12,181,0.0,1.0
53,13,148,0.0,1.0
54,10,84,0.0,1.0
55,2,287,0.0,1.0
56,7,134,0.0,1.0
57,8,3,0.0,1.0
58,3,8,0.0,1.0
59,14,52,0.0,1.0
60,14,9,0.0,1.0
61,9,47,0.0,1.0
62,3,266,0.0,1.0
63,1,389,0.0,1.0
64,6,454,0.0,1.0
65,15,8,0.0,1.0
66,15,88,0.0,1.0
67,16,2,0.0,1.0
68,16,13,0.0,1.0
69,7,170,0.0,1.0
70,14,263,0.0,1.0
71,1,448,0.0,1.0
72,15,225,0.0,1.0
73,16,31,0.0,1.0
74,10,24,0.0,1.0
75,2,180,0.0,1.0
76,13,180,0.0,1.0
77,8,12,0.0,1.0
78,12,8,0.0,1.0
79,17,123,0.0,1.0
80,7,495,0.0,1.0
81,17,183,0.0,1.0
82,17,276,0.0,1.0
83,16,276,0.0,1.0
84,18,30,0.0,1.0
85,18,203,0.0,1.0
86,17,178,0.0,1.0
87,16,10,0.0,1.0
88,10,16,0.0,1.0
89,19,21,0.0,1.0
90,0,42,0.0,1.0
91,19,42,0.0,1.0
92,19,98,0.0,1.0
93,11,98,0.0,1.0
94,20,2,0.0,1.0
95,20,0,0.0,1.0
96,4,20,0.0,1.0
97,20,4,0.0,1.0
98,20,82,0.0,1.0
99,1,445,0.0,1.0
100,21,19,0.0,1.0
101,21,41,0.0,1.0
102,22,6,0.0,1.0
103,22,3,0.0,1.0
104,21,29,0.0,1.0
105,0,29,0.0,1.0
106,6,369,0.0,1.0
107,3,369,0.0,1.0
108,19,256,0.0,1.0
109,6,256,0.0,1.0
110,22,60,0.0,1.0
111,1,43,0.0,1.0
112,23,1,0.0,1.0
113,23,101,0.0,1.0
114,24,10,0.0,1.0
115,24,212,0.0,1.0
116,1,0,0.0,1.0
117,0,1,0.0,1.0
118,20,75,0.0,1.0
119,23,75,0.0,1.0
120,25,107,0.0,1.0
121,16,215,0.0,1.0
122,24,215,0.0,1.0
123,17,13,0.0,1.0
124,13,17,0.0,1.0
125,17,151,0.0,1.0
126,24,124,0.0,1.0
127,25,487,0.0,1.0
128,7,315,0.0,1.0
129,26,402,0.0,1.0
130,27,185,0.0,1.0
131,4,0,0.0,1.0
132,0,4,0.0,1.0
133,8,27,0.0,1.0
134,27,8,0.0,1.0
135,28,1,0.0,1.0
136,28,19,0.0,1.0
137,29,0,0.0,1.0
138,29,21,0.0,1.0
139,11,365,0.0,1.0
140,28,365,0.0,1.0
141,30,18,0.0,1.0
142,30,31,0.0,1.0
143,21,0,0.0,1.0
144,0,21,0.0,1.0
145,18,16,0.0,1.0
146,16,18,0.0,1.0
147,31,30,0.0,1.0
148,31,16,0.0,1.0
149,21,426,0.0,1.0
150,0,184,0.0,1.0
151,26,224,0.0,1.0
152,5,224,0.0,1.0
153,32,130,0.0,1.0
154,33,79,0.0,1.0
155,34,479,0.0,1.0
156,34,2,0.0,1.0
157,4,119,0.0,1.0
158,26,119,0.0,1.0
159,5,34,0.0,1.0
160,34,5,0.0,1.0
161,35,36,0.0,1.0
162,16,30,0.0,1.0
163,30,16,0.0,1.0
164,4,72,0.0,1.0
165,26,458,0.0,1.0
166,0,306,0.0,1.0
167,28,306,0.0,1.0
168,36,35,0.0,1.0
169,36,168,0.0,1.0
170,3,5,0.0,1.0
171,5,3,0.0,1.0
172,37,232,0.0,1.0
173,37,5,0.0,1.0
174,30,178,0.0,1.0
175,178,30,0.0,1.0
176,38,480,0.0,1.0
177,39,1,0.0,1.0
178,39,71,0.0,1.0
179,32,280,0.0,1.0
180,5,117,0.0,1.0
181,36,69,0.0,1.0
182,5,69,0.0,1.0
183,10,152,0.0,1.0
184,5,330,0.0,1.0
185,27,12,0.0,1.0
186,12,27,0.0,1.0
187,36,9,0.0,1.0
188,9,36,0.0,1.0
189,36,5,0.0,1.0
190,5,36,0.0,1.0
191,39,3,0.0,1.0
192,3,39,0.0,1.0
193,26,270,0.0,1.0
194,33,73,0.0,1.0
195,38,362,0.0,1.0
196,4,362,0.0,1.0
197,34,37,0.0,1.0
198,37,34,0.0,1.0
199,40,438,0.0,1.0
200,10,150,0.0,1.0
201,40,45,0.0,1.0
202,41,21,0.0,1.0
203,41,390,0.0,1.0
204,21,275,0.0,1.0
205,6,275,0.0,1.0
206,42,19,0.0,1.0
207,42,0,0.0,1.0
208,43,1,0.0,1.0
209,43,121,0.0,1.0
210,3,43,0.0,1.0
211,43,3,0.0,1.0
212,1,22,0.0,1.0
213,22,1,0.0,1.0
214,34,78,0.0,1.0
215,16,78,0.0,1.0
216,44,130,0.0,1.0
217,44,3,0.0,1.0
218,0,91,0.0,1.0
219,41,324,0.0,1.0
220,9,172,0.0,1.0
221,7,172,0.0,1.0
222,39,491,0.0,1.0
223,27,54,0.0,1.0
224,16,106,0.0,1.0
225,30,456,0.0,1.0
226,45,40,0.0,1.0
227,45,223,0.0,1.0
228,3,32,0.0,1.0
229,32,3,0.0,1.0
230,45,7,0.0,1.0
231,7,45,0.0,1.0
232,21,396,0.0,1.0
233,42,396,0.0,1.0
234,36,264,0.0,1.0
235,3,264,0.0,1.0
236,40,48,0.0,1.0
237,10,153,0.0,1.0
238,19,67,0.0,1.0
239,0,58,0.0,1.0
240,44,246,0.0,1.0
241,246,44,0.0,1.0
242,46,286,0.0,1.0
243,7,66,0.0,1.0
244,3,278,0.0,1.0
245,7,81,0.0,1.0
246,3,443,0.0,1.0
247,47,422,0.0,1.0
248,47,9,0.0,1.0
249,48,218,0.0,1.0
250,48,40,0.0,1.0
251,47,14,0.0,1.0
252,14,47,0.0,1.0
253,9,469,0.0,1.0
254,48,476,0.0,1.0
255,49,173,0.0,1.0
256,3,415,0.0,1.0
257,9,410,0.0,1.0
258,50,101,0.0,1.0
259,50,0,0.0,1.0
260,23,337,0.0,1.0
261,0,342,0.0,1.0
262,26,86,0.0,1.0
263,49,51,0.0,1.0
264,5,87,0.0,1.0
265,4,131,0.0,1.0
266,40,345,0.0,1.0
