project_id,facility_id,profit
0,0,8.0
0,1,8.0
0,2,10.0
0,3,11.0
0,4,11.0
0,5,14.0
0,6,14.0
0,7,11.0
0,8,5.0
0,9,3.0
0,10,4.0
0,11,12.0
0,12,1.0
0,13,7.0
0,14,5.0
0,15,5.0
0,16,14.0
0,17,1.0
0,18,3.0
0,19,3.0
0,20,2.0
0,21,3.0
0,22,1.0
0,23,12.0
0,24,9.0
1,0,3.0
1,1,4.0
1,2,10.0
1,3,9.0
1,4,1.0
1,5,13.0
1,6,14.0
1,7,12.0
1,8,8.0
1,9,12.0
1,10,7.0
1,11,15.0
1,12,5.0
1,13,1.0
1,14,8.0
1,15,1.0
1,16,5.0
1,17,14.0
1,18,8.0
1,19,15.0
1,20,14.0
1,21,10.0
1,22,1.0
1,23,15.0
1,24,5.0
2,0,8.0
2,1,3.0
2,2,12.0
2,3,6.0
2,4,12.0
2,5,15.0
2,6,8.0
2,7,15.0
2,8,12.0
2,9,6.0
2,10,9.0
2,11,4.0
2,12,15.0
2,13,12.0
2,14,10.0
2,15,12.0
2,16,1.0
2,17,14.0
2,18,4.0
2,19,13.0
2,20,14.0
2,21,6.0
2,22,13.0
2,23,11.0
2,24,3.0
3,0,4.0
3,1,2.0
3,2,13.0
3,3,9.0
3,4,4.0
3,5,1.0
3,6,15.0
3,7,8.0
3,8,2.0
3,9,15.0
3,10,11.0
3,11,10.0
3,12,7.0
3,13,13.0
3,14,2.0
3,15,15.0
3,16,9.0
3,17,1.0
3,18,3.0
3,19,1.0
3,20,12.0
3,21,9.0
3,22,1.0
3,23,15.0
3,24,8.0
4,0,9.0
4,1,11.0
4,2,9.0
4,3,9.0
4,4,12.0
4,5,15.0
4,6,14.0
4,7,10.0
4,8,5.0
4,9,11.0
4,10,15.0
4,11,9.0
4,12,8.0
4,13,10.0
4,14,6.0
4,15,14.0
4,16,15.0
4,17,7.0
4,18,8.0
4,19,2.0
4,20,3.0
4,21,15.0
4,22,4.0
4,23,14.0
4,24,10.0
5,0,3.0
5,1,13.0
5,2,10.0
5,3,10.0
5,4,6.0
5,5,2.0
5,6,5.0
5,7,6.0
5,8,15.0
5,9,13.0
5,10,8.0
5,11,1.0
5,12,4.0
5,13,12.0
5,14,3.0
5,15,8.0
5,16,4.0
5,17,7.0
5,18,8.0
5,19,14.0
5,20,11.0
5,21,12.0
5,22,1.0
5,23,7.0
5,24,6.0
6,0,13.0
6,1,6.0
6,2,12.0
6,3,14.0
6,4,3.0
6,5,10.0
6,6,12.0
6,7,11.0
6,8,10.0
6,9,10.0
6,10,2.0
6,11,12.0
6,12,2.0
6,13,11.0
6,14,15.0
6,15,10.0
6,16,9.0
6,17,11.0
6,18,15.0
6,19,11.0
6,20,13.0
6,21,13.0
6,22,7.0
6,23,8.0
6,24,3.0
7,0,11.0
7,1,3.0
7,2,11.0
7,3,15.0
7,4,13.0
7,5,3.0
7,6,1.0
7,7,6.0
7,8,9.0
7,9,3.0
7,10,2.0
7,11,11.0
7,12,12.0
7,13,4.0
7,14,3.0
7,15,14.0
7,16,3.0
7,17,9.0
7,18,8.0
7,19,10.0
7,20,11.0
7,21,7.0
7,22,8.0
7,23,14.0
7,24,5.0
8,0,3.0
8,1,5.0
8,2,3.0
8,3,1.0
8,4,8.0
8,5,9.0
8,6,15.0
8,7,14.0
8,8,11.0
8,9,4.0
8,10,4.0
8,11,14.0
8,12,3.0
8,13,12.0
8,14,7.0
8,15,13.0
8,16,14.0
8,17,11.0
8,18,2.0
8,19,2.0
8,20,14.0
8,21,4.0
8,22,6.0
8,23,5.0
8,24,8.0
9,0,1.0
9,1,10.0
9,2,13.0
9,3,5.0
9,4,4.0
9,5,7.0
9,6,13.0
9,7,8.0
9,8,9.0
9,9,7.0
9,10,13.0
9,11,12.0
9,12,8.0
9,13,8.0
9,14,5.0
9,15,8.0
9,16,9.0
9,17,3.0
9,18,3.0
9,19,14.0
9,20,11.0
9,21,4.0
9,22,9.0
9,23,10.0
9,24,14.0
10,0,15.0
10,1,9.0
10,2,3.0
10,3,13.0
10,4,12.0
10,5,8.0
10,6,8.0
10,7,5.0
10,8,3.0
10,9,6.0
10,10,7.0
10,11,5.0
10,12,5.0
10,13,5.0
10,14,12.0
10,15,8.0
10,16,1.0
10,17,1.0
10,18,9.0
10,19,15.0
10,20,5.0
10,21,1.0
10,22,7.0
10,23,8.0
10,24,3.0
11,0,3.0
11,1,6.0
11,2,13.0
11,3,13.0
11,4,15.0
11,5,2.0
11,6,1.0
11,7,11.0
11,8,11.0
11,9,11.0
11,10,14.0
11,11,8.0
11,12,8.0
11,13,9.0
11,14,6.0
11,15,14.0
11,16,6.0
11,17,9.0
11,18,3.0
11,19,2.0
11,20,7.0
11,21,14.0
11,22,1.0
11,23,13.0
11,24,13.0
12,0,15.0
12,1,6.0
12,2,5.0
12,3,2.0
12,4,9.0
12,5,6.0
12,6,13.0
12,7,13.0
12,8,5.0
12,9,12.0
12,10,15.0
12,11,10.0
12,12,6.0
12,13,3.0
12,14,3.0
12,15,3.0
12,16,4.0
12,17,14.0
12,18,5.0
12,19,3.0
12,20,2.0
12,21,15.0
12,22,5.0
12,23,7.0
12,24,9.0
13,0,7.0
13,1,13.0
13,2,7.0
13,3,12.0
13,4,7.0
13,5,13.0
13,6,12.0
13,7,2.0
13,8,8.0
13,9,10.0
13,10,10.0
13,11,15.0
13,12,7.0
13,13,11.0
13,14,13.0
13,15,10.0
13,16,12.0
13,17,9.0
13,18,13.0
13,19,10.0
13,20,14.0
13,21,3.0
13,22,14.0
13,23,12.0
13,24,1.0
14,0,4.0
14,1,13.0
14,2,4.0
14,3,3.0
14,4,9.0
14,5,14.0
14,6,4.0
14,7,9.0
14,8,7.0
14,9,7.0
