project_id,facility_id,demand_coefficient
0,0,26.0
0,1,85.0
0,2,5.0
0,3,52.0
0,4,64.0
0,5,45.0
0,6,54.0
0,7,69.0
0,8,61.0
0,9,65.0
0,10,99.0
0,11,96.0
0,12,72.0
0,13,88.0
0,14,49.0
0,15,6.0
0,16,5.0
0,17,13.0
0,18,31.0
0,19,68.0
0,20,67.0
0,21,83.0
0,22,58.0
0,23,85.0
0,24,18.0
1,0,2.0
1,1,93.0
1,2,52.0
1,3,13.0
1,4,67.0
1,5,40.0
1,6,33.0
1,7,85.0
1,8,24.0
1,9,41.0
1,10,52.0
1,11,59.0
1,12,67.0
1,13,1.0
1,14,10.0
1,15,58.0
1,16,58.0
1,17,1.0
1,18,24.0
1,19,9.0
1,20,70.0
1,21,92.0
1,22,19.0
1,23,94.0
1,24,43.0
2,0,40.0
2,1,34.0
2,2,4.0
2,3,39.0
2,4,8.0
2,5,37.0
2,6,85.0
2,7,98.0
2,8,98.0
2,9,15.0
2,10,98.0
2,11,77.0
2,12,75.0
2,13,48.0
2,14,1.0
2,15,50.0
2,16,93.0
2,17,36.0
2,18,49.0
2,19,81.0
2,20,93.0
2,21,23.0
2,22,49.0
2,23,8.0
2,24,10.0
3,0,33.0
3,1,43.0
3,2,28.0
3,3,58.0
3,4,56.0
3,5,20.0
3,6,45.0
3,7,20.0
3,8,96.0
3,9,77.0
3,10,24.0
3,11,32.0
3,12,60.0
3,13,29.0
3,14,60.0
3,15,12.0
3,16,8.0
3,17,39.0
3,18,26.0
3,19,1.0
3,20,77.0
3,21,48.0
3,22,11.0
3,23,40.0
3,24,95.0
4,0,1.0
4,1,93.0
4,2,21.0
4,3,70.0
4,4,8.0
4,5,1.0
4,6,79.0
4,7,20.0
4,8,29.0
4,9,26.0
4,10,44.0
4,11,49.0
4,12,86.0
4,13,52.0
4,14,53.0
4,15,41.0
4,16,52.0
4,17,43.0
4,18,52.0
4,19,5.0
4,20,43.0
4,21,48.0
4,22,31.0
4,23,30.0
4,24,7.0
5,0,58.0
5,1,79.0
5,2,69.0
5,3,29.0
5,4,83.0
5,5,43.0
5,6,87.0
5,7,9.0
5,8,82.0
5,9,32.0
5,10,84.0
5,11,84.0
5,12,11.0
5,13,6.0
5,14,1.0
