project_id,fixed_cost,demand,f_upper_bound
0,64.0,1364.0,545.6
1,5.0,1107.0,442.8
2,92.0,1249.0,499.6
3,113.0,1038.0,415.2
4,93.0,984.0,393.6
5,73.0,1438.0,575.2
6,46.0,1286.0,514.4
7,91.0,1224.0,489.6
8,129.0,1236.0,494.4
9,64.0,1293.0,517.2
10,139.0,1125.0,450.0
11,92.0,1195.0,478.0
12,56.0,1122.0,448.8
13,56.0,956.0,382.4
14,79.0,1215.0,486.0
15,5.0,1097.0,438.8
16,32.0,991.0,396.4
17,131.0,1287.0,514.8
18,5.0,1045.0,418.0
19,85.0,1443.0,577.2
20,65.0,1249.0,499.6
21,70.0,1313.0,525.2
22,115.0,1444.0,577.6
23,64.0,1370.0,548.0
24,107.0,1119.0,447.6
25,7.0,1170.0,468.0
26,47.0,1153.0,461.2
27,62.0,1380.0,552.0
28,105.0,1357.0,542.8
29,38.0,1163.0,465.2
30,111.0,1549.0,619.6
31,128.0,1247.0,498.8
32,19.0,1064.0,425.6
33,59.0,1290.0,516.0
34,84.0,1457.0,582.8
35,83.0,1281.0,512.4
36,17.0,1235.0,494.0
37,90.0,1249.0,499.6
38,119.0,1149.0,459.6
39,16.0,1281.0,512.4
40,90.0,1133.0,453.2
41,9.0,1397.0,558.8
42,89.0,1106.0,442.4
43,66.0,1163.0,465.2
44,13.0,1349.0,539.6
45,62.0,991.0,396.4
46,4.0,983.0,393.2
47,108.0,906.0,362.4
48,116.0,1290.0,516.0
49,48.0,1039.0,415.6
50,81.0,1017.0,406.8
51,19.0,1163.0,465.2
52,11.0,1183.0,473.2
53,132.0,1007.0,402.8
54,61.0,1073.0,429.2
55,88.0,1487.0,594.8
56,110.0,1088.0,435.2
57,92.0,1219.0,487.6
58,138.0,1299.0,519.6
59,51.0,1344.0,537.6
60,1.0,895.0,358.0
61,49.0,1474.0,589.6
62,132.0,1000.0,400.0
63,108.0,1043.0,417.2
64,137.0,1086.0,434.4
65,132.0,1208.0,483.2
66,72.0,1348.0,539.2
67,31.0,1250.0,500.0
68,134.0,1112.0,444.8
69,78.0,1292.0,516.8
70,73.0,1262.0,504.8
71,80.0,1256.0,502.4
72,57.0,1126.0,450.4
73,97.0,1378.0,551.2
74,109.0,1279.0,511.6
75,87.0,878.0,351.2
76,100.0,1094.0,437.6
77,115.0,1089.0,435.6
78,13.0,1107.0,442.8
79,135.0,1123.0,449.2
80,41.0,1115.0,446.0
81,8.0,1324.0,529.6
82,57.0,1067.0,426.8
83,17.0,1117.0,446.8
84,101.0,1449.0,579.6
85,30.0,1194.0,477.6
86,13.0,1407.0,562.8
87,134.0,1607.0,642.8
88,50.0,1461.0,584.4
89,25.0,1241.0,496.4
90,60.0,1344.0,537.6
91,27.0,1336.0,534.4
92,110.0,1156.0,462.4
93,101.0,1475.0,590.0
94,90.0,900.0,360.0
95,70.0,1164.0,465.6
96,119.0,1086.0,434.4
97,63.0,1279.0,511.6
98,63.0,1140.0,456.0
99,87.0,1163.0,465.2
