item_id,dimension_id,contribution
1,1,14
2,1,36
3,1,11
4,1,27
5,1,49
6,1,26
7,1,37
8,1,45
9,1,21
10,1,6
11,1,48
12,1,38
13,1,37
14,1,10
15,1,16
16,1,35
17,1,17
18,1,7
19,1,46
20,1,26
21,1,8
22,1,40
23,1,19
24,1,33
25,1,5
26,1,42
27,1,22
28,1,14
29,1,51
30,1,49
31,1,7
32,1,10
33,1,30
34,1,14
35,1,32
36,1,24
37,1,36
38,1,14
39,1,13
40,1,52
41,1,16
42,1,5
43,1,35
44,1,48
45,1,11
46,1,47
47,1,27
48,1,24
49,1,49
50,1,17
51,1,46
52,1,53
53,1,53
54,1,10
55,1,30
1,2,53
2,2,48
3,2,48
4,2,12
5,2,43
6,2,42
7,2,14
8,2,48
9,2,16
10,2,23
11,2,25
12,2,36
13,2,54
14,2,34
15,2,45
16,2,51
17,2,45
18,2,46
19,2,30
20,2,38
21,2,52
22,2,21
23,2,9
24,2,21
25,2,15
26,2,22
27,2,12
28,2,12
29,2,19
30,2,17
31,2,38
32,2,17
33,2,9
34,2,30
35,2,24
36,2,48
37,2,16
38,2,34
39,2,41
40,2,28
41,2,52
42,2,10
43,2,8
44,2,51
45,2,40
46,2,48
47,2,46
48,2,30
49,2,38
50,2,21
51,2,12
52,2,35
53,2,38
54,2,17
55,2,52
1,3,48
2,3,34
3,3,8
4,3,5
5,3,49
6,3,21
7,3,38
8,3,11
9,3,26
10,3,12
11,3,30
12,3,18
13,3,23
14,3,8
15,3,55
16,3,46
17,3,5
18,3,10
19,3,50
20,3,52
21,3,45
22,3,42
23,3,43
24,3,19
25,3,25
26,3,8
27,3,27
28,3,5
29,3,41
30,3,39
31,3,52
32,3,33
33,3,17
34,3,5
35,3,34
36,3,11
37,3,21
38,3,16
39,3,17
40,3,42
41,3,23
42,3,43
43,3,5
44,3,42
45,3,47
46,3,55
47,3,32
48,3,47
49,3,9
50,3,26
51,3,43
52,3,50
53,3,13
54,3,30
55,3,14
1,4,33
2,4,34
3,4,36
4,4,34
5,4,19
6,4,19
7,4,30
8,4,48
9,4,32
10,4,30
11,4,26
12,4,39
13,4,47
14,4,37
15,4,52
16,4,33
17,4,5
18,4,39
19,4,34
20,4,42
21,4,30
22,4,33
23,4,19
24,4,21
25,4,38
26,4,40
27,4,9
28,4,33
29,4,48
30,4,35
31,4,42
32,4,26
