dimension_id,dimension_name,target_value,description
1,Resource_1,731,Target requirement for resource dimension 1
2,Resource_2,731,Target requirement for resource dimension 2
3,Resource_3,731,Target requirement for resource dimension 3
4,Resource_4,731,Target requirement for resource dimension 4
5,Resource_5,731,Target requirement for resource dimension 5
6,Resource_6,731,Target requirement for resource dimension 6
7,Resource_7,731,Target requirement for resource dimension 7
8,Resource_8,731,Target requirement for resource dimension 8
9,Resource_9,731,Target requirement for resource dimension 9
10,Resource_10,731,Target requirement for resource dimension 10
11,Resource_11,731,Target requirement for resource dimension 11
12,Resource_12,731,Target requirement for resource dimension 12
13,Resource_13,731,Target requirement for resource dimension 13
14,Resource_14,731,Target requirement for resource dimension 14
15,Resource_15,731,Target requirement for resource dimension 15
