item_id,item_name,description
1,Project_1,Candidate project 1 for selection
2,Project_2,Candidate project 2 for selection
3,Project_3,Candidate project 3 for selection
4,Project_4,Candidate project 4 for selection
5,Project_5,Candidate project 5 for selection
6,Project_6,Candidate project 6 for selection
7,Project_7,Candidate project 7 for selection
8,Project_8,Candidate project 8 for selection
9,Project_9,Candidate project 9 for selection
10,Project_10,Candidate project 10 for selection
11,Project_11,Candidate project 11 for selection
12,Project_12,Candidate project 12 for selection
13,Project_13,Candidate project 13 for selection
14,Project_14,Candidate project 14 for selection
15,Project_15,Candidate project 15 for selection
16,Project_16,Candidate project 16 for selection
17,Project_17,Candidate project 17 for selection
18,Project_18,Candidate project 18 for selection
19,Project_19,Candidate project 19 for selection
20,Project_20,Candidate project 20 for selection
21,Project_21,Candidate project 21 for selection
22,Project_22,Candidate project 22 for selection
23,Project_23,Candidate project 23 for selection
24,Project_24,Candidate project 24 for selection
25,Project_25,Candidate project 25 for selection
26,Project_26,Candidate project 26 for selection
27,Project_27,Candidate project 27 for selection
28,Project_28,Candidate project 28 for selection
29,Project_29,Candidate project 29 for selection
30,Project_30,Candidate project 30 for selection
31,Project_31,Candidate project 31 for selection
32,Project_32,Candidate project 32 for selection
33,Project_33,Candidate project 33 for selection
34,Project_34,Candidate project 34 for selection
35,Project_35,Candidate project 35 for selection
36,Project_36,Candidate project 36 for selection
37,Project_37,Candidate project 37 for selection
38,Project_38,Candidate project 38 for selection
39,Project_39,Candidate project 39 for selection
40,Project_40,Candidate project 40 for selection
41,Project_41,Candidate project 41 for selection
42,Project_42,Candidate project 42 for selection
43,Project_43,Candidate project 43 for selection
44,Project_44,Candidate project 44 for selection
45,Project_45,Candidate project 45 for selection
46,Project_46,Candidate project 46 for selection
47,Project_47,Candidate project 47 for selection
48,Project_48,Candidate project 48 for selection
49,Project_49,Candidate project 49 for selection
50,Project_50,Candidate project 50 for selection
51,Project_51,Candidate project 51 for selection
52,Project_52,Candidate project 52 for selection
53,Project_53,Candidate project 53 for selection
54,Project_54,Candidate project 54 for selection
55,Project_55,Candidate project 55 for selection
