bundle_id,left_unit,right_unit
B000,U00,U09
B001,U04,U05
B002,U05,U10
B003,U02,U03
B004,U02,U07
B005,U02,U09
B006,U03,U08
B007,U00,U02
B008,U02,U06
B009,U00,U05
B010,U08,U09
B011,U01,U11
B012,U04,U07
B013,U02,U08
B014,U03,U06
B015,U03,U07
B016,U00,U01
B017,U03,U11
B018,U01,U04
B019,U05,U06
B020,U01,U02
B021,U05,U07
B022,U00,U04
B023,U08,U10
B024,U10,U11
B025,U07,U09
B026,U02,U05
B027,U04,U06
B028,U09,U10
B029,U00,U06
B030,U00,U10
B031,U01,U06
B032,U01,U09
B033,U04,U10
B034,U05,U08
B035,U08,U11
B036,U01,U03
B037,U03,U09
B038,U06,U11
B039,U04,U11
B040,U05,U11
B041,U07,U10
B042,U07,U08
B043,U04,U09
B044,U05,U09
B045,U00,U11
B046,U06,U09
B047,U09,U11
B048,U01,U10
B049,U06,U10
B050,U02,U10
B051,U04,U08
B052,U01,U08
B053,U06,U07
B054,U03,U05
B055,U02,U11
B056,U07,U11
B057,U00,U07
B058,U01,U05
B059,U01,U07
B060,U03,U10
B061,U03,U04
B062,U02,U04
B063,U00,U08
B064,U00,U03
B065,U06,U08
