bundle_id,left_unit,right_unit
B000,U00,U08
B001,U00,U01
B002,U04,U08
B003,U01,U04
B004,U04,U07
B005,U00,U02
B006,U05,U06
B007,U07,U08
B008,U01,U09
B009,U03,U10
B010,U02,U03
B011,U02,U09
B012,U01,U03
B013,U00,U07
B014,U03,U06
B015,U03,U08
B016,U00,U04
B017,U02,U07
B018,U08,U10
B019,U06,U08
B020,U00,U10
B021,U01,U02
B022,U07,U09
B023,U02,U06
B024,U05,U10
B025,U00,U09
B026,U06,U09
B027,U01,U05
B028,U02,U04
B029,U01,U08
B030,U02,U08
B031,U04,U06
B032,U01,U06
B033,U04,U05
B034,U09,U10
B035,U03,U09
B036,U01,U07
B037,U00,U06
B038,U05,U09
B039,U02,U05
B040,U03,U07
B041,U06,U07
B042,U08,U09
B043,U05,U07
B044,U01,U10
B045,U00,U05
B046,U04,U09
B047,U04,U10
B048,U00,U03
B049,U03,U04
B050,U02,U10
B051,U05,U08
B052,U06,U10
B053,U07,U10
B054,U03,U05
