unit_id,tag_a,tag_b,base_term,adj_term,status_code,reported_score
U00,7KQ,X2EWTO4,BKI3S5BCGWZZC,AUWW7UR7PETZR,OK,32.0
U00,PLT,3NA23V5,BVIXE6HOG2ZBE,AIUJCO7ZWKXWH,REVIEW,33.0
U00,PQ6,GGOT5HC,BHTP637NVQ4Z2,AUNZYR5HD66UL,REVIEW,74.0
U00,32M,RX3GYRM,BJHHPM5FPUR6W,A3VTRILNWXRTY,OK,76.0
U00,5JZ,EFY4ISD,B7IHIAEHCGZKN,A4KJNXXM27FMU,OK,28.0
U00,4Q2,K3DSPYY,BDEPUBBDUOFD7,A7SMFK2BOH4S5,OK,28.0
U00,WLH,ILNLZNR,BQSKJTFJWYNNH,AH4LIKCT4U5M2,REVIEW,30.0
U00,J6D,P4IO7VW,B5DE7AWNWGRUH,A2LI4QWDA7XDE,REVIEW,31.0
U00,DZN,TALNYSK,BBLWOJYKSBRUR,A254ZGDFGI7MJ,REVIEW,39062.0
U00,ZE2,D5MVZK2,BCHW3UKEO54QP,A7FYYVDJ3K4HJ,REVIEW,29.0
U00,XYQ,B342O6H,B6SYHFWOQN7GH,AIXQXZSFAY63T,OK,35.0
U00,FSU,WVNDPSV,B2QX6Z4IIN7OF,ACD2FU3OOZ3FA,REVIEW,66.0
U00,727,BD6OCKV,BLNE4YZM3BDBH,AAMIYC6GDSCA4,OK,60.0
U00,I63,AJWYE37,BDVEBXOL6U2VF,AIWBGLYR5KQ33,REVIEW,39060.0
U00,RYX,3NPZIHD,BNG4HHZN4IXHC,AGIW5LJ65LAZ6,OK,30.0
U00,UAK,HPBAUAV,BR73UUDHXKXVD,AB3FAZAH4JWZO,OK,39066.0
U00,YBR,JH2HAZH,BAWSJGWSSAJWS,A25IYULIFRX7Z,OK,39064.0
U00,3LB,EPEN7MY,BA6FIT3DIMGT4,AGGDUHP4YFHQN,REVIEW,39062.0
