bundle_id,left_unit,right_unit
B000,U06,U08
B001,U03,U08
B002,U01,U02
B003,U04,U07
B004,U03,U09
B005,U07,U08
B006,U06,U07
B007,U05,U06
B008,U04,U09
B009,U02,U05
B010,U02,U09
B011,U01,U05
B012,U00,U03
B013,U05,U08
B014,U00,U04
B015,U06,U09
B016,U07,U10
B017,U02,U04
B018,U00,U01
B019,U00,U08
B020,U05,U09
B021,U04,U05
B022,U04,U08
B023,U04,U10
B024,U01,U09
B025,U03,U05
B026,U01,U07
B027,U02,U03
B028,U03,U10
B029,U00,U10
B030,U04,U06
B031,U01,U08
B032,U00,U02
B033,U02,U06
B034,U01,U10
B035,U08,U10
B036,U01,U04
B037,U00,U07
B038,U06,U10
B039,U02,U07
B040,U01,U06
B041,U03,U04
B042,U03,U07
B043,U01,U03
B044,U02,U08
B045,U03,U06
B046,U07,U09
B047,U09,U10
B048,U05,U07
B049,U02,U10
B050,U05,U10
B051,U00,U06
B052,U00,U05
B053,U00,U09
B054,U08,U09
