source,target,var_cost_fwd,fixed_cost_fwd,var_cost_bwd,fixed_cost_bwd
1,30,7.0,41.0,3.0,23.0
1,50,4.0,21.0,9.0,39.0
1,15,3.0,22.0,7.0,23.0
2,38,7.0,47.0,6.0,43.0
2,7,6.0,48.0,2.0,32.0
2,13,9.0,38.0,2.0,42.0
2,5,1.0,26.0,2.0,27.0
2,10,2.0,43.0,8.0,43.0
2,28,7.0,29.0,3.0,36.0
2,25,7.0,24.0,5.0,33.0
2,31,2.0,41.0,5.0,44.0
3,18,9.0,38.0,2.0,44.0
3,7,7.0,45.0,2.0,47.0
3,49,7.0,20.0,4.0,20.0
3,36,6.0,21.0,3.0,25.0
3,19,6.0,25.0,9.0,32.0
3,20,8.0,26.0,1.0,42.0
3,6,1.0,27.0,1.0,26.0
3,35,3.0,35.0,3.0,22.0
3,41,5.0,24.0,1.0,32.0
3,21,6.0,42.0,6.0,48.0
3,39,7.0,25.0,7.0,41.0
3,50,2.0,27.0,8.0,21.0
4,24,8.0,38.0,7.0,25.0
4,41,6.0,32.0,6.0,42.0
4,37,5.0,45.0,8.0,46.0
4,11,7.0,23.0,3.0,47.0
4,22,6.0,47.0,3.0,44.0
4,45,8.0,34.0,9.0,27.0
5,17,8.0,22.0,2.0,45.0
5,43,1.0,49.0,3.0,41.0
5,9,5.0,33.0,7.0,42.0
5,32,2.0,27.0,6.0,30.0
5,21,4.0,44.0,3.0,45.0
6,32,5.0,23.0,1.0,20.0
6,43,3.0,39.0,6.0,30.0
6,13,6.0,25.0,7.0,31.0
6,16,5.0,20.0,3.0,36.0
7,37,8.0,38.0,6.0,29.0
7,22,4.0,24.0,3.0,21.0
7,31,6.0,21.0,1.0,48.0
7,13,9.0,40.0,3.0,21.0
7,36,4.0,44.0,3.0,44.0
7,43,7.0,27.0,5.0,37.0
7,21,9.0,24.0,9.0,40.0
7,33,3.0,48.0,3.0,36.0
7,16,8.0,22.0,1.0,29.0
7,38,2.0,21.0,4.0,33.0
8,46,8.0,46.0,8.0,25.0
8,44,8.0,25.0,2.0,48.0
8,9,4.0,24.0,1.0,40.0
8,33,9.0,31.0,9.0,46.0
8,29,6.0,25.0,4.0,29.0
8,36,6.0,25.0,7.0,20.0
8,31,9.0,21.0,7.0,22.0
8,21,2.0,22.0,2.0,27.0
8,35,3.0,23.0,4.0,33.0
9,11,1.0,23.0,3.0,33.0
9,14,6.0,45.0,6.0,36.0
9,19,8.0,24.0,6.0,49.0
9,16,5.0,34.0,4.0,25.0
9,21,1.0,26.0,2.0,24.0
9,31,5.0,32.0,6.0,42.0
9,26,5.0,27.0,4.0,22.0
10,32,1.0,41.0,7.0,42.0
10,20,4.0,29.0,5.0,48.0
10,13,9.0,37.0,3.0,28.0
10,33,4.0,35.0,6.0,25.0
10,21,6.0,35.0,3.0,35.0
10,50,9.0,25.0,5.0,22.0
11,29,7.0,32.0,1.0,36.0
11,25,4.0,22.0,5.0,44.0
11,18,3.0,37.0,3.0,27.0
11,41,6.0,43.0,7.0,26.0
11,33,1.0,45.0,8.0,44.0
11,46,1.0,26.0,2.0,29.0
12,43,9.0,24.0,6.0,34.0
12,35,7.0,40.0,4.0,47.0
12,36,6.0,49.0,2.0,31.0
12,47,3.0,35.0,3.0,45.0
12,18,4.0,24.0,5.0,21.0
12,27,6.0,30.0,3.0,40.0
12,32,6.0,37.0,3.0,35.0
12,14,4.0,42.0,1.0,25.0
12,39,8.0,46.0,4.0,48.0
12,19,5.0,22.0,3.0,25.0
12,28,6.0,33.0,2.0,40.0
12,50,7.0,23.0,8.0,41.0
13,21,8.0,44.0,8.0,34.0
13,22,2.0,25.0,3.0,20.0
13,48,9.0,39.0,1.0,45.0
13,19,7.0,27.0,9.0,34.0
13,31,4.0,46.0,9.0,27.0
13,50,1.0,38.0,3.0,30.0
14,15,7.0,25.0,2.0,41.0
14,36,6.0,40.0,6.0,47.0
14,35,4.0,49.0,4.0,46.0
15,44,1.0,21.0,4.0,31.0
15,38,3.0,46.0,7.0,25.0
15,29,9.0,44.0,9.0,27.0
15,26,9.0,47.0,4.0,34.0
15,18,1.0,39.0,6.0,45.0
16,17,2.0,27.0,3.0,47.0
16,22,8.0,45.0,1.0,33.0
16,45,4.0,22.0,5.0,23.0
16,27,1.0,44.0,5.0,44.0
16,18,2.0,38.0,1.0,49.0
16,28,5.0,20.0,4.0,26.0
16,42,9.0,28.0,3.0,28.0
16,34,4.0,28.0,2.0,27.0
17,21,3.0,37.0,9.0,20.0
17,29,4.0,23.0,8.0,30.0
17,48,2.0,42.0,2.0,36.0
17,42,4.0,38.0,9.0,44.0
17,36,4.0,43.0,7.0,33.0
17,44,9.0,44.0,9.0,39.0
17,18,9.0,31.0,1.0,33.0
17,28,4.0,45.0,8.0,30.0
17,40,4.0,21.0,3.0,40.0
17,24,5.0,22.0,2.0,28.0
18,22,6.0,21.0,6.0,45.0
18,19,2.0,37.0,4.0,28.0
19,30,1.0,22.0,5.0,44.0
19,34,5.0,23.0,5.0,46.0
19,26,6.0,43.0,3.0,48.0
19,20,1.0,45.0,3.0,32.0
19,25,1.0,30.0,2.0,23.0
20,29,8.0,28.0,1.0,21.0
20,40,8.0,27.0,2.0,43.0
20,21,7.0,47.0,4.0,48.0
20,48,3.0,47.0,8.0,27.0
20,32,9.0,46.0,7.0,37.0
20,38,1.0,20.0,7.0,30.0
20,31,6.0,45.0,1.0,49.0
20,47,2.0,20.0,4.0,28.0
20,34,8.0,23.0,5.0,49.0
20,30,6.0,24.0,4.0,30.0
20,25,6.0,45.0,2.0,40.0
21,39,6.0,38.0,4.0,43.0
21,34,8.0,24.0,7.0,48.0
21,38,3.0,37.0,4.0,34.0
21,28,3.0,45.0,6.0,22.0
21,23,9.0,34.0,1.0,35.0
22,38,2.0,28.0,1.0,43.0
23,26,1.0,36.0,3.0,25.0
23,41,2.0,46.0,9.0,35.0
23,35,6.0,32.0,1.0,37.0
24,25,2.0,28.0,3.0,25.0
24,29,6.0,49.0,1.0,43.0
24,33,1.0,23.0,3.0,32.0
25,34,1.0,46.0,1.0,20.0
25,35,9.0,32.0,7.0,37.0
25,45,7.0,26.0,9.0,30.0
25,41,6.0,27.0,5.0,35.0
25,42,8.0,45.0,2.0,41.0
25,30,1.0,43.0,6.0,39.0
25,36,9.0,34.0,3.0,40.0
26,44,8.0,47.0,6.0,38.0
26,37,3.0,22.0,8.0,43.0
26,27,5.0,36.0,6.0,41.0
26,39,7.0,34.0,1.0,21.0
27,34,3.0,29.0,7.0,24.0
27,46,8.0,21.0,1.0,43.0
28,35,8.0,44.0,1.0,41.0
28,33,7.0,35.0,1.0,26.0
28,34,7.0,26.0,1.0,44.0
28,47,8.0,30.0,7.0,26.0
29,42,5.0,27.0,6.0,22.0
30,33,8.0,21.0,4.0,37.0
30,32,3.0,29.0,8.0,43.0
30,36,2.0,37.0,5.0,41.0
31,33,9.0,25.0,7.0,48.0
32,34,3.0,42.0,1.0,35.0
32,37,7.0,35.0,3.0,49.0
32,43,9.0,34.0,1.0,28.0
32,35,8.0,23.0,3.0,45.0
33,36,2.0,32.0,5.0,22.0
34,47,8.0,39.0,9.0,29.0
35,36,6.0,21.0,3.0,34.0
35,47,5.0,30.0,2.0,45.0
