row,col,required_intensity
1,1,5
1,2,0
1,3,7
1,4,8
1,5,0
1,6,7
1,7,0
1,8,5
1,9,10
1,10,7
1,11,6
1,12,10
1,13,9
1,14,2
1,15,2
1,16,5
1,17,7
1,18,8
1,19,3
1,20,8
1,21,5
1,22,9
1,23,9
1,24,2
1,25,10
1,26,5
1,27,3
1,28,2
1,29,4
1,30,8
1,31,3
1,32,0
1,33,8
1,34,3
1,35,1
1,36,2
1,37,1
1,38,5
1,39,10
1,40,8
2,1,1
2,2,7
2,3,5
2,4,2
2,5,9
2,6,9
2,7,8
2,8,2
2,9,0
2,10,8
2,11,8
2,12,2
2,13,7
2,14,4
2,15,0
2,16,1
2,17,3
2,18,10
2,19,10
2,20,8
2,21,8
2,22,8
2,23,10
2,24,10
2,25,4
2,26,0
2,27,5
2,28,8
2,29,3
2,30,3
2,31,3
2,32,0
2,33,9
2,34,5
2,35,10
2,36,8
2,37,6
2,38,8
2,39,4
2,40,9
3,1,2
3,2,10
3,3,10
3,4,3
3,5,3
3,6,9
3,7,8
3,8,6
3,9,4
3,10,2
3,11,6
3,12,2
3,13,8
3,14,1
3,15,8
3,16,6
3,17,1
3,18,3
3,19,1
3,20,10
3,21,2
3,22,5
3,23,8
3,24,0
3,25,2
3,26,9
3,27,10
3,28,2
3,29,4
3,30,2
3,31,2
3,32,10
3,33,10
3,34,4
3,35,4
3,36,6
3,37,0
3,38,7
3,39,0
3,40,0
4,1,3
4,2,9
4,3,6
4,4,0
4,5,4
4,6,10
4,7,5
4,8,4
4,9,4
4,10,8
4,11,3
4,12,8
4,13,1
4,14,0
4,15,2
4,16,1
4,17,10
4,18,8
4,19,9
4,20,0
4,21,8
4,22,2
4,23,1
4,24,6
4,25,3
4,26,9
4,27,2
4,28,3
4,29,3
4,30,9
4,31,10
4,32,7
4,33,4
4,34,1
4,35,9
4,36,9
4,37,9
4,38,3
4,39,1
4,40,4
5,1,6
5,2,0
5,3,8
5,4,9
5,5,10
5,6,3
5,7,9
5,8,0
5,9,4
5,10,4
5,11,2
5,12,4
5,13,4
5,14,5
5,15,1
5,16,10
5,17,0
5,18,7
5,19,5
5,20,0
5,21,3
5,22,8
5,23,2
5,24,9
5,25,6
5,26,0
5,27,6
5,28,2
5,29,4
5,30,7
5,31,8
5,32,4
5,33,6
5,34,8
5,35,10
5,36,10
5,37,1
5,38,5
5,39,2
5,40,6
6,1,7
6,2,10
6,3,6
6,4,2
6,5,1
6,6,10
6,7,1
6,8,5
6,9,5
6,10,8
6,11,10
6,12,0
6,13,2
6,14,4
6,15,6
6,16,5
6,17,7
6,18,6
6,19,9
6,20,3
6,21,0
6,22,4
6,23,9
6,24,6
6,25,8
6,26,3
6,27,1
6,28,2
6,29,6
6,30,0
6,31,8
6,32,8
6,33,7
6,34,4
6,35,7
6,36,5
6,37,0
6,38,7
6,39,1
6,40,3
7,1,1
7,2,6
7,3,2
7,4,0
7,5,4
7,6,0
7,7,4
7,8,6
7,9,3
7,10,2
7,11,2
7,12,0
7,13,8
7,14,0
7,15,6
7,16,6
7,17,4
7,18,9
7,19,10
7,20,7
7,21,1
7,22,6
7,23,4
7,24,1
7,25,7
7,26,4
7,27,0
7,28,7
7,29,6
7,30,2
7,31,5
7,32,1
7,33,8
7,34,8
7,35,8
7,36,10
7,37,5
7,38,3
7,39,1
7,40,2
8,1,10
8,2,4
8,3,3
8,4,5
8,5,7
8,6,6
8,7,8
8,8,4
8,9,3
8,10,0
8,11,9
8,12,5
8,13,4
8,14,3
8,15,9
8,16,0
8,17,0
8,18,0
8,19,7
8,20,2
8,21,1
8,22,1
8,23,6
8,24,4
8,25,8
8,26,9
8,27,3
8,28,3
8,29,8
8,30,9
8,31,5
8,32,4
8,33,1
8,34,10
8,35,4
8,36,5
8,37,0
8,38,1
8,39,5
8,40,4
9,1,2
9,2,5
9,3,8
9,4,8
9,5,6
9,6,2
9,7,4
9,8,9
9,9,10
9,10,9
9,11,10
9,12,7
9,13,0
9,14,5
9,15,9
9,16,1
9,17,3
9,18,1
9,19,2
9,20,1
9,21,7
9,22,1
9,23,10
9,24,1
9,25,9
9,26,10
9,27,9
9,28,8
9,29,4
9,30,9
9,31,0
9,32,4
9,33,3
9,34,7
9,35,5
9,36,2
9,37,6
9,38,6
9,39,2
9,40,5
10,1,9
10,2,1
10,3,2
10,4,3
10,5,8
10,6,3
10,7,6
10,8,3
10,9,5
10,10,0
10,11,9
10,12,3
10,13,6
10,14,10
10,15,1
10,16,5
10,17,1
10,18,5
10,19,7
10,20,8
10,21,8
10,22,4
10,23,0
10,24,1
10,25,3
10,26,10
10,27,6
10,28,8
10,29,8
10,30,6
10,31,4
10,32,1
10,33,0
10,34,9
10,35,1
10,36,10
10,37,7
10,38,8
10,39,0
10,40,3
11,1,9
11,2,1
11,3,3
11,4,1
11,5,5
11,6,10
11,7,0
11,8,2
11,9,6
11,10,9
11,11,7
11,12,8
11,13,10
11,14,2
11,15,2
11,16,2
11,17,1
11,18,4
