package_id,difficulty
1,hard
2,hard
3,hard
4,hard
5,hard
6,hard
7,hard
8,hard
9,hard
10,hard
11,hard
12,hard
13,hard
14,hard
15,easy
16,hard
17,hard
18,hard
19,hard
20,hard
21,hard
22,hard
23,hard
24,hard
25,hard
26,hard
27,hard
28,hard
29,hard
30,hard
31,hard
32,hard
33,easy
34,hard
35,hard
36,hard
37,hard
38,hard
39,hard
40,hard
41,hard
42,hard
43,hard
44,hard
45,hard
46,hard
47,hard
48,hard
49,hard
50,hard
51,hard
52,hard
53,hard
54,hard
55,hard
56,hard
57,hard
58,hard
59,hard
60,hard
61,hard
62,hard
63,hard
64,hard
65,hard
66,hard
67,hard
68,hard
69,hard
70,hard
71,hard
72,hard
73,hard
74,hard
75,hard
76,hard
77,hard
78,hard
79,hard
80,hard
81,hard
82,hard
83,hard
84,hard
85,hard
86,hard
87,hard
88,hard
89,hard
90,hard
91,hard
92,hard
93,hard
94,hard
95,hard
96,easy
97,hard
98,hard
99,hard
100,hard
101,hard
102,hard
103,hard
104,hard
105,hard
106,hard
107,hard
108,hard
109,hard
110,hard
111,hard
112,hard
113,hard
114,easy
115,hard
116,hard
117,hard
118,hard
119,hard
120,hard
121,hard
122,hard
123,hard
124,hard
125,hard
126,hard
127,hard
128,hard
129,hard
130,hard
131,hard
132,hard
133,hard
134,hard
135,hard
136,hard
137,hard
138,hard
139,hard
140,hard
141,hard
142,hard
143,hard
144,hard
145,hard
146,hard
147,hard
148,hard
149,hard
150,hard
151,hard
152,hard
153,hard
154,hard
155,hard
156,hard
157,hard
158,hard
159,hard
160,hard
161,hard
162,hard
163,hard
164,hard
165,hard
166,hard
167,hard
168,hard
169,hard
170,hard
171,hard
172,hard
173,hard
174,hard
175,hard
176,hard
177,hard
178,hard
179,hard
180,hard
181,hard
182,hard
183,hard
184,hard
185,hard
186,hard
187,hard
188,hard
189,hard
190,hard
191,hard
192,hard
193,hard
194,hard
195,hard
196,hard
197,hard
198,hard
199,hard
200,hard
201,hard
202,hard
203,hard
204,hard
205,hard
206,hard
207,hard
208,hard
209,hard
210,hard
211,hard
212,hard
213,hard
214,hard
215,hard
216,hard
217,hard
218,hard
219,hard
220,hard
221,hard
222,hard
223,hard
224,hard
225,hard
226,hard
227,hard
228,hard
229,hard
230,hard
231,hard
232,hard
233,hard
234,hard
235,hard
236,hard
237,hard
238,hard
239,hard
240,hard
241,hard
242,hard
243,hard
244,hard
245,hard
246,hard
247,easy
248,easy
249,easy
250,easy
251,hard
252,hard
253,hard
254,hard
255,hard
256,hard
257,hard
258,hard
259,hard
260,hard
261,hard
262,hard
263,hard
264,hard
265,hard
266,hard
267,hard
268,hard
269,hard
270,hard
