warehouse_id,store_id,variable_cost,fixed_cost,capacity
warehouse_0,store_0,7.0,129.0,14.0
warehouse_0,store_1,1.0,138.0,14.0
warehouse_0,store_2,3.0,230.0,13.0
warehouse_0,store_3,3.0,164.0,6.0
warehouse_0,store_4,3.0,296.0,3.0
warehouse_0,store_5,8.0,231.0,14.0
warehouse_0,store_6,9.0,107.0,4.0
warehouse_0,store_7,6.0,263.0,1.0
warehouse_0,store_8,10.0,195.0,14.0
warehouse_0,store_9,9.0,289.0,14.0
warehouse_0,store_10,3.0,164.0,2.0
warehouse_0,store_11,7.0,217.0,9.0
warehouse_0,store_12,9.0,144.0,5.0
warehouse_1,store_0,7.0,103.0,20.0
warehouse_1,store_1,4.0,84.0,21.0
warehouse_1,store_2,4.0,165.0,13.0
warehouse_1,store_3,8.0,251.0,6.0
warehouse_1,store_4,8.0,161.0,3.0
warehouse_1,store_5,9.0,92.0,21.0
warehouse_1,store_6,10.0,131.0,4.0
warehouse_1,store_7,5.0,229.0,1.0
warehouse_1,store_8,9.0,143.0,21.0
warehouse_1,store_9,9.0,237.0,21.0
warehouse_1,store_10,6.0,101.0,2.0
warehouse_1,store_11,10.0,157.0,9.0
warehouse_1,store_12,4.0,230.0,5.0
warehouse_2,store_0,1.0,212.0,11.0
warehouse_2,store_1,10.0,247.0,11.0
warehouse_2,store_2,4.0,282.0,11.0
warehouse_2,store_3,7.0,114.0,6.0
warehouse_2,store_4,3.0,150.0,3.0
warehouse_2,store_5,1.0,240.0,11.0
warehouse_2,store_6,1.0,123.0,4.0
warehouse_2,store_7,5.0,293.0,1.0
warehouse_2,store_8,1.0,256.0,11.0
warehouse_2,store_9,4.0,243.0,11.0
warehouse_2,store_10,6.0,204.0,2.0
warehouse_2,store_11,4.0,201.0,9.0
warehouse_2,store_12,9.0,185.0,5.0
warehouse_3,store_0,10.0,248.0,20.0
warehouse_3,store_1,6.0,292.0,28.0
warehouse_3,store_2,10.0,222.0,13.0
warehouse_3,store_3,10.0,234.0,6.0
warehouse_3,store_4,3.0,244.0,3.0
warehouse_3,store_5,5.0,100.0,28.0
warehouse_3,store_6,9.0,195.0,4.0
warehouse_3,store_7,9.0,209.0,1.0
warehouse_3,store_8,7.0,218.0,28.0
warehouse_3,store_9,2.0,140.0,28.0
warehouse_3,store_10,6.0,101.0,2.0
warehouse_3,store_11,3.0,283.0,9.0
warehouse_3,store_12,3.0,200.0,5.0
warehouse_4,store_0,1.0,94.0,13.0
warehouse_4,store_1,4.0,214.0,13.0
warehouse_4,store_2,10.0,286.0,13.0
warehouse_4,store_3,4.0,136.0,6.0
warehouse_4,store_4,8.0,193.0,3.0
warehouse_4,store_5,5.0,255.0,13.0
warehouse_4,store_6,1.0,181.0,4.0
warehouse_4,store_7,8.0,89.0,1.0
warehouse_4,store_8,9.0,120.0,13.0
warehouse_4,store_9,9.0,104.0,13.0
warehouse_4,store_10,2.0,298.0,2.0
