variant_id,checkpoint_id,denominator,rhs,sense_id
0,0,260.0,260.0,1
0,1,260.0,260.0,1
0,2,238.0,238.0,1
0,3,239.0,239.0,1
0,4,220.0,220.0,1
0,5,219.0,219.0,1
0,6,200.0,200.0,1
0,7,130.0,130.0,1
0,8,174.0,174.0,1
0,9,116.0,116.0,1
0,10,146.0,146.0,1
0,11,133.0,133.0,1
0,12,16.0,16.0,1
0,13,10.0,10.0,1
0,14,54.0,54.0,1
0,15,100.0,100.0,1
0,16,54.0,54.0,1
1,0,270.0,270.0,1
1,1,280.0,280.0,1
1,2,260.0,260.0,1
1,3,240.0,240.0,1
1,4,231.0,231.0,1
1,5,229.0,229.0,1
1,6,201.0,201.0,1
1,7,152.0,152.0,1
1,8,180.0,180.0,1
1,9,116.0,116.0,1
1,10,166.0,166.0,1
1,11,140.0,140.0,1
1,12,58.0,58.0,1
1,13,40.0,40.0,1
1,14,56.0,56.0,1
1,15,120.0,120.0,1
1,16,54.0,54.0,1
2,0,78.0,78.0,1
2,1,78.0,78.0,1
2,2,69.0,69.0,1
2,3,68.0,68.0,1
2,4,64.0,64.0,1
2,5,66.0,66.0,1
2,6,60.0,60.0,1
2,7,38.0,38.0,1
2,8,32.0,32.0,1
2,9,24.0,24.0,1
2,10,47.0,47.0,1
2,11,42.0,42.0,1
2,12,29.0,29.0,1
2,13,30.0,30.0,1
2,14,24.0,24.0,1
2,15,30.0,30.0,1
2,16,24.0,24.0,1
3,0,84.0,84.0,1
3,1,84.0,84.0,1
3,2,78.0,78.0,1
3,3,71.0,71.0,1
3,4,66.0,66.0,1
3,5,67.0,67.0,1
3,6,57.0,57.0,1
3,7,39.0,39.0,1
3,8,33.0,33.0,1
3,9,30.0,30.0,1
3,10,43.0,43.0,1
3,11,41.0,41.0,1
3,12,30.0,30.0,1
3,13,26.0,26.0,1
3,14,28.0,28.0,1
3,15,36.0,36.0,1
3,16,28.0,28.0,1
