variant_id,checkpoint_id,budget_coefficient,rhs,sense_id
0,0,51484.0,50104.0,0
0,1,47352.0,45972.0,0
0,2,47256.0,45876.0,0
0,3,47039.0,45659.0,0
0,4,46856.0,45476.0,0
0,5,46454.0,45074.0,0
0,6,41809.0,40429.0,0
0,7,41809.0,40429.0,0
0,8,36173.0,34793.0,0
0,9,35123.0,33743.0,0
0,10,35042.0,33662.0,0
0,11,35042.0,33662.0,0
0,12,34705.0,33325.0,0
0,13,34594.0,33214.0,0
0,14,34427.0,33047.0,0
0,15,34010.0,32630.0,0
0,16,33754.0,32374.0,0
0,17,33621.0,32241.0,0
0,18,33332.0,31952.0,0
0,19,33312.0,31932.0,0
0,20,30899.0,29519.0,0
0,21,30558.0,29178.0,0
0,22,30461.0,29081.0,0
0,23,30334.0,28954.0,0
0,24,27462.0,26082.0,0
0,25,7841.0,6461.0,0
0,26,7841.0,6461.0,0
1,0,51484.0,48434.0,0
1,1,47352.0,43236.0,0
1,2,47256.0,42901.0,0
1,3,47039.0,42875.0,0
1,4,46856.0,42692.0,0
1,5,46454.0,42680.0,0
1,6,41809.0,38754.0,0
1,7,41809.0,38754.0,0
1,8,36173.0,32009.0,0
1,9,35123.0,32020.0,0
1,10,35042.0,30878.0,0
1,11,35042.0,30878.0,0
1,12,34705.0,31665.0,0
1,13,34594.0,31491.0,0
1,14,34427.0,31209.0,0
1,15,34010.0,30942.0,0
1,16,33754.0,30672.0,0
1,17,33621.0,30539.0,0
1,18,33332.0,30292.0,0
1,19,33312.0,30231.0,0
1,20,30899.0,27811.0,0
1,21,30558.0,27470.0,0
1,22,30461.0,27391.0,0
1,23,30334.0,27246.0,0
1,24,27462.0,24397.0,0
1,25,7841.0,4786.0,0
1,26,7841.0,4786.0,0
2,0,51484.0,48624.0,0
2,1,47352.0,42976.0,0
2,2,47256.0,42589.0,0
2,3,47039.0,42962.0,0
2,4,46856.0,42779.0,0
2,5,46454.0,41011.0,0
2,6,41809.0,38790.0,0
2,7,41809.0,38790.0,0
2,8,36173.0,32096.0,0
2,9,35123.0,31993.0,0
