requirement_id,operation_id,station_id,coefficient
0,59,3,6.0
0,95,3,6.0
0,96,3,6.0
0,98,3,2.0
0,103,3,6.0
0,104,3,6.0
0,109,3,6.0
0,122,3,6.0
0,124,3,6.0
0,126,3,6.0
0,128,3,6.0
0,129,3,6.0
0,132,3,6.0
0,135,3,6.0
0,137,3,9.0
0,138,3,6.0
0,149,3,6.0
0,153,3,2.0
0,164,3,6.0
0,168,3,6.0
0,173,3,6.0
0,174,3,6.0
0,175,3,6.0
0,176,3,6.0
0,59,4,6.0
0,95,4,6.0
0,96,4,6.0
0,98,4,2.0
0,103,4,6.0
0,104,4,6.0
0,109,4,6.0
0,122,4,6.0
0,124,4,6.0
0,126,4,6.0
0,128,4,6.0
0,129,4,6.0
0,132,4,6.0
0,135,4,6.0
0,137,4,9.0
0,138,4,6.0
0,149,4,6.0
0,153,4,2.0
0,164,4,6.0
0,168,4,6.0
0,173,4,6.0
0,174,4,6.0
0,175,4,6.0
0,176,4,6.0
0,59,5,6.0
0,95,5,6.0
0,96,5,6.0
0,98,5,2.0
0,103,5,6.0
0,104,5,6.0
0,109,5,6.0
0,122,5,6.0
0,124,5,6.0
0,126,5,6.0
0,128,5,6.0
0,129,5,6.0
0,132,5,6.0
0,135,5,6.0
0,137,5,9.0
0,138,5,6.0
0,149,5,6.0
0,153,5,2.0
0,164,5,6.0
0,168,5,6.0
0,173,5,6.0
0,174,5,6.0
0,175,5,6.0
0,176,5,6.0
1,59,3,6.0
1,95,3,6.0
1,96,3,6.0
1,98,3,2.0
1,103,3,6.0
1,104,3,6.0
1,109,3,6.0
1,122,3,6.0
1,124,3,6.0
1,126,3,6.0
1,128,3,6.0
1,129,3,6.0
1,132,3,6.0
1,135,3,6.0
1,137,3,9.0
1,138,3,6.0
1,149,3,6.0
1,153,3,2.0
1,164,3,6.0
1,168,3,6.0
1,173,3,6.0
1,175,3,6.0
1,176,3,6.0
1,178,3,6.0
1,59,4,6.0
1,95,4,6.0
1,96,4,6.0
1,98,4,2.0
1,103,4,6.0
1,104,4,6.0
1,109,4,6.0
1,122,4,6.0
1,124,4,6.0
1,126,4,6.0
1,128,4,6.0
1,129,4,6.0
1,132,4,6.0
1,135,4,6.0
1,137,4,9.0
1,138,4,6.0
1,149,4,6.0
1,153,4,2.0
1,164,4,6.0
1,168,4,6.0
1,173,4,6.0
1,175,4,6.0
1,176,4,6.0
1,178,4,6.0
1,59,5,6.0
1,95,5,6.0
1,96,5,6.0
1,98,5,2.0
1,103,5,6.0
1,104,5,6.0
1,109,5,6.0
1,122,5,6.0
1,124,5,6.0
1,126,5,6.0
1,128,5,6.0
1,129,5,6.0
1,132,5,6.0
1,135,5,6.0
1,137,5,9.0
1,138,5,6.0
1,149,5,6.0
1,153,5,2.0
1,164,5,6.0
1,168,5,6.0
1,173,5,6.0
1,175,5,6.0
1,176,5,6.0
1,178,5,6.0
2,59,3,6.0
2,95,3,6.0
2,96,3,6.0
2,98,3,2.0
2,103,3,6.0
2,104,3,6.0
2,109,3,6.0
2,122,3,6.0
2,124,3,6.0
2,126,3,6.0
2,128,3,6.0
2,129,3,6.0
2,132,3,6.0
2,135,3,6.0
2,137,3,9.0
2,138,3,6.0
2,149,3,6.0
2,153,3,2.0
2,164,3,6.0
2,168,3,6.0
2,173,3,6.0
2,175,3,6.0
2,176,3,6.0
2,183,3,6.0
2,185,3,6.0
2,59,4,6.0
2,95,4,6.0
2,96,4,6.0
2,98,4,2.0
2,103,4,6.0
2,104,4,6.0
2,109,4,6.0
2,122,4,6.0
2,124,4,6.0
2,126,4,6.0
2,128,4,6.0
2,129,4,6.0
2,132,4,6.0
2,135,4,6.0
2,137,4,9.0
2,138,4,6.0
2,149,4,6.0
2,153,4,2.0
2,164,4,6.0
2,168,4,6.0
2,173,4,6.0
2,175,4,6.0
2,176,4,6.0
2,183,4,6.0
2,185,4,6.0
2,59,5,6.0
2,95,5,6.0
2,96,5,6.0
2,98,5,2.0
2,103,5,6.0
2,104,5,6.0
2,109,5,6.0
2,122,5,6.0
2,124,5,6.0
2,126,5,6.0
2,128,5,6.0
2,129,5,6.0
2,132,5,6.0
2,135,5,6.0
2,137,5,9.0
2,138,5,6.0
2,149,5,6.0
2,153,5,2.0
2,164,5,6.0
2,168,5,6.0
2,173,5,6.0
2,175,5,6.0
2,176,5,6.0
2,183,5,6.0
2,185,5,6.0
3,59,3,6.0
3,95,3,6.0
3,96,3,6.0
3,103,3,6.0
3,104,3,6.0
3,109,3,6.0
3,122,3,6.0
3,124,3,6.0
3,128,3,6.0
3,129,3,6.0
3,132,3,6.0
3,135,3,6.0
3,137,3,9.0
3,138,3,6.0
3,149,3,6.0
3,153,3,2.0
3,164,3,6.0
3,168,3,6.0
3,173,3,6.0
3,175,3,6.0
3,176,3,6.0
3,183,3,6.0
3,185,3,6.0
3,190,3,6.0
3,59,4,6.0
3,95,4,6.0
3,96,4,6.0
3,103,4,6.0
3,104,4,6.0
3,109,4,6.0
3,122,4,6.0
3,124,4,6.0
3,128,4,6.0
3,129,4,6.0
3,132,4,6.0
3,135,4,6.0
3,137,4,9.0
3,138,4,6.0
3,149,4,6.0
3,153,4,2.0
3,164,4,6.0
3,168,4,6.0
3,173,4,6.0
3,175,4,6.0
3,176,4,6.0
3,183,4,6.0
3,185,4,6.0
3,190,4,6.0
3,59,5,6.0
3,95,5,6.0
3,96,5,6.0
3,103,5,6.0
3,104,5,6.0
3,109,5,6.0
3,122,5,6.0
3,124,5,6.0
3,128,5,6.0
3,129,5,6.0
3,132,5,6.0
3,135,5,6.0
3,137,5,9.0
3,138,5,6.0
3,149,5,6.0
3,153,5,2.0
3,164,5,6.0
3,168,5,6.0
3,173,5,6.0
3,175,5,6.0
3,176,5,6.0
3,183,5,6.0
3,185,5,6.0
3,190,5,6.0
4,109,3,6.0
4,193,3,3.0
4,214,3,3.0
4,224,3,3.0
4,234,3,3.0
4,239,3,3.0
4,242,3,3.0
4,251,3,3.0
4,260,3,6.0
4,261,3,6.0
4,262,3,6.0
4,263,3,6.0
4,267,3,6.0
4,273,3,6.0
4,274,3,3.0
4,276,3,6.0
4,277,3,6.0
4,278,3,6.0
4,279,3,6.0
4,280,3,6.0
4,284,3,6.0
4,287,3,6.0
4,288,3,6.0
4,289,3,6.0
4,294,3,6.0
4,295,3,6.0
4,296,3,6.0
4,301,3,3.0
4,305,3,6.0
4,307,3,6.0
4,308,3,9.0
4,109,4,6.0
4,193,4,3.0
4,214,4,3.0
4,224,4,3.0
4,234,4,3.0
4,239,4,3.0
4,242,4,3.0
4,251,4,3.0
4,260,4,6.0
4,261,4,6.0
4,262,4,6.0
4,263,4,6.0
4,267,4,6.0
4,273,4,6.0
4,274,4,3.0
4,276,4,6.0
4,277,4,6.0
4,278,4,6.0
4,279,4,6.0
4,280,4,6.0
4,284,4,6.0
4,287,4,6.0
4,288,4,6.0
4,289,4,6.0
4,294,4,6.0
4,295,4,6.0
4,296,4,6.0
4,301,4,3.0
4,305,4,6.0
4,307,4,6.0
4,308,4,9.0
4,109,5,6.0
4,193,5,3.0
4,214,5,3.0
4,224,5,3.0
4,234,5,3.0
4,239,5,3.0
4,242,5,3.0
4,251,5,3.0
4,260,5,6.0
4,261,5,6.0
4,262,5,6.0
4,263,5,6.0
4,267,5,6.0
4,273,5,6.0
4,274,5,3.0
4,276,5,6.0
4,277,5,6.0
4,278,5,6.0
4,279,5,6.0
4,280,5,6.0
4,284,5,6.0
4,287,5,6.0
4,288,5,6.0
4,289,5,6.0
4,294,5,6.0
4,295,5,6.0
4,296,5,6.0
4,301,5,3.0
4,305,5,6.0
4,307,5,6.0
4,308,5,9.0
5,109,3,6.0
5,193,3,3.0
5,214,3,3.0
5,224,3,3.0
5,234,3,3.0
5,239,3,3.0
5,242,3,3.0
5,251,3,3.0
5,260,3,6.0
5,261,3,6.0
5,262,3,6.0
5,263,3,6.0
5,267,3,6.0
5,273,3,6.0
5,274,3,3.0
5,276,3,6.0
5,277,3,6.0
5,278,3,6.0
5,279,3,6.0
5,280,3,6.0
5,284,3,6.0
5,287,3,6.0
5,288,3,6.0
5,289,3,6.0
5,294,3,6.0
5,295,3,6.0
5,296,3,6.0
5,301,3,3.0
5,305,3,6.0
5,307,3,6.0
5,308,3,9.0
5,109,4,6.0
5,193,4,3.0
5,214,4,3.0
5,224,4,3.0
5,234,4,3.0
5,239,4,3.0
5,242,4,3.0
5,251,4,3.0
5,260,4,6.0
5,261,4,6.0
5,262,4,6.0
5,263,4,6.0
5,267,4,6.0
5,273,4,6.0
5,274,4,3.0
5,276,4,6.0
5,277,4,6.0
5,278,4,6.0
5,279,4,6.0
5,280,4,6.0
5,284,4,6.0
5,287,4,6.0
5,288,4,6.0
5,289,4,6.0
5,294,4,6.0
5,295,4,6.0
5,296,4,6.0
5,301,4,3.0
5,305,4,6.0
5,307,4,6.0
5,308,4,9.0
5,109,5,6.0
5,193,5,3.0
5,214,5,3.0
5,224,5,3.0
5,234,5,3.0
5,239,5,3.0
5,242,5,3.0
5,251,5,3.0
5,260,5,6.0
5,261,5,6.0
5,262,5,6.0
5,263,5,6.0
5,267,5,6.0
5,273,5,6.0
5,274,5,3.0
5,276,5,6.0
5,277,5,6.0
5,278,5,6.0
5,279,5,6.0
5,280,5,6.0
5,284,5,6.0
5,287,5,6.0
5,288,5,6.0
5,289,5,6.0
5,294,5,6.0
5,295,5,6.0
5,296,5,6.0
5,301,5,3.0
5,305,5,6.0
5,307,5,6.0
5,308,5,9.0
6,59,3,6.0
6,104,3,6.0
6,128,3,6.0
6,129,3,6.0
6,138,3,6.0
6,149,3,6.0
6,153,3,2.0
6,168,3,6.0
6,178,3,6.0
6,308,3,9.0
6,434,3,6.0
6,451,3,6.0
6,452,3,6.0
6,453,3,6.0
6,455,3,6.0
6,459,3,6.0
6,462,3,6.0
6,463,3,6.0
6,465,3,6.0
6,466,3,6.0
6,467,3,6.0
6,468,3,9.0
6,469,3,6.0
6,471,3,6.0
6,477,3,3.0
6,481,3,6.0
6,59,4,6.0
6,104,4,6.0
6,128,4,6.0
6,129,4,6.0
6,138,4,6.0
6,149,4,6.0
6,153,4,2.0
6,168,4,6.0
6,178,4,6.0
6,308,4,9.0
6,434,4,6.0
6,451,4,6.0
6,452,4,6.0
6,453,4,6.0
6,455,4,6.0
6,459,4,6.0
6,462,4,6.0
6,463,4,6.0
6,465,4,6.0
6,466,4,6.0
6,467,4,6.0
6,468,4,9.0
6,469,4,6.0
6,471,4,6.0
6,477,4,3.0
6,481,4,6.0
6,59,5,6.0
6,104,5,6.0
6,128,5,6.0
6,129,5,6.0
6,138,5,6.0
6,149,5,6.0
6,153,5,2.0
6,168,5,6.0
6,178,5,6.0
6,308,5,9.0
6,434,5,6.0
6,451,5,6.0
6,452,5,6.0
6,453,5,6.0
6,455,5,6.0
6,459,5,6.0
6,462,5,6.0
6,463,5,6.0
6,465,5,6.0
6,466,5,6.0
6,467,5,6.0
6,468,5,9.0
6,469,5,6.0
6,471,5,6.0
6,477,5,3.0
6,481,5,6.0
7,59,3,6.0
7,104,3,6.0
7,128,3,6.0
7,129,3,6.0
7,138,3,6.0
7,149,3,6.0
7,153,3,2.0
7,168,3,6.0
7,178,3,6.0
7,308,3,9.0
7,434,3,6.0
7,451,3,6.0
7,452,3,6.0
7,453,3,6.0
7,455,3,6.0
7,459,3,6.0
7,462,3,6.0
7,465,3,6.0
7,467,3,6.0
7,468,3,9.0
7,469,3,6.0
7,471,3,6.0
7,486,3,6.0
7,487,3,6.0
7,59,4,6.0
7,104,4,6.0
7,128,4,6.0
7,129,4,6.0
7,138,4,6.0
7,149,4,6.0
7,153,4,2.0
7,168,4,6.0
7,178,4,6.0
7,308,4,9.0
7,434,4,6.0
7,451,4,6.0
7,452,4,6.0
7,453,4,6.0
7,455,4,6.0
7,459,4,6.0
7,462,4,6.0
7,465,4,6.0
7,467,4,6.0
7,468,4,9.0
7,469,4,6.0
7,471,4,6.0
7,486,4,6.0
7,487,4,6.0
7,59,5,6.0
7,104,5,6.0
7,128,5,6.0
7,129,5,6.0
7,138,5,6.0
7,149,5,6.0
7,153,5,2.0
7,168,5,6.0
7,178,5,6.0
7,308,5,9.0
7,434,5,6.0
7,451,5,6.0
7,452,5,6.0
7,453,5,6.0
7,455,5,6.0
7,459,5,6.0
7,462,5,6.0
7,465,5,6.0
7,467,5,6.0
7,468,5,9.0
7,469,5,6.0
7,471,5,6.0
7,486,5,6.0
7,487,5,6.0
8,59,3,6.0
8,104,3,6.0
8,128,3,6.0
8,129,3,6.0
8,138,3,6.0
8,149,3,6.0
8,153,3,2.0
8,168,3,6.0
8,178,3,6.0
8,308,3,9.0
8,434,3,6.0
8,451,3,6.0
8,452,3,6.0
8,453,3,6.0
8,455,3,6.0
8,459,3,6.0
8,462,3,6.0
8,463,3,6.0
8,465,3,6.0
8,467,3,6.0
8,468,3,9.0
8,469,3,6.0
8,471,3,6.0
8,487,3,6.0
8,59,4,6.0
8,104,4,6.0
8,128,4,6.0
8,129,4,6.0
8,138,4,6.0
8,149,4,6.0
8,153,4,2.0
8,168,4,6.0
8,178,4,6.0
8,308,4,9.0
8,434,4,6.0
8,451,4,6.0
8,452,4,6.0
8,453,4,6.0
8,455,4,6.0
8,459,4,6.0
8,462,4,6.0
8,463,4,6.0
8,465,4,6.0
8,467,4,6.0
8,468,4,9.0
8,469,4,6.0
8,471,4,6.0
8,487,4,6.0
8,59,5,6.0
8,104,5,6.0
8,128,5,6.0
8,129,5,6.0
8,138,5,6.0
8,149,5,6.0
8,153,5,2.0
8,168,5,6.0
8,178,5,6.0
8,308,5,9.0
8,434,5,6.0
8,451,5,6.0
8,452,5,6.0
8,453,5,6.0
8,455,5,6.0
8,459,5,6.0
8,462,5,6.0
8,463,5,6.0
8,465,5,6.0
8,467,5,6.0
8,468,5,9.0
8,469,5,6.0
8,471,5,6.0
8,487,5,6.0
9,59,3,6.0
9,104,3,6.0
9,128,3,6.0
9,129,3,6.0
9,138,3,6.0
9,153,3,2.0
9,168,3,6.0
9,434,3,6.0
9,455,3,6.0
9,462,3,6.0
9,465,3,6.0
9,469,3,6.0
9,477,3,3.0
9,486,3,6.0
9,499,3,6.0
9,506,3,6.0
9,507,3,6.0
9,512,3,6.0
9,528,3,6.0
9,533,3,9.0
9,535,3,6.0
9,538,3,6.0
9,539,3,6.0
9,59,4,6.0
9,104,4,6.0
9,128,4,6.0
9,129,4,6.0
9,138,4,6.0
9,153,4,2.0
9,168,4,6.0
9,434,4,6.0
9,455,4,6.0
9,462,4,6.0
9,465,4,6.0
9,469,4,6.0
9,477,4,3.0
9,486,4,6.0
9,499,4,6.0
9,506,4,6.0
9,507,4,6.0
9,512,4,6.0
9,528,4,6.0
9,533,4,9.0
9,535,4,6.0
9,538,4,6.0
9,539,4,6.0
9,59,5,6.0
9,104,5,6.0
9,128,5,6.0
9,129,5,6.0
9,138,5,6.0
9,153,5,2.0
9,168,5,6.0
9,434,5,6.0
9,455,5,6.0
9,462,5,6.0
9,465,5,6.0
9,469,5,6.0
9,477,5,3.0
9,486,5,6.0
9,499,5,6.0
9,506,5,6.0
9,507,5,6.0
9,512,5,6.0
9,528,5,6.0
9,533,5,9.0
9,535,5,6.0
9,538,5,6.0
9,539,5,6.0
10,59,3,6.0
10,104,3,6.0
10,128,3,6.0
10,129,3,6.0
10,138,3,6.0
10,153,3,2.0
10,168,3,6.0
10,434,3,6.0
10,455,3,6.0
10,463,3,6.0
10,465,3,6.0
10,467,3,6.0
10,469,3,6.0
10,471,3,6.0
10,477,3,3.0
10,486,3,6.0
10,499,3,6.0
10,506,3,6.0
10,507,3,6.0
10,528,3,6.0
10,533,3,9.0
10,535,3,6.0
10,538,3,6.0
10,539,3,6.0
10,542,3,6.0
10,59,4,6.0
10,104,4,6.0
10,128,4,6.0
10,129,4,6.0
10,138,4,6.0
10,153,4,2.0
10,168,4,6.0
10,434,4,6.0
10,455,4,6.0
10,463,4,6.0
10,465,4,6.0
10,467,4,6.0
10,469,4,6.0
10,471,4,6.0
10,477,4,3.0
10,486,4,6.0
10,499,4,6.0
10,506,4,6.0
10,507,4,6.0
10,528,4,6.0
10,533,4,9.0
10,535,4,6.0
10,538,4,6.0
10,539,4,6.0
10,542,4,6.0
10,59,5,6.0
10,104,5,6.0
10,128,5,6.0
10,129,5,6.0
10,138,5,6.0
10,153,5,2.0
10,168,5,6.0
10,434,5,6.0
10,455,5,6.0
10,463,5,6.0
10,465,5,6.0
10,467,5,6.0
10,469,5,6.0
10,471,5,6.0
10,477,5,3.0
10,486,5,6.0
10,499,5,6.0
10,506,5,6.0
10,507,5,6.0
10,528,5,6.0
10,533,5,9.0
10,535,5,6.0
10,538,5,6.0
10,539,5,6.0
10,542,5,6.0
11,59,3,6.0
11,104,3,6.0
11,128,3,6.0
11,129,3,6.0
11,138,3,6.0
11,153,3,2.0
11,168,3,6.0
11,434,3,6.0
11,455,3,6.0
11,462,3,6.0
11,465,3,6.0
11,469,3,6.0
11,477,3,3.0
11,486,3,6.0
11,499,3,6.0
11,506,3,6.0
11,507,3,6.0
11,512,3,6.0
11,528,3,6.0
11,533,3,9.0
11,535,3,6.0
11,538,3,6.0
11,539,3,6.0
11,59,4,6.0
11,104,4,6.0
11,128,4,6.0
11,129,4,6.0
11,138,4,6.0
11,153,4,2.0
11,168,4,6.0
11,434,4,6.0
11,455,4,6.0
11,462,4,6.0
11,465,4,6.0
11,469,4,6.0
11,477,4,3.0
11,486,4,6.0
11,499,4,6.0
11,506,4,6.0
11,507,4,6.0
11,512,4,6.0
11,528,4,6.0
11,533,4,9.0
11,535,4,6.0
11,538,4,6.0
11,539,4,6.0
11,59,5,6.0
11,104,5,6.0
11,128,5,6.0
11,129,5,6.0
11,138,5,6.0
11,153,5,2.0
11,168,5,6.0
11,434,5,6.0
11,455,5,6.0
11,462,5,6.0
11,465,5,6.0
11,469,5,6.0
11,477,5,3.0
11,486,5,6.0
11,499,5,6.0
11,506,5,6.0
11,507,5,6.0
11,512,5,6.0
11,528,5,6.0
11,533,5,9.0
11,535,5,6.0
11,538,5,6.0
11,539,5,6.0
12,59,3,6.0
12,104,3,6.0
12,128,3,6.0
12,129,3,6.0
12,138,3,6.0
12,153,3,2.0
12,168,3,6.0
12,434,3,6.0
12,455,3,6.0
12,462,3,6.0
12,465,3,6.0
12,469,3,6.0
12,477,3,3.0
12,486,3,6.0
12,499,3,6.0
12,506,3,6.0
12,507,3,6.0
12,512,3,6.0
12,528,3,6.0
12,533,3,9.0
12,535,3,6.0
12,539,3,6.0
12,545,3,6.0
12,59,4,6.0
12,104,4,6.0
12,128,4,6.0
12,129,4,6.0
12,138,4,6.0
12,153,4,2.0
12,168,4,6.0
12,434,4,6.0
12,455,4,6.0
12,462,4,6.0
12,465,4,6.0
12,469,4,6.0
12,477,4,3.0
12,486,4,6.0
12,499,4,6.0
