time_id,required_staff,under_penalty,over_penalty
32,2,1000000.0,1.725729
33,2,1000000.0,1.725729
34,2,1000000.0,1.725729
35,2,1000000.0,1.725729
36,3,1.899245,1.355638
37,3,1.899245,1.355638
38,3,1.899245,1.355638
39,3,1.899245,1.355638
40,3,1.736785,0.975952
41,3,1.736785,0.975952
42,3,1.736785,0.975952
43,3,1.736785,0.975952
44,5,0.858385,0.970414
45,5,0.858385,0.970414
46,5,0.858385,0.970414
47,5,0.858385,0.970414
48,5,0.824118,0.902092
49,5,0.824118,0.902092
50,5,0.824118,0.902092
51,5,0.824118,0.902092
52,5,1.184311,0.591488
53,5,1.184311,0.591488
54,5,1.184311,0.591488
55,5,1.184311,0.591488
56,5,0.837766,0.804272
57,5,0.837766,0.804272
58,5,0.837766,0.804272
59,5,0.837766,0.804272
60,5,0.958085,0.700919
61,5,0.958085,0.700919
62,5,0.958085,0.700919
63,5,0.958085,0.700919
64,5,1.158758,0.714374
65,5,1.158758,0.714374
66,5,1.158758,0.714374
67,5,1.158758,0.714374
