time_id,from_state,to_state,label
0,q0,q0,off
1,q0,q0,off
2,q0,q0,off
3,q0,q0,off
4,q0,q0,off
5,q0,q0,off
6,q0,q0,off
7,q0,q0,off
8,q0,q0,off
9,q0,q0,off
10,q0,q0,off
11,q0,q0,off
12,q0,q0,off
13,q0,q0,off
14,q0,q0,off
15,q0,q0,off
16,q0,q0,off
17,q0,q0,off
18,q0,q0,off
19,q0,q0,off
20,q0,q0,off
21,q0,q0,off
22,q0,q0,off
23,q0,q0,off
24,q0,q0,off
25,q0,q0,off
26,q0,q0,off
27,q0,q0,off
28,q0,q0,off
29,q0,q0,off
30,q0,q0,off
31,q0,q0,off
32,q0,q0,off
32,q0,a1_1,work
33,a1_1,a1_2,work
33,q0,q0,off
33,q0,a1_1,work
34,a1_1,a1_2,work
34,a1_2,a1_3,work
34,q0,q0,off
34,q0,a1_1,work
35,a1_1,a1_2,work
35,a1_2,a1_3,work
35,a1_3,a1_4,work
35,q0,q0,off
35,q0,a1_1,work
36,a1_1,a1_2,work
36,a1_2,a1_3,work
36,a1_3,a1_4,work
36,a1_4,l_1,meal_break
36,a1_4,rs,off
36,a1_4,br,short_break
36,a1_4,a1_4,work
36,q0,q0,off
36,q0,a1_1,work
37,a1_1,a1_2,work
37,a1_2,a1_3,work
37,a1_3,a1_4,work
37,a1_4,l_1,meal_break
37,a1_4,rs,off
37,a1_4,br,short_break
37,a1_4,a1_4,work
37,br,a1_1,work
37,l_1,l_2,meal_break
37,q0,q0,off
37,q0,a1_1,work
37,rs,rs,off
38,a1_1,a1_2,work
38,a1_2,a1_3,work
38,a1_3,a1_4,work
38,a1_4,l_1,meal_break
38,a1_4,rs,off
38,a1_4,br,short_break
38,a1_4,a1_4,work
38,br,a1_1,work
38,l_1,l_2,meal_break
38,l_2,l_3,meal_break
38,q0,q0,off
38,q0,a1_1,work
38,rs,rs,off
39,a1_1,a1_2,work
39,a1_2,a1_3,work
39,a1_3,a1_4,work
39,a1_4,l_1,meal_break
39,a1_4,rs,off
39,a1_4,br,short_break
39,a1_4,a1_4,work
39,br,a1_1,work
39,l_1,l_2,meal_break
39,l_2,l_3,meal_break
39,l_3,l_4,meal_break
39,q0,q0,off
39,q0,a1_1,work
39,rs,rs,off
40,a1_1,a1_2,work
40,a1_2,a1_3,work
40,a1_3,a1_4,work
40,a1_4,l_1,meal_break
40,a1_4,rs,off
40,a1_4,br,short_break
40,a1_4,a1_4,work
40,br,a1_1,work
40,l_1,l_2,meal_break
40,l_2,l_3,meal_break
40,l_3,l_4,meal_break
40,l_4,a1_1,work
40,q0,q0,off
40,q0,a1_1,work
40,rs,rs,off
41,a1_1,a1_2,work
41,a1_2,a1_3,work
41,a1_3,a1_4,work
41,a1_4,l_1,meal_break
41,a1_4,rs,off
41,a1_4,br,short_break
41,a1_4,a1_4,work
41,br,a1_1,work
41,l_1,l_2,meal_break
41,l_2,l_3,meal_break
41,l_3,l_4,meal_break
41,l_4,a1_1,work
41,q0,q0,off
41,q0,a1_1,work
41,rs,rs,off
42,a1_1,a1_2,work
42,a1_2,a1_3,work
42,a1_3,a1_4,work
42,a1_4,l_1,meal_break
42,a1_4,rs,off
42,a1_4,br,short_break
42,a1_4,a1_4,work
42,br,a1_1,work
42,l_1,l_2,meal_break
42,l_2,l_3,meal_break
42,l_3,l_4,meal_break
42,l_4,a1_1,work
42,q0,q0,off
42,q0,a1_1,work
42,rs,rs,off
43,a1_1,a1_2,work
43,a1_2,a1_3,work
43,a1_3,a1_4,work
43,a1_4,l_1,meal_break
43,a1_4,rs,off
43,a1_4,br,short_break
43,a1_4,a1_4,work
43,br,a1_1,work
43,l_1,l_2,meal_break
43,l_2,l_3,meal_break
43,l_3,l_4,meal_break
43,l_4,a1_1,work
43,q0,q0,off
43,q0,a1_1,work
43,rs,rs,off
44,a1_1,a1_2,work
44,a1_2,a1_3,work
44,a1_3,a1_4,work
44,a1_4,l_1,meal_break
44,a1_4,rs,off
44,a1_4,br,short_break
44,a1_4,a1_4,work
44,br,a1_1,work
44,l_1,l_2,meal_break
44,l_2,l_3,meal_break
44,l_3,l_4,meal_break
44,l_4,a1_1,work
44,q0,q0,off
44,q0,a1_1,work
44,rs,rs,off
45,a1_1,a1_2,work
45,a1_2,a1_3,work
45,a1_3,a1_4,work
45,a1_4,l_1,meal_break
45,a1_4,rs,off
45,a1_4,br,short_break
45,a1_4,a1_4,work
45,br,a1_1,work
45,l_1,l_2,meal_break
45,l_2,l_3,meal_break
45,l_3,l_4,meal_break
45,l_4,a1_1,work
45,q0,q0,off
45,q0,a1_1,work
45,rs,rs,off
46,a1_1,a1_2,work
46,a1_2,a1_3,work
46,a1_3,a1_4,work
46,a1_4,l_1,meal_break
46,a1_4,rs,off
46,a1_4,br,short_break
46,a1_4,a1_4,work
46,br,a1_1,work
46,l_1,l_2,meal_break
46,l_2,l_3,meal_break
46,l_3,l_4,meal_break
46,l_4,a1_1,work
46,q0,q0,off
46,q0,a1_1,work
46,rs,rs,off
47,a1_1,a1_2,work
47,a1_2,a1_3,work
47,a1_3,a1_4,work
47,a1_4,l_1,meal_break
47,a1_4,rs,off
47,a1_4,br,short_break
47,a1_4,a1_4,work
47,br,a1_1,work
47,l_1,l_2,meal_break
47,l_2,l_3,meal_break
47,l_3,l_4,meal_break
47,l_4,a1_1,work
47,q0,q0,off
47,q0,a1_1,work
47,rs,rs,off
48,a1_1,a1_2,work
48,a1_2,a1_3,work
48,a1_3,a1_4,work
48,a1_4,l_1,meal_break
48,a1_4,rs,off
48,a1_4,br,short_break
48,a1_4,a1_4,work
48,br,a1_1,work
48,l_1,l_2,meal_break
48,l_2,l_3,meal_break
48,l_3,l_4,meal_break
48,l_4,a1_1,work
48,q0,q0,off
48,q0,a1_1,work
48,rs,rs,off
49,a1_1,a1_2,work
49,a1_2,a1_3,work
49,a1_3,a1_4,work
49,a1_4,l_1,meal_break
49,a1_4,rs,off
49,a1_4,br,short_break
49,a1_4,a1_4,work
49,br,a1_1,work
49,l_1,l_2,meal_break
49,l_2,l_3,meal_break
49,l_3,l_4,meal_break
49,l_4,a1_1,work
49,q0,q0,off
49,q0,a1_1,work
49,rs,rs,off
50,a1_1,a1_2,work
50,a1_2,a1_3,work
50,a1_3,a1_4,work
50,a1_4,l_1,meal_break
50,a1_4,rs,off
50,a1_4,br,short_break
50,a1_4,a1_4,work
50,br,a1_1,work
50,l_1,l_2,meal_break
50,l_2,l_3,meal_break
50,l_3,l_4,meal_break
50,l_4,a1_1,work
50,q0,q0,off
50,q0,a1_1,work
50,rs,rs,off
51,a1_1,a1_2,work
51,a1_2,a1_3,work
51,a1_3,a1_4,work
51,a1_4,l_1,meal_break
51,a1_4,rs,off
51,a1_4,br,short_break
51,a1_4,a1_4,work
51,br,a1_1,work
51,l_1,l_2,meal_break
51,l_2,l_3,meal_break
51,l_3,l_4,meal_break
51,l_4,a1_1,work
51,q0,q0,off
51,q0,a1_1,work
51,rs,rs,off
52,a1_1,a1_2,work
52,a1_2,a1_3,work
52,a1_3,a1_4,work
52,a1_4,l_1,meal_break
52,a1_4,rs,off
52,a1_4,br,short_break
52,a1_4,a1_4,work
52,br,a1_1,work
52,l_1,l_2,meal_break
52,l_2,l_3,meal_break
52,l_3,l_4,meal_break
52,l_4,a1_1,work
52,q0,q0,off
52,q0,a1_1,work
52,rs,rs,off
53,a1_1,a1_2,work
53,a1_2,a1_3,work
53,a1_3,a1_4,work
53,a1_4,l_1,meal_break
53,a1_4,rs,off
53,a1_4,br,short_break
53,a1_4,a1_4,work
53,br,a1_1,work
53,l_1,l_2,meal_break
53,l_2,l_3,meal_break
53,l_3,l_4,meal_break
53,l_4,a1_1,work
53,q0,q0,off
53,q0,a1_1,work
53,rs,rs,off
54,a1_1,a1_2,work
54,a1_2,a1_3,work
54,a1_3,a1_4,work
54,a1_4,l_1,meal_break
54,a1_4,rs,off
54,a1_4,br,short_break
54,a1_4,a1_4,work
54,br,a1_1,work
54,l_1,l_2,meal_break
54,l_2,l_3,meal_break
54,l_3,l_4,meal_break
54,l_4,a1_1,work
54,q0,q0,off
54,q0,a1_1,work
54,rs,rs,off
55,a1_1,a1_2,work
55,a1_2,a1_3,work
55,a1_3,a1_4,work
55,a1_4,l_1,meal_break
55,a1_4,rs,off
55,a1_4,br,short_break
55,a1_4,a1_4,work
55,br,a1_1,work
55,l_1,l_2,meal_break
55,l_2,l_3,meal_break
55,l_3,l_4,meal_break
55,l_4,a1_1,work
55,q0,q0,off
55,q0,a1_1,work
55,rs,rs,off
56,a1_1,a1_2,work
56,a1_2,a1_3,work
56,a1_3,a1_4,work
56,a1_4,l_1,meal_break
56,a1_4,rs,off
56,a1_4,br,short_break
56,a1_4,a1_4,work
56,br,a1_1,work
56,l_1,l_2,meal_break
56,l_2,l_3,meal_break
56,l_3,l_4,meal_break
56,l_4,a1_1,work
56,q0,q0,off
56,q0,a1_1,work
56,rs,rs,off
57,a1_1,a1_2,work
57,a1_2,a1_3,work
57,a1_3,a1_4,work
57,a1_4,l_1,meal_break
57,a1_4,rs,off
57,a1_4,br,short_break
57,a1_4,a1_4,work
57,br,a1_1,work
57,l_1,l_2,meal_break
57,l_2,l_3,meal_break
57,l_3,l_4,meal_break
57,l_4,a1_1,work
57,q0,q0,off
57,q0,a1_1,work
57,rs,rs,off
58,a1_1,a1_2,work
58,a1_2,a1_3,work
58,a1_3,a1_4,work
58,a1_4,l_1,meal_break
58,a1_4,rs,off
58,a1_4,br,short_break
58,a1_4,a1_4,work
58,br,a1_1,work
58,l_1,l_2,meal_break
58,l_2,l_3,meal_break
58,l_3,l_4,meal_break
58,l_4,a1_1,work
58,q0,q0,off
58,q0,a1_1,work
58,rs,rs,off
59,a1_1,a1_2,work
59,a1_2,a1_3,work
59,a1_3,a1_4,work
59,a1_4,l_1,meal_break
59,a1_4,rs,off
59,a1_4,br,short_break
59,a1_4,a1_4,work
59,br,a1_1,work
59,l_1,l_2,meal_break
59,l_2,l_3,meal_break
59,l_3,l_4,meal_break
59,l_4,a1_1,work
59,q0,q0,off
59,q0,a1_1,work
59,rs,rs,off
60,a1_1,a1_2,work
60,a1_2,a1_3,work
60,a1_3,a1_4,work
60,a1_4,l_1,meal_break
60,a1_4,rs,off
60,a1_4,br,short_break
60,a1_4,a1_4,work
60,br,a1_1,work
60,l_1,l_2,meal_break
60,l_2,l_3,meal_break
60,l_3,l_4,meal_break
60,l_4,a1_1,work
60,q0,q0,off
60,q0,a1_1,work
60,rs,rs,off
61,a1_1,a1_2,work
61,a1_2,a1_3,work
61,a1_3,a1_4,work
61,a1_4,rs,off
61,a1_4,br,short_break
61,a1_4,a1_4,work
61,br,a1_1,work
61,l_1,l_2,meal_break
61,l_2,l_3,meal_break
61,l_3,l_4,meal_break
61,l_4,a1_1,work
61,q0,q0,off
61,q0,a1_1,work
61,rs,rs,off
62,a1_1,a1_2,work
62,a1_2,a1_3,work
62,a1_3,a1_4,work
62,a1_4,rs,off
62,a1_4,br,short_break
62,a1_4,a1_4,work
62,br,a1_1,work
62,l_2,l_3,meal_break
62,l_3,l_4,meal_break
62,l_4,a1_1,work
62,q0,q0,off
62,q0,a1_1,work
62,rs,rs,off
63,a1_1,a1_2,work
63,a1_2,a1_3,work
63,a1_3,a1_4,work
63,a1_4,rs,off
63,a1_4,br,short_break
63,a1_4,a1_4,work
63,br,a1_1,work
63,l_3,l_4,meal_break
63,l_4,a1_1,work
63,q0,q0,off
63,q0,a1_1,work
63,rs,rs,off
64,a1_1,a1_2,work
64,a1_2,a1_3,work
64,a1_3,a1_4,work
64,a1_4,rs,off
64,a1_4,a1_4,work
64,br,a1_1,work
64,l_4,a1_1,work
64,q0,a1_1,work
64,rs,rs,off
65,a1_1,a1_2,work
65,a1_2,a1_3,work
65,a1_3,a1_4,work
65,a1_4,rs,off
65,a1_4,a1_4,work
65,rs,rs,off
66,a1_2,a1_3,work
66,a1_3,a1_4,work
66,a1_4,rs,off
66,a1_4,a1_4,work
66,rs,rs,off
67,a1_3,a1_4,work
67,a1_4,rs,off
67,a1_4,a1_4,work
67,rs,rs,off
68,a1_4,rs,off
68,rs,rs,off
69,rs,rs,off
70,rs,rs,off
71,rs,rs,off
72,rs,rs,off
73,rs,rs,off
74,rs,rs,off
75,rs,rs,off
76,rs,rs,off
77,rs,rs,off
78,rs,rs,off
79,rs,rs,off
80,rs,rs,off
81,rs,rs,off
82,rs,rs,off
83,rs,rs,off
84,rs,rs,off
85,rs,rs,off
86,rs,rs,off
87,rs,rs,off
88,rs,rs,off
89,rs,rs,off
90,rs,rs,off
91,rs,rs,off
92,rs,rs,off
93,rs,rs,off
94,rs,rs,off
