from_state,to_state,label
a1_1,a1_2,a1
a1_2,a1_3,a1
a1_3,a1_4,a1
a1_4,a1_4,a1
a1_4,br,short_break
a1_4,l_1,meal_break
a1_4,rs,off
a2_1,a2_2,a2
a2_2,a2_3,a2
a2_3,a2_4,a2
a2_4,a2_4,a2
a2_4,br,short_break
a2_4,l_1,meal_break
a2_4,rs,off
a3_1,a3_2,a3
a3_2,a3_3,a3
a3_3,a3_4,a3
a3_4,a3_4,a3
a3_4,br,short_break
a3_4,l_1,meal_break
a3_4,rs,off
a4_1,a4_2,a4
a4_2,a4_3,a4
a4_3,a4_4,a4
a4_4,a4_4,a4
a4_4,br,short_break
a4_4,l_1,meal_break
a4_4,rs,off
a5_1,a5_2,a5
a5_2,a5_3,a5
a5_3,a5_4,a5
a5_4,a5_4,a5
a5_4,br,short_break
a5_4,l_1,meal_break
a5_4,rs,off
br,a1_1,a1
br,a2_1,a2
br,a3_1,a3
br,a4_1,a4
br,a5_1,a5
l_1,l_2,meal_break
l_2,l_3,meal_break
l_3,l_4,meal_break
l_4,a1_1,a1
l_4,a2_1,a2
l_4,a3_1,a3
l_4,a4_1,a4
l_4,a5_1,a5
q0,a1_1,a1
q0,a2_1,a2
q0,a3_1,a3
q0,a4_1,a4
q0,a5_1,a5
q0,q0,off
rs,rs,off
