time_id,activity_code,required_staff,under_penalty,over_penalty
32,a4,1,1000000.0,4.732571
33,a4,1,1000000.0,4.732571
34,a4,1,1000000.0,4.732571
35,a4,1,1000000.0,4.732571
36,a3,2,1000000.0,1.841983
36,a4,2,2.673101,1.638599
37,a3,2,1000000.0,1.841983
37,a4,2,2.673101,1.638599
38,a3,2,1000000.0,1.841983
38,a4,2,2.673101,1.638599
39,a3,2,1000000.0,1.841983
39,a4,2,2.673101,1.638599
40,a3,2,2.381276,1.469251
40,a4,3,1.996557,1.05388
41,a3,2,2.381276,1.469251
41,a4,3,1.996557,1.05388
42,a3,2,2.381276,1.469251
42,a4,3,1.996557,1.05388
43,a3,2,2.381276,1.469251
43,a4,3,1.996557,1.05388
44,a1,4,1.384986,0.926099
44,a3,3,2.067035,0.985197
44,a4,5,0.784842,0.968653
44,a5,3,1.878603,1.556288
45,a1,4,1.384986,0.926099
45,a3,3,2.067035,0.985197
45,a4,5,0.784842,0.968653
45,a5,3,1.878603,1.556288
46,a1,4,1.384986,0.926099
46,a3,3,2.067035,0.985197
46,a4,5,0.784842,0.968653
46,a5,3,1.878603,1.556288
47,a1,4,1.384986,0.926099
47,a3,3,2.067035,0.985197
47,a4,5,0.784842,0.968653
47,a5,3,1.878603,1.556288
48,a1,4,1.033119,1.072768
48,a2,2,1000000.0,1.719532
48,a3,3,1.405004,1.239808
48,a4,5,1.157874,0.555231
48,a5,3,1.722914,1.348526
49,a1,4,1.033119,1.072768
49,a2,2,1000000.0,1.719532
49,a3,3,1.405004,1.239808
49,a4,5,1.157874,0.555231
49,a5,3,1.722914,1.348526
50,a1,4,1.033119,1.072768
50,a2,2,1000000.0,1.719532
50,a3,3,1.405004,1.239808
50,a4,5,1.157874,0.555231
50,a5,3,1.722914,1.348526
51,a1,4,1.033119,1.072768
51,a2,2,1000000.0,1.719532
51,a3,3,1.405004,1.239808
51,a4,5,1.157874,0.555231
51,a5,3,1.722914,1.348526
52,a1,4,1.37252,0.788423
52,a2,2,1000000.0,1.435501
52,a3,3,1.709161,1.001224
52,a4,6,0.683922,0.81742
52,a5,3,2.178557,1.001737
53,a1,4,1.37252,0.788423
53,a2,2,1000000.0,1.435501
53,a3,3,1.709161,1.001224
53,a4,6,0.683922,0.81742
53,a5,3,2.178557,1.001737
54,a1,4,1.37252,0.788423
54,a2,2,1000000.0,1.435501
54,a3,3,1.709161,1.001224
54,a4,6,0.683922,0.81742
54,a5,3,2.178557,1.001737
55,a1,4,1.37252,0.788423
55,a2,2,1000000.0,1.435501
55,a3,3,1.709161,1.001224
55,a4,6,0.683922,0.81742
55,a5,3,2.178557,1.001737
56,a1,4,0.897078,1.064333
56,a2,2,1000000.0,1.341606
56,a3,3,1.881594,0.86635
56,a4,6,0.815311,0.701761
56,a5,3,1.331233,1.392648
57,a1,4,0.897078,1.064333
57,a2,2,1000000.0,1.341606
57,a3,3,1.881594,0.86635
57,a4,6,0.815311,0.701761
57,a5,3,1.331233,1.392648
58,a1,4,0.897078,1.064333
58,a2,2,1000000.0,1.341606
58,a3,3,1.881594,0.86635
58,a4,6,0.815311,0.701761
58,a5,3,1.331233,1.392648
59,a1,4,0.897078,1.064333
59,a2,2,1000000.0,1.341606
59,a3,3,1.881594,0.86635
59,a4,6,0.815311,0.701761
59,a5,3,1.331233,1.392648
60,a1,4,1.102673,0.892254
60,a2,2,1000000.0,1.344658
60,a3,3,1.221011,1.184295
60,a4,6,0.739029,0.77001
60,a5,3,2.258589,0.943843
61,a1,4,1.102673,0.892254
61,a2,2,1000000.0,1.344658
61,a3,3,1.221011,1.184295
61,a4,6,0.739029,0.77001
61,a5,3,2.258589,0.943843
62,a1,4,1.102673,0.892254
62,a2,2,1000000.0,1.344658
62,a3,3,1.221011,1.184295
62,a4,6,0.739029,0.77001
62,a5,3,2.258589,0.943843
63,a1,4,1.102673,0.892254
63,a2,2,1000000.0,1.344658
63,a3,3,1.221011,1.184295
63,a4,6,0.739029,0.77001
63,a5,3,2.258589,0.943843
64,a1,4,1.018897,1.088657
64,a2,2,1000000.0,1.336986
64,a3,3,1.432514,1.224297
65,a1,4,1.018897,1.088657
65,a2,2,1000000.0,1.336986
65,a3,3,1.432514,1.224297
66,a1,4,1.018897,1.088657
66,a2,2,1000000.0,1.336986
66,a3,3,1.432514,1.224297
67,a1,4,1.018897,1.088657
67,a2,2,1000000.0,1.336986
67,a3,3,1.432514,1.224297
68,a1,4,1.435062,0.740489
68,a2,2,1000000.0,1.711635
68,a3,3,1.786728,0.947053
69,a1,4,1.435062,0.740489
69,a2,2,1000000.0,1.711635
69,a3,3,1.786728,0.947053
70,a1,4,1.435062,0.740489
70,a2,2,1000000.0,1.711635
70,a3,3,1.786728,0.947053
71,a1,4,1.435062,0.740489
71,a2,2,1000000.0,1.711635
71,a3,3,1.786728,0.947053
72,a2,2,1000000.0,1.639863
72,a3,3,1.616749,0.869631
73,a2,2,1000000.0,1.639863
73,a3,3,1.616749,0.869631
74,a2,2,1000000.0,1.639863
74,a3,3,1.616749,0.869631
75,a2,2,1000000.0,1.639863
75,a3,3,1.616749,0.869631
76,a2,2,1000000.0,1.612007
77,a2,2,1000000.0,1.612007
78,a2,2,1000000.0,1.612007
79,a2,2,1000000.0,1.612007
