segment_id,slot_id,threshold_low,threshold_high,unit_price
SEGd2c7f1d924,TSf98c56f109,117.1,147.0,19.3657
SEG3d5c01f416,TS7c3e8eda03,90.0,96.9,56.6363
SEG20bba361eb,TSb0a72470c9,310.2,328.0,106.131
SEG164897679a,TS2e3a4076ec,105.9,136.3,130.382
SEGce5c61b1c8,TS42d0b628c0,75.1,85.5,62.0938
SEG888509a699,TS3d7ccb0210,0.653,1.959,195.46
SEG9b7ddea88a,TSda9affbe11,15.0,18.5,108.435
SEG1fed88c2ed,TSf3c4cf7d55,65.0,79.4,142.393
SEG0bddf0f971,TSf2f132c858,2.1,8.4,149.385
SEG85f5e81475,TSc7c50e9162,79.5,105.8,134.928
SEG5de583e445,TSe9505e645a,26.1,33.6,96.7136
SEGf7e1b6a6b6,TS68cccee489,14.1,23.4,155.573
SEG7ef0fa0753,TS25e8984bfe,5.936,5.937,127.251
SEGe08aeb6b73,TS666767b301,150.5,172.0,0.444492
SEG437235d7e5,TSe9513bdbd6,0.36,0.9,171.336
SEGedd87a82ab,TSc84e67f3cf,144.8,165.4,28.3364
SEGc1f70fec2b,TS04fcc74874,10.0,14.0,215.54
SEG092dac7eef,TSa114592a6e,70.1,85.3,64.8355
SEG098eeecdc6,TS874720f008,156.0,156.25,157.534
SEGd6ee87eaf3,TS478fa29d45,79.5,105.8,52.4445
SEG2b580183e1,TS2caf91eb09,301.0,344.0,212.286
SEGb1ee096f3b,TS0e0b71e89c,156.0,156.25,171.09
SEG1ee3d02db8,TSec107a29d2,172.1,193.0,0.515207
SEG13b31aea56,TS70c9f1cdf8,33.7,37.5,93.9432
SEG7160810375,TS469a3b02e2,117.1,147.0,19.3657
SEGe78aa23fe2,TSa2bddef18e,152.5,165.9,55.738
SEG5b13776bd1,TS25a9345498,280.1,321.4,17.9312
SEG63c5183196,TS2b7842f554,315.3,331.5,98.3015
SEG5933946825,TSf0553561e8,79.5,105.8,134.928
SEG01bc520b9e,TS73837dcaff,310.0,328.0,106.131
SEGc0f1deb71e,TS7b7bafb0fa,115.0,117.0,20.2143
SEG75f9389a03,TSc99f6324df,165.8,189.09,100.23
SEG4577f5fc89,TS2f96a4be85,328.1,400.0,100.467
SEG714235f3c3,TSf0e592f52c,117.1,147.0,19.3657
SEG639b39c3c9,TS87c63a4e02,250.1,280.0,18.9919
SEG11cd9a21cb,TS443ac81312,328.1,399.7,100.467
SEGb92eff2d16,TS6f1fc6830c,10.0,14.0,215.54
SEGf562584e71,TSda9affbe11,1.462,2.924,152.17
SEGe91875f62d,TS242b6d35a5,90.0,96.9,56.6363
SEGdf7ccdb946,TS97e6bd8f9b,172.1,193.0,0.515207
