action_id,slot_id,contribution
ACT853df866f4,TS478fa29d45,8.33333
ACT3be2babfe4,TS5ea5d90b6c,59.8958
ACTda7e7075ec,TS2e3a4076ec,0.515
ACT719213e4dc,TS26b55ccfc1,1.05
ACT17c0a9e8b2,TS25a9345498,16.7708
ACT54719acd56,TS3f6b29d3d4,45.5208
ACT7c11c8de96,TSc99f6324df,55.1042
ACT22018048ea,TS872840c56f,45.0
ACT1f728eb52a,TS8d4c8ca0ac,77.5
ACTa7abd90873,TS8d4c8ca0ac,41.6667
ACTd47d2e40d9,TS2e3a4076ec,37.5
ACTadd371d23d,TScfb121d745,155.0
ACT954da5493d,TS7bda0322ac,79.0625
ACTb5a3889a2f,TS5ea5d90b6c,3.1
ACTf776c51b97,TSc84e67f3cf,64.6875
ACTcbc2e6b8e1,TS07d3a63e2b,37.5
ACT5ef889f9a9,TS4aff6b5863,45.5208
ACTde909c82cd,TS04c42a0beb,77.5
ACTaf6c4f61ba,TS05928b46fe,64.6875
ACT85a959380f,TS04fcc74874,133.333
ACT28dd7d1c00,TSb32f93b444,77.5
ACT4b9a770fc0,TS9dba1a3b01,79.0625
ACT8ecf34ae0b,TS7143fb07ff,77.5
ACTc80b4c23b5,TSf3c4cf7d55,69.4792
ACTea66a9ddcc,TS249557872b,1.05
ACTb10c3b60ea,TSd0fc980b3a,45.5
ACT132fdd1ed4,TSe9c90cedfa,58.5
ACT18c143b6d0,TS31df6c22e6,12.5
ACTfd2297888b,TS7376d266d9,7.1875
ACT255271ed59,TS0c0829db4c,2.968
ACT473158e37f,TS2e3a4076ec,92.5
ACT1d195eb6ab,TS9dba1a3b01,55.1042
ACT6dd65676f8,TS68cccee489,35.9375
ACTfa51584ab3,TSfa3e5079a3,88.6458
ACT4d73919489,TS8b14b0e305,45.0
ACT9830564bba,TS70c9f1cdf8,88.6458
ACTea9810979b,TS4bbcbe666d,55.1042
ACT7410db1076,TSfa3e5079a3,18.3333
ACT806d64d297,TSa0373678c6,8.33333
ACT174631d92f,TS05928b46fe,6.5
ACT6b7f66f4f6,TSe6714cbfdd,7.5
ACT344eba5738,TS6f1fc6830c,77.5
ACT1834cd17da,TS8b14b0e305,31.1458
ACT7f3871d987,TS25a9345498,93.4375
ACT9c3f5df0ff,TS7143fb07ff,6.5
ACT78443f197d,TS5c28dfa9ca,6.5
ACTe0b17be348,TSf8f59db910,98.2292
ACTf7a1fcf4f9,TS4bbcbe666d,5.0
ACTe66da6e04f,TSf6619c37bf,31.1458
ACT3a5253e9b2,TSc43ca385e8,77.5
