node_id,node_kind,ref_id,price
Ne7cabfa344de,segment_switch,SEG67b2d9cf69,0.0
N58d9b16b6db2,action_switch,ACTd6673ff2c9,0.0
N521d1a15b660,aux,,0.0
N1691671c2c01,aux,,0.0
N10a6753793ef,segment_switch,SEG4a3d16b3ec,0.0
N0e2f7b50b485,aux,,0.0
N5e917eef2930,segment_switch,SEG86c9a65a35,0.0
Ne634b584cff6,aux,,0.0
Na49a6a2669a7,segment_switch,SEG580cc7045b,0.0
Nd19ae8cd836a,segment_switch,SEGbce9e8842f,0.0
Ne51fae183716,aux,,0.0
N073b887532a7,aux,,0.0
N059a738418e1,aux,,0.0
N16f7cd435cb0,segment_switch,SEG7aa4bda569,0.0
N3dede7a6e980,segment_switch,SEG6ac55f8f89,0.0
N65558e56934c,segment_switch,SEGb603496804,0.0
N930ad498f43e,aux,,0.0
N067d83e3495f,aux,,0.0
Ne06fa78f1ecd,segment_switch,SEGd21a8cc5dc,0.0
N4f75e40bc90a,action_switch,ACT4a6a25d393,0.0
N30a3f5d4afab,action_switch,ACTea4060b0fa,0.0
N301439fad20f,segment_switch,SEGfadf0a0bcf,0.0
N72279715d421,aux,,0.0
N808270ac2aac,action_switch,ACT01a4f8dca4,0.0
Nefaaca376181,segment_switch,SEGf9aa27544b,0.0
N5bd4280d4e97,action_switch,ACTb96a037cf0,0.0
N4455ed60bb54,segment_switch,SEGb3d4c2b49f,0.0
N0d12d811f5d2,action_switch,ACT684e9a0336,0.0
Na110859e2701,segment_switch,SEG39871b403c,0.0
N7e38db98a708,aux,,0.0
Na85bbb7b1faa,action_switch,ACT2bab4c406d,0.0
N2506f586d7c7,segment_switch,SEGf0952d48cc,0.0
N18d4457804e2,aux,,0.0
N05eb99c5737e,aux,,0.0
N684554d2ef78,segment_switch,SEG9750c619e1,0.0
N3d44e0a83629,action_switch,ACT2d8da1a1f4,0.0
Nba2ab7107fb0,segment_switch,SEGce5c24047d,0.0
Na213393df52f,segment_switch,SEGe6d7a11c39,0.0
N1789908b63db,aux,,0.0
N87164739bea8,aux,,0.0
N469f79b1756d,action_switch,ACT041eb584e7,0.0
N57dac81ec14c,segment_switch,SEGc518cbfa98,0.0
N95dd9b34c04a,segment_switch,SEG14a28bf1e1,0.0
N5a004c281d57,action_switch,ACT87001a4a40,0.0
N2f53aaf2c5d5,aux,,0.0
N57138a83208f,action_switch,ACTce4edd2511,0.0
N7dc9ce4e4003,action_switch,ACTa432e7fa8b,0.0
N7e53ab7b8e60,segment_switch,SEG76cf373197,0.0
Nf543dc936f69,aux,,0.0
N1fc86f60babe,aux,,0.0
Na05e1e476cc9,action_switch,ACT40d38f59c4,0.0
