id,source,target
1,2,6
2,6,5
3,6,7
4,7,5
5,2,8
6,8,5
7,2,5
8,2,9
9,9,5
10,5,12
11,12,11
12,5,11
13,11,10
14,11,10
15,11,10
16,10,13
17,13,4
18,10,4
19,10,4
20,4,15
21,15,14
22,4,14
23,4,16
24,16,14
25,14,3
26,14,3
27,14,17
28,17,3
29,4,19
30,19,18
31,18,3
32,18,20
33,20,3
34,4,21
35,21,3
36,4,3
37,4,22
38,22,3
39,2,24
40,2,24
41,24,25
42,25,23
43,2,26
44,2,26
45,26,23
46,26,27
47,27,23
48,2,28
49,2,28
50,28,29
51,29,23
52,28,23
53,2,30
54,2,30
55,30,31
56,31,23
57,23,33
58,23,33
59,23,34
60,34,33
61,33,35
62,35,32
63,33,32
64,33,36
65,36,32
66,32,38
67,38,37
68,32,37
69,32,37
70,37,40
71,40,39
72,37,39
73,39,3
74,39,3
75,39,3
76,2,42
77,2,42
78,2,43
79,43,42
80,42,44
81,42,44
82,44,45
83,45,41
84,44,41
85,41,47
86,41,47
87,47,48
88,48,46
89,47,46
90,46,3
91,46,3
92,46,49
93,49,3
94,2,51
95,2,52
96,52,51
97,51,53
98,53,50
99,51,50
100,2,50
101,2,54
102,54,50
103,2,55
104,55,50
105,50,56
106,50,57
107,57,56
108,50,58
109,58,56
110,56,3
111,56,3
112,56,59
113,59,3
114,2,62
115,2,62
116,62,63
117,63,61
118,2,64
119,64,61
120,2,61
121,2,65
122,65,61
123,61,68
124,68,67
125,61,67
126,61,67
127,67,66
128,67,66
129,66,69
130,69,60
131,66,60
132,66,60
133,60,70
134,60,71
135,71,70
136,60,72
137,60,72
138,72,70
139,72,73
140,73,70
141,70,74
142,70,74
143,70,74
144,70,75
145,75,74
146,74,76
147,76,3
148,74,3
149,74,77
150,77,3
151,3,79
152,79,78
153,79,80
154,80,78
155,3,82
156,82,81
157,3,81
158,81,78
159,81,83
160,83,78
161,3,84
162,3,84
163,3,85
164,85,84
165,84,78
166,84,86
167,86,78
168,84,87
169,87,78
170,78,90
171,90,89
172,78,89
173,89,88
174,89,88
175,78,91
176,91,92
177,92,88
178,91,88
179,88,93
180,88,93
181,88,94
182,94,93
183,93,95
184,93,95
185,93,95
186,95,1
187,95,96
188,96,1
189,3,98
190,3,98
191,98,97
192,98,99
193,99,97
194,3,100
195,100,97
196,3,97
197,3,101
198,101,97
199,3,103
200,103,102
201,3,102
202,3,104
203,104,102
204,102,105
205,102,105
206,105,97
207,105,106
208,106,97
209,97,108
210,108,107
211,97,107
212,97,109
213,109,107
214,107,110
215,110,1
216,107,1
217,107,1
218,97,111
219,97,111
220,97,112
221,112,111
222,111,113
223,113,1
224,111,1
225,111,114
226,114,1
227,3,116
228,3,117
229,117,116
230,3,116
231,3,118
232,3,118
233,118,119
234,119,116
235,116,122
236,122,121
237,116,121
238,121,120
239,121,120
240,121,120
241,120,123
242,123,115
243,120,115
244,120,115
245,115,125
246,125,124
247,115,124
248,115,126
249,126,124
250,124,1
251,124,1
252,124,127
253,127,1
254,115,129
255,129,128
256,128,1
257,128,130
258,130,1
259,115,131
260,131,1
261,115,1
262,115,132
263,132,1
264,3,134
265,3,134
266,134,135
267,135,133
268,3,136
269,3,136
270,136,133
271,136,137
272,137,133
273,3,138
274,3,138
275,138,139
276,139,133
277,138,133
278,3,140
279,3,140
280,140,141
281,141,133
282,133,143
283,133,143
284,133,144
285,144,143
286,143,145
287,145,142
288,143,142
289,143,146
290,146,142
291,142,148
292,148,147
293,142,147
294,142,147
295,147,150
296,150,149
297,147,149
298,149,1
299,149,1
300,149,1
