Location_ID,Hangar_1,Hangar_2,Hangar_3
A1,ZZ03,ZZ04,ZZ06
A2,ZZ04,ZZ05,ZZ07
A3,ZZ01,ZZ05,ZZ08
A4,ZZ01,ZZ02,ZZ09
A5,ZZ02,ZZ03,ZZ10
A6,ZZ02,ZZ05,ZZ06
A7,ZZ01,ZZ03,ZZ07
A8,ZZ02,ZZ04,ZZ08
A9,ZZ03,ZZ05,ZZ09
A10,ZZ01,ZZ04,ZZ10
A11,ZZ08,ZZ09,ZZ11
A12,ZZ09,ZZ10,ZZ12
A13,ZZ06,ZZ10,ZZ13
A14,ZZ06,ZZ07,ZZ14
A15,ZZ07,ZZ08,ZZ15
A16,ZZ07,ZZ10,ZZ11
A17,ZZ06,ZZ08,ZZ12
A18,ZZ07,ZZ09,ZZ13
A19,ZZ08,ZZ10,ZZ14
A20,ZZ06,ZZ09,ZZ15
A21,ZZ01,ZZ13,ZZ14
A22,ZZ02,ZZ14,ZZ15
A23,ZZ03,ZZ11,ZZ15
A24,ZZ04,ZZ11,ZZ12
A25,ZZ05,ZZ12,ZZ13
A26,ZZ01,ZZ12,ZZ15
A27,ZZ02,ZZ11,ZZ13
A28,ZZ03,ZZ12,ZZ14
A29,ZZ04,ZZ13,ZZ15
A30,ZZ05,ZZ11,ZZ14
A31,ZZ01,ZZ06,ZZ11
A32,ZZ02,ZZ07,ZZ12
A33,ZZ03,ZZ08,ZZ13
A34,ZZ04,ZZ09,ZZ14
A35,ZZ05,ZZ10,ZZ15
