case_id,case_name,deployment_cost,original_var_name,description
C001,Technical_Support_Case_C001,1,x1,Technical support case C001
C002,Technical_Support_Case_C002,2,x2,Technical support case C002
C003,Technical_Support_Case_C003,4,x3,Technical support case C003
C004,Technical_Support_Case_C004,8,x4,Technical support case C004
C005,Technical_Support_Case_C005,16,x5,Technical support case C005
C006,Technical_Support_Case_C006,32,x6,Technical support case C006
C007,Technical_Support_Case_C007,64,x7,Technical support case C007
C008,Technical_Support_Case_C008,0,x8,Technical support case C008
C009,Technical_Support_Case_C009,0,x9,Technical support case C009
C010,Technical_Support_Case_C010,0,x10,Technical support case C010
C011,Technical_Support_Case_C011,0,x11,Technical support case C011
C012,Technical_Support_Case_C012,0,x12,Technical support case C012
C013,Technical_Support_Case_C013,0,x13,Technical support case C013
C014,Technical_Support_Case_C014,0,x14,Technical support case C014
C015,Technical_Support_Case_C015,0,x15,Technical support case C015
C016,Technical_Support_Case_C016,0,x16,Technical support case C016
C017,Technical_Support_Case_C017,0,x17,Technical support case C017
C018,Technical_Support_Case_C018,0,x18,Technical support case C018
C019,Technical_Support_Case_C019,0,x19,Technical support case C019
C020,Technical_Support_Case_C020,0,x20,Technical support case C020
C021,Technical_Support_Case_C021,0,x21,Technical support case C021
C022,Technical_Support_Case_C022,0,x22,Technical support case C022
C023,Technical_Support_Case_C023,0,x23,Technical support case C023
C024,Technical_Support_Case_C024,0,x24,Technical support case C024
