case_id,requirement_id,coverage_value
C001,R000001,3
C001,R000002,2
C001,R000004,9
C001,R000005,7
C001,R000006,5
C001,R000012,4
C001,R000013,2
C001,R000015,7
C001,R000018,8
C001,R000022,2
C001,R000024,12
C001,R000027,11
C001,R000028,5
C001,R000029,9
C001,R000030,2
C001,R000031,3
C001,R000033,4
C001,R000034,2
C001,R000036,9
C001,R000037,2
C001,R000039,8
C001,R000040,7
C001,R000041,4
C001,R000042,3
C001,R000043,10
C001,R000044,5
C001,R000046,4
C001,R000047,3
C001,R000048,9
C001,R000050,14
C001,R000051,2
C001,R000053,2
C001,R000055,2
C001,R000057,4
C001,R000058,8
C001,R000060,4
C001,R000062,4
C001,R000064,1
C001,R000066,14
C001,R000067,4
C001,R000069,6
C001,R000073,2
C001,R000074,1
C001,R000075,1
C001,R000078,6
C001,R000079,4
C001,R000080,1
C001,R000082,1
C001,R000083,15
C001,R000084,4
C001,R000086,3
C001,R000087,2
C001,R000088,1
C001,R000091,3
C001,R000092,2
C001,R000094,5
C001,R000096,1
C001,R000098,8
C001,R000099,1
C001,R000101,3
C001,R000103,1
C001,R000104,12
C001,R000106,14
C001,R000108,1
C001,R000109,6
C001,R000111,2
C001,R000114,6
C001,R000115,1
C001,R000116,5
C001,R000118,2
C001,R000119,9
C001,R000121,6
C001,R000125,4
C001,R000126,13
C001,R000127,3
C001,R000129,1
C001,R000134,4
C001,R000135,1
C001,R000138,9
C001,R000140,2
C001,R000142,2
C001,R000146,3
C001,R000147,1
C001,R000154,8
C001,R000155,12
C001,R000156,9
C001,R000158,3
C001,R000160,4
C001,R000163,5
C001,R000164,11
C001,R000165,3
C001,R000170,4
C001,R000173,10
C001,R000175,3
C001,R000176,1
C001,R000177,9
C001,R000179,6
C001,R000184,2
C001,R000185,2
C001,R000186,8
C001,R000194,1
C001,R000195,3
C001,R000196,3
C001,R000198,4
C001,R000199,1
C001,R000200,1
C001,R000201,1
C001,R000203,2
C001,R000205,3
C001,R000206,5
C001,R000207,2
C001,R000211,3
C001,R000214,12
C001,R000215,3
C001,R000217,2
C001,R000218,6
C001,R000219,2
C001,R000225,2
C001,R000226,3
C001,R000227,2
C001,R000231,3
C001,R000232,5
C001,R000233,6
C001,R000234,3
C001,R000235,13
C001,R000236,1
C001,R000237,4
C001,R000238,5
C001,R000243,1
C001,R000246,9
C001,R000247,3
C001,R000248,2
C001,R000250,2
C001,R000251,1
C001,R000258,3
C001,R000261,7
C001,R000267,3
C001,R000268,13
C001,R000271,12
C001,R000273,2
C001,R000275,6
C001,R000277,1
C001,R000279,12
C001,R000281,5
C001,R000282,2
C001,R000283,1
C001,R000284,11
C001,R000289,9
C001,R000291,7
C001,R000293,8
C001,R000294,6
C001,R000295,1
C001,R000298,11
C001,R000300,9
C001,R000301,13
C001,R000303,7
C001,R000304,3
C001,R000305,3
C001,R000307,14
C001,R000310,5
C001,R000311,5
C001,R000312,10
C001,R000314,3
C001,R000316,4
C001,R000319,1
C001,R000322,3
C001,R000323,3
C001,R000324,5
C001,R000326,2
C001,R000327,4
C001,R000328,1
C001,R000330,5
C001,R000334,15
C001,R000335,13
C001,R000337,2
C001,R000340,2
C001,R000345,3
C001,R000348,2
C001,R000349,2
C001,R000350,1
C001,R000351,12
C001,R000352,4
C001,R000353,7
C001,R000354,4
C001,R000356,5
C001,R000359,1
C001,R000360,2
C001,R000361,4
C001,R000362,2
C001,R000363,1
C001,R000364,8
C001,R000366,5
C001,R000368,4
C001,R000369,3
C001,R000370,3
C001,R000372,2
C001,R000375,10
C001,R000379,8
C001,R000380,1
C001,R000385,3
C001,R000388,3
C001,R000389,3
C001,R000390,6
C001,R000394,2
C001,R000395,2
C001,R000399,4
C001,R000402,14
C001,R000404,3
C001,R000405,5
C001,R000406,7
C001,R000409,2
C001,R000412,1
C001,R000417,7
C001,R000419,4
C001,R000420,2
C001,R000428,3
C001,R000430,15
C001,R000431,4
C001,R000435,2
C001,R000436,5
C001,R000437,2
C001,R000442,8
C001,R000443,3
C001,R000445,5
C001,R000446,5
C001,R000447,1
C001,R000448,2
C001,R000449,7
C001,R000450,4
C001,R000451,4
C001,R000452,4
C001,R000453,5
C001,R000455,8
C001,R000457,14
C001,R000458,10
C001,R000460,3
C001,R000464,1
C001,R000465,10
C001,R000468,4
C001,R000470,13
C001,R000471,1
C001,R000473,15
C001,R000474,6
C001,R000475,12
C001,R000476,1
C001,R000477,14
C001,R000478,2
C001,R000479,6
C001,R000480,2
C001,R000482,11
C001,R000483,2
C001,R000485,2
C001,R000486,1
C001,R000487,6
C001,R000488,2
C001,R000492,5
C001,R000493,3
C001,R000497,3
C001,R000498,1
C001,R000500,3
C001,R000503,4
C001,R000504,5
C001,R000505,8
C001,R000506,2
C001,R000507,8
C001,R000508,3
C001,R000509,3
C001,R000512,3
C001,R000515,15
C001,R000516,3
C001,R000517,3
C001,R000518,2
C001,R000520,8
C001,R000521,6
C001,R000524,2
C001,R000525,1
C001,R000526,1
C001,R000528,4
C001,R000530,2
C001,R000534,3
C001,R000535,3
C001,R000536,3
C001,R000538,11
C001,R000539,1
C001,R000540,2
C001,R000543,3
C001,R000544,1
C001,R000546,12
C001,R000549,9
C001,R000550,1
C001,R000552,1
C001,R000555,6
C001,R000556,2
C001,R000557,3
C001,R000561,1
C001,R000562,4
C001,R000564,6
C001,R000565,2
C001,R000567,5
C001,R000568,3
C001,R000569,9
C001,R000570,9
C001,R000571,9
C001,R000578,2
C001,R000579,7
C001,R000580,6
C001,R000589,10
C001,R000592,2
C001,R000596,7
C001,R000597,9
C001,R000600,5
C001,R000601,1
C001,R000604,6
C001,R000607,4
C001,R000609,3
C001,R000613,13
C001,R000614,3
C001,R000615,4
C001,R000616,3
C001,R000617,13
C001,R000621,2
C001,R000622,2
C001,R000623,6
C001,R000624,4
C001,R000626,3
C001,R000627,4
C001,R000628,7
C001,R000629,6
C001,R000636,2
C001,R000637,3
C001,R000639,4
C001,R000643,5
C001,R000644,1
C001,R000646,3
C001,R000647,3
C001,R000648,15
C001,R000650,4
C001,R000652,13
C001,R000654,2
C001,R000655,6
C001,R000656,10
C001,R000657,5
C001,R000658,2
C001,R000660,1
C001,R000666,6
C001,R000667,1
C001,R000668,5
C001,R000669,5
C001,R000671,4
C001,R000672,2
C001,R000675,2
C001,R000676,3
C001,R000679,6
C001,R000680,4
C001,R000682,1
C001,R000683,5
C001,R000684,2
C001,R000685,1
C001,R000687,3
C001,R000691,2
C001,R000692,15
C001,R000693,4
C001,R000694,1
C001,R000696,8
C001,R000703,3
C001,R000707,6
C001,R000708,3
C001,R000709,3
C001,R000710,1
C001,R000711,3
C001,R000713,14
C001,R000715,7
C001,R000722,10
C001,R000723,11
C001,R000726,2
C001,R000730,1
C001,R000735,2
C001,R000736,2
C001,R000737,9
C001,R000738,3
C001,R000741,11
C001,R000742,10
C001,R000743,7
C001,R000750,5
C001,R000754,10
C001,R000755,9
C001,R000758,12
C001,R000759,1
C001,R000761,8
