requirement_id,requirement_name,coverage_threshold,original_constr_name,description
R000001,Customer_Requirement_1,22,c1,Customer requirement 1
R000002,Customer_Requirement_2,3,c2,Customer requirement 2
R000003,Customer_Requirement_3,10,c3,Customer requirement 3
R000004,Customer_Requirement_4,22,c4,Customer requirement 4
R000005,Customer_Requirement_5,12,c5,Customer requirement 5
R000006,Customer_Requirement_6,8,c6,Customer requirement 6
R000007,Customer_Requirement_7,6,c7,Customer requirement 7
R000008,Customer_Requirement_8,4,c8,Customer requirement 8
R000009,Customer_Requirement_9,17,c9,Customer requirement 9
R000010,Customer_Requirement_10,5,c10,Customer requirement 10
R000011,Customer_Requirement_11,15,c11,Customer requirement 11
R000012,Customer_Requirement_12,11,c12,Customer requirement 12
R000013,Customer_Requirement_13,6,c13,Customer requirement 13
R000014,Customer_Requirement_14,9,c14,Customer requirement 14
R000015,Customer_Requirement_15,19,c15,Customer requirement 15
R000016,Customer_Requirement_16,20,c16,Customer requirement 16
R000017,Customer_Requirement_17,13,c17,Customer requirement 17
R000018,Customer_Requirement_18,-8,c18,Customer requirement 18
R000019,Customer_Requirement_19,8,c19,Customer requirement 19
R000020,Customer_Requirement_20,11,c20,Customer requirement 20
R000021,Customer_Requirement_21,-6,c21,Customer requirement 21
R000022,Customer_Requirement_22,22,c22,Customer requirement 22
R000023,Customer_Requirement_23,12,c23,Customer requirement 23
R000024,Customer_Requirement_24,0,c24,Customer requirement 24
R000025,Customer_Requirement_25,2,c25,Customer requirement 25
R000026,Customer_Requirement_26,7,c26,Customer requirement 26
R000027,Customer_Requirement_27,23,c27,Customer requirement 27
R000028,Customer_Requirement_28,12,c28,Customer requirement 28
R000029,Customer_Requirement_29,-7,c29,Customer requirement 29
R000030,Customer_Requirement_30,6,c30,Customer requirement 30
R000031,Customer_Requirement_31,3,c31,Customer requirement 31
R000032,Customer_Requirement_32,20,c32,Customer requirement 32
R000033,Customer_Requirement_33,6,c33,Customer requirement 33
R000034,Customer_Requirement_34,4,c34,Customer requirement 34
R000035,Customer_Requirement_35,-5,c35,Customer requirement 35
R000036,Customer_Requirement_36,-10,c36,Customer requirement 36
R000037,Customer_Requirement_37,6,c37,Customer requirement 37
R000038,Customer_Requirement_38,11,c38,Customer requirement 38
R000039,Customer_Requirement_39,19,c39,Customer requirement 39
R000040,Customer_Requirement_40,12,c40,Customer requirement 40
R000041,Customer_Requirement_41,10,c41,Customer requirement 41
R000042,Customer_Requirement_42,4,c42,Customer requirement 42
R000043,Customer_Requirement_43,19,c43,Customer requirement 43
R000044,Customer_Requirement_44,18,c44,Customer requirement 44
R000045,Customer_Requirement_45,5,c45,Customer requirement 45
R000046,Customer_Requirement_46,18,c46,Customer requirement 46
R000047,Customer_Requirement_47,8,c47,Customer requirement 47
R000048,Customer_Requirement_48,19,c48,Customer requirement 48
R000049,Customer_Requirement_49,7,c49,Customer requirement 49
R000050,Customer_Requirement_50,-5,c50,Customer requirement 50
R000051,Customer_Requirement_51,7,c51,Customer requirement 51
R000052,Customer_Requirement_52,4,c52,Customer requirement 52
R000053,Customer_Requirement_53,3,c53,Customer requirement 53
R000054,Customer_Requirement_54,12,c54,Customer requirement 54
R000055,Customer_Requirement_55,7,c55,Customer requirement 55
R000056,Customer_Requirement_56,7,c56,Customer requirement 56
R000057,Customer_Requirement_57,10,c57,Customer requirement 57
R000058,Customer_Requirement_58,15,c58,Customer requirement 58
R000059,Customer_Requirement_59,12,c59,Customer requirement 59
R000060,Customer_Requirement_60,7,c60,Customer requirement 60
R000061,Customer_Requirement_61,0,c61,Customer requirement 61
R000062,Customer_Requirement_62,13,c62,Customer requirement 62
R000063,Customer_Requirement_63,7,c63,Customer requirement 63
R000064,Customer_Requirement_64,14,c64,Customer requirement 64
R000065,Customer_Requirement_65,5,c65,Customer requirement 65
R000066,Customer_Requirement_66,-2,c66,Customer requirement 66
R000067,Customer_Requirement_67,10,c67,Customer requirement 67
R000068,Customer_Requirement_68,4,c68,Customer requirement 68
R000069,Customer_Requirement_69,13,c69,Customer requirement 69
R000070,Customer_Requirement_70,4,c70,Customer requirement 70
R000071,Customer_Requirement_71,5,c71,Customer requirement 71
R000072,Customer_Requirement_72,7,c72,Customer requirement 72
R000073,Customer_Requirement_73,14,c73,Customer requirement 73
R000074,Customer_Requirement_74,6,c74,Customer requirement 74
R000075,Customer_Requirement_75,16,c75,Customer requirement 75
R000076,Customer_Requirement_76,7,c76,Customer requirement 76
R000077,Customer_Requirement_77,24,c77,Customer requirement 77
R000078,Customer_Requirement_78,12,c78,Customer requirement 78
R000079,Customer_Requirement_79,13,c79,Customer requirement 79
R000080,Customer_Requirement_80,6,c80,Customer requirement 80
R000081,Customer_Requirement_81,-6,c81,Customer requirement 81
R000082,Customer_Requirement_82,6,c82,Customer requirement 82
R000083,Customer_Requirement_83,-5,c83,Customer requirement 83
R000084,Customer_Requirement_84,10,c84,Customer requirement 84
R000085,Customer_Requirement_85,2,c85,Customer requirement 85
R000086,Customer_Requirement_86,10,c86,Customer requirement 86
R000087,Customer_Requirement_87,11,c87,Customer requirement 87
R000088,Customer_Requirement_88,7,c88,Customer requirement 88
R000089,Customer_Requirement_89,4,c89,Customer requirement 89
R000090,Customer_Requirement_90,1,c90,Customer requirement 90
R000091,Customer_Requirement_91,12,c91,Customer requirement 91
R000092,Customer_Requirement_92,5,c92,Customer requirement 92
R000093,Customer_Requirement_93,14,c93,Customer requirement 93
R000094,Customer_Requirement_94,14,c94,Customer requirement 94
R000095,Customer_Requirement_95,19,c95,Customer requirement 95
R000096,Customer_Requirement_96,14,c96,Customer requirement 96
R000097,Customer_Requirement_97,12,c97,Customer requirement 97
R000098,Customer_Requirement_98,18,c98,Customer requirement 98
R000099,Customer_Requirement_99,11,c99,Customer requirement 99
R000100,Customer_Requirement_100,1,c100,Customer requirement 100
R000101,Customer_Requirement_101,12,c101,Customer requirement 101
R000102,Customer_Requirement_102,23,c102,Customer requirement 102
R000103,Customer_Requirement_103,4,c103,Customer requirement 103
R000104,Customer_Requirement_104,-3,c104,Customer requirement 104
R000105,Customer_Requirement_105,5,c105,Customer requirement 105
R000106,Customer_Requirement_106,-1,c106,Customer requirement 106
R000107,Customer_Requirement_107,17,c107,Customer requirement 107
R000108,Customer_Requirement_108,10,c108,Customer requirement 108
R000109,Customer_Requirement_109,14,c109,Customer requirement 109
R000110,Customer_Requirement_110,5,c110,Customer requirement 110
R000111,Customer_Requirement_111,3,c111,Customer requirement 111
R000112,Customer_Requirement_112,10,c112,Customer requirement 112
R000113,Customer_Requirement_113,-7,c113,Customer requirement 113
R000114,Customer_Requirement_114,11,c114,Customer requirement 114
R000115,Customer_Requirement_115,24,c115,Customer requirement 115
R000116,Customer_Requirement_116,11,c116,Customer requirement 116
R000117,Customer_Requirement_117,-8,c117,Customer requirement 117
R000118,Customer_Requirement_118,5,c118,Customer requirement 118
R000119,Customer_Requirement_119,-10,c119,Customer requirement 119
R000120,Customer_Requirement_120,13,c120,Customer requirement 120
R000121,Customer_Requirement_121,14,c121,Customer requirement 121
R000122,Customer_Requirement_122,7,c122,Customer requirement 122
R000123,Customer_Requirement_123,4,c123,Customer requirement 123
R000124,Customer_Requirement_124,5,c124,Customer requirement 124
R000125,Customer_Requirement_125,11,c125,Customer requirement 125
R000126,Customer_Requirement_126,-7,c126,Customer requirement 126
R000127,Customer_Requirement_127,7,c127,Customer requirement 127
R000128,Customer_Requirement_128,14,c128,Customer requirement 128
R000129,Customer_Requirement_129,8,c129,Customer requirement 129
R000130,Customer_Requirement_130,23,c130,Customer requirement 130
R000131,Customer_Requirement_131,4,c131,Customer requirement 131
R000132,Customer_Requirement_132,4,c132,Customer requirement 132
R000133,Customer_Requirement_133,11,c133,Customer requirement 133
R000134,Customer_Requirement_134,7,c134,Customer requirement 134
R000135,Customer_Requirement_135,3,c135,Customer requirement 135
R000136,Customer_Requirement_136,13,c136,Customer requirement 136
R000137,Customer_Requirement_137,1,c137,Customer requirement 137
R000138,Customer_Requirement_138,16,c138,Customer requirement 138
R000139,Customer_Requirement_139,11,c139,Customer requirement 139
R000140,Customer_Requirement_140,9,c140,Customer requirement 140
R000141,Customer_Requirement_141,12,c141,Customer requirement 141
R000142,Customer_Requirement_142,9,c142,Customer requirement 142
R000143,Customer_Requirement_143,0,c143,Customer requirement 143
R000144,Customer_Requirement_144,5,c144,Customer requirement 144
R000145,Customer_Requirement_145,8,c145,Customer requirement 145
R000146,Customer_Requirement_146,5,c146,Customer requirement 146
R000147,Customer_Requirement_147,22,c147,Customer requirement 147
R000148,Customer_Requirement_148,8,c148,Customer requirement 148
R000149,Customer_Requirement_149,13,c149,Customer requirement 149
R000150,Customer_Requirement_150,6,c150,Customer requirement 150
R000151,Customer_Requirement_151,21,c151,Customer requirement 151
R000152,Customer_Requirement_152,20,c152,Customer requirement 152
R000153,Customer_Requirement_153,19,c153,Customer requirement 153
R000154,Customer_Requirement_154,14,c154,Customer requirement 154
R000155,Customer_Requirement_155,-10,c155,Customer requirement 155
R000156,Customer_Requirement_156,-7,c156,Customer requirement 156
R000157,Customer_Requirement_157,10,c157,Customer requirement 157
R000158,Customer_Requirement_158,12,c158,Customer requirement 158
R000159,Customer_Requirement_159,9,c159,Customer requirement 159
R000160,Customer_Requirement_160,16,c160,Customer requirement 160
R000161,Customer_Requirement_161,6,c161,Customer requirement 161
R000162,Customer_Requirement_162,1,c162,Customer requirement 162
R000163,Customer_Requirement_163,24,c163,Customer requirement 163
R000164,Customer_Requirement_164,-6,c164,Customer requirement 164
R000165,Customer_Requirement_165,2,c165,Customer requirement 165
R000166,Customer_Requirement_166,-5,c166,Customer requirement 166
R000167,Customer_Requirement_167,3,c167,Customer requirement 167
R000168,Customer_Requirement_168,14,c168,Customer requirement 168
R000169,Customer_Requirement_169,12,c169,Customer requirement 169
R000170,Customer_Requirement_170,24,c170,Customer requirement 170
R000171,Customer_Requirement_171,13,c171,Customer requirement 171
R000172,Customer_Requirement_172,9,c172,Customer requirement 172
R000173,Customer_Requirement_173,-8,c173,Customer requirement 173
R000174,Customer_Requirement_174,17,c174,Customer requirement 174
R000175,Customer_Requirement_175,21,c175,Customer requirement 175
R000176,Customer_Requirement_176,8,c176,Customer requirement 176
R000177,Customer_Requirement_177,-9,c177,Customer requirement 177
R000178,Customer_Requirement_178,14,c178,Customer requirement 178
R000179,Customer_Requirement_179,-8,c179,Customer requirement 179
R000180,Customer_Requirement_180,-7,c180,Customer requirement 180
R000181,Customer_Requirement_181,12,c181,Customer requirement 181
R000182,Customer_Requirement_182,11,c182,Customer requirement 182
R000183,Customer_Requirement_183,16,c183,Customer requirement 183
R000184,Customer_Requirement_184,14,c184,Customer requirement 184
R000185,Customer_Requirement_185,4,c185,Customer requirement 185
R000186,Customer_Requirement_186,17,c186,Customer requirement 186
R000187,Customer_Requirement_187,-8,c187,Customer requirement 187
R000188,Customer_Requirement_188,21,c188,Customer requirement 188
R000189,Customer_Requirement_189,11,c189,Customer requirement 189
R000190,Customer_Requirement_190,17,c190,Customer requirement 190
R000191,Customer_Requirement_191,19,c191,Customer requirement 191
R000192,Customer_Requirement_192,7,c192,Customer requirement 192
R000193,Customer_Requirement_193,5,c193,Customer requirement 193
R000194,Customer_Requirement_194,11,c194,Customer requirement 194
R000195,Customer_Requirement_195,9,c195,Customer requirement 195
R000196,Customer_Requirement_196,6,c196,Customer requirement 196
R000197,Customer_Requirement_197,7,c197,Customer requirement 197
R000198,Customer_Requirement_198,7,c198,Customer requirement 198
R000199,Customer_Requirement_199,1,c199,Customer requirement 199
R000200,Customer_Requirement_200,17,c200,Customer requirement 200
R000201,Customer_Requirement_201,9,c201,Customer requirement 201
R000202,Customer_Requirement_202,6,c202,Customer requirement 202
R000203,Customer_Requirement_203,10,c203,Customer requirement 203
R000204,Customer_Requirement_204,4,c204,Customer requirement 204
R000205,Customer_Requirement_205,4,c205,Customer requirement 205
R000206,Customer_Requirement_206,13,c206,Customer requirement 206
R000207,Customer_Requirement_207,4,c207,Customer requirement 207
R000208,Customer_Requirement_208,10,c208,Customer requirement 208
R000209,Customer_Requirement_209,8,c209,Customer requirement 209
R000210,Customer_Requirement_210,18,c210,Customer requirement 210
R000211,Customer_Requirement_211,4,c211,Customer requirement 211
R000212,Customer_Requirement_212,-1,c212,Customer requirement 212
R000213,Customer_Requirement_213,-7,c213,Customer requirement 213
R000214,Customer_Requirement_214,24,c214,Customer requirement 214
R000215,Customer_Requirement_215,3,c215,Customer requirement 215
R000216,Customer_Requirement_216,12,c216,Customer requirement 216
R000217,Customer_Requirement_217,13,c217,Customer requirement 217
R000218,Customer_Requirement_218,11,c218,Customer requirement 218
R000219,Customer_Requirement_219,4,c219,Customer requirement 219
R000220,Customer_Requirement_220,4,c220,Customer requirement 220
R000221,Customer_Requirement_221,12,c221,Customer requirement 221
R000222,Customer_Requirement_222,5,c222,Customer requirement 222
R000223,Customer_Requirement_223,9,c223,Customer requirement 223
R000224,Customer_Requirement_224,-1,c224,Customer requirement 224
R000225,Customer_Requirement_225,23,c225,Customer requirement 225
R000226,Customer_Requirement_226,24,c226,Customer requirement 226
R000227,Customer_Requirement_227,8,c227,Customer requirement 227
R000228,Customer_Requirement_228,16,c228,Customer requirement 228
R000229,Customer_Requirement_229,14,c229,Customer requirement 229
R000230,Customer_Requirement_230,-10,c230,Customer requirement 230
R000231,Customer_Requirement_231,18,c231,Customer requirement 231
R000232,Customer_Requirement_232,12,c232,Customer requirement 232
