id1,id2,setup_time
0,1,37
0,2,52
0,3,35
0,4,18
0,5,19
0,6,32
0,7,21
0,8,28
0,9,14
0,10,33
0,11,40
0,12,32
0,13,26
0,14,37
0,15,23
0,16,21
0,17,20
0,18,28
0,19,27
0,20,10
0,21,17
0,22,29
0,23,25
0,24,10
0,25,31
0,26,31
0,27,13
0,28,9
0,29,28
0,30,52
0,31,28
0,32,26
0,33,49
0,34,8
0,35,34
0,36,31
0,37,10
0,38,42
0,39,26
0,40,13
0,41,20
0,42,47
0,43,32
0,44,25
1,0,37
1,2,40
1,3,30
1,4,47
1,5,22
1,6,16
1,7,23
1,8,57
1,9,43
1,10,27
1,11,25
1,12,53
1,13,18
1,14,27
1,15,22
1,16,50
1,17,21
1,18,33
1,19,22
1,20,36
1,21,46
1,22,21
1,23,22
1,24,31
1,25,23
1,26,40
1,27,38
1,28,37
1,29,32
1,30,41
1,31,17
1,32,37
1,33,46
1,34,35
1,35,32
1,36,51
1,37,38
1,38,30
1,39,29
1,40,42
1,41,20
1,42,37
1,43,21
1,44,29
2,0,52
2,1,40
2,3,44
2,4,62
2,5,36
2,6,28
2,7,37
2,8,71
2,9,58
2,10,39
2,11,37
2,12,66
2,13,32
2,14,39
2,15,36
2,16,65
2,17,35
2,18,45
2,19,34
2,20,50
2,21,60
2,22,35
2,23,36
2,24,45
2,25,35
2,26,52
2,27,52
2,28,51
2,29,44
2,30,53
2,31,29
2,32,51
2,33,59
2,34,49
2,35,44
2,36,64
2,37,52
2,38,42
2,39,41
2,40,56
2,41,34
2,42,49
2,43,33
2,44,41
3,0,35
3,1,30
3,2,44
3,4,45
3,5,18
3,6,20
3,7,21
3,8,55
3,9,41
3,10,31
3,11,29
3,12,53
3,13,18
3,14,31
3,15,22
3,16,48
3,17,17
3,18,35
3,19,25
3,20,32
3,21,44
3,22,21
3,23,22
3,24,31
3,25,27
3,26,42
3,27,38
3,28,33
3,29,34
3,30,45
3,31,20
3,32,33
3,33,45
3,34,34
3,35,36
3,36,51
3,37,34
3,38,34
3,39,31
3,40,38
3,41,16
3,42,40
3,43,25
3,44,30
4,0,18
4,1,47
4,2,62
4,3,45
4,5,29
4,6,41
4,7,31
4,8,38
4,9,24
4,10,43
4,11,50
4,12,42
4,13,36
4,14,47
4,15,33
4,16,31
4,17,30
4,18,38
4,19,37
4,20,20
4,21,27
4,22,39
4,23,35
4,24,20
4,25,41
4,26,41
4,27,23
4,28,19
4,29,38
4,30,62
4,31,38
4,32,36
4,33,58
4,34,18
4,35,44
4,36,41
4,37,20
4,38,52
4,39,36
4,40,23
4,41,29
4,42,57
4,43,42
4,44,35
5,0,19
5,1,22
5,2,36
5,3,18
5,4,29
5,6,22
5,7,7
5,8,39
5,9,25
5,10,30
5,11,31
5,12,43
5,13,16
5,14,32
5,15,9
5,16,32
5,17,3
5,18,32
5,19,23
5,20,18
5,21,28
5,22,16
5,23,11
5,24,18
5,25,26
5,26,37
5,27,24
5,28,19
5,29,31
5,30,46
5,31,18
5,32,19
5,33,31
5,34,19
5,35,35
5,36,42
5,37,20
5,38,36
5,39,28
5,40,24
5,41,2
5,42,31
5,43,26
5,44,27
6,0,32
6,1,16
6,2,28
6,3,20
6,4,41
6,5,22
6,7,17
6,8,49
6,9,37
6,10,15
6,11,13
6,12,42
6,13,8
6,14,15
6,15,16
6,16,45
6,17,22
6,18,21
6,19,10
6,20,32
6,21,38
6,22,11
6,23,15
6,24,23
6,25,11
6,26,28
6,27,30
6,28,32
6,29,20
6,30,29
6,31,5
6,32,38
6,33,35
6,34,27
6,35,20
6,36,40
6,37,33
6,38,18
6,39,17
6,40,37
6,41,22
6,42,25
6,43,9
6,44,17
7,0,21
7,1,23
7,2,37
7,3,21
7,4,31
7,5,7
7,6,17
7,8,41
7,9,27
7,10,25
7,11,26
7,12,45
7,13,11
7,14,27
7,15,12
7,16,34
7,17,6
7,18,28
7,19,18
7,20,21
7,21,30
7,22,14
7,23,14
7,24,21
7,25,21
7,26,35
7,27,26
7,28,22
7,29,27
7,30,41
7,31,13
7,32,22
7,33,34
7,34,21
7,35,30
7,36,44
7,37,23
7,38,31
7,39,24
7,40,26
7,41,5
7,42,33
7,43,21
7,44,23
8,0,28
8,1,57
8,2,71
8,3,55
8,4,38
8,5,39
8,6,49
8,7,41
8,8,48
8,9,34
8,10,53
8,11,58
8,12,52
8,13,45
