evidence_id,u_entity_key,v_entity_key,effect_type,agreement_domain,weight,source_type,direction_recorded,confidence_bucket,qc_flag
0,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,low,pass
1,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,low,pass
2,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,low,pass
3,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,medium,pass
4,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,medium,pass
5,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,medium,pass
6,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,high,pass
7,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,high,review
8,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,high,review
9,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,low,review
10,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,low,review
11,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,low,review
12,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,medium,review
13,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,medium,review
14,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,medium,fail
15,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,high,fail
16,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,high,fail
17,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,high,fail
18,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,low,fail
19,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,low,fail
20,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,low,fail
21,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,medium,pass
22,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,medium,pass
23,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,medium,pass
24,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,high,pass
25,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,high,pass
26,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,high,pass
27,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,low,pass
28,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,low,review
29,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,low,review
30,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,medium,review
31,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,medium,review
32,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,medium,review
33,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,high,review
34,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,high,review
35,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,high,fail
36,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,low,fail
37,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,low,fail
38,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,low,fail
39,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,medium,fail
40,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,medium,fail
41,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,medium,fail
42,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,high,pass
43,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,high,pass
44,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,high,pass
45,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,low,pass
46,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,low,pass
47,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,low,pass
48,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,medium,pass
49,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,medium,review
50,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,medium,review
51,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,high,review
52,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,high,review
53,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,high,review
54,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,low,review
55,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,low,review
56,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,low,fail
57,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,medium,fail
58,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,medium,fail
59,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,medium,fail
60,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,high,fail
61,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,high,fail
62,EB367A25743,E8984D0331E,activation,contrast,1,curation,U_to_V,high,fail
63,EB367A25743,E8984D0331E,repression,trend,1,database,V_to_U,low,pass
64,EB367A25743,E8984D0331E,activation,contrast,1,experiment,U_to_V,low,pass
65,EB367A25743,E8984D0331E,repression,trend,1,pipeline,V_to_U,low,pass
66,EB367A25743,E0CA9A02830,activation,contrast,1,curation,U_to_V,medium,pass
67,EB367A25743,E0CA9A02830,repression,trend,1,database,V_to_U,medium,pass
68,EB367A25743,E0CA9A02830,activation,contrast,1,experiment,U_to_V,medium,pass
69,EB367A25743,E0CA9A02830,repression,trend,1,pipeline,V_to_U,high,pass
70,EB367A25743,E0CA9A02830,activation,contrast,1,curation,U_to_V,high,review
71,EB367A25743,E0CA9A02830,repression,trend,1,database,V_to_U,high,review
72,EB367A25743,E0CA9A02830,activation,contrast,1,experiment,U_to_V,low,review
73,EB367A25743,E0CA9A02830,repression,trend,1,pipeline,V_to_U,low,review
74,EB367A25743,E0CA9A02830,activation,contrast,1,curation,U_to_V,low,review
75,EB367A25743,E0CA9A02830,repression,trend,1,database,V_to_U,medium,review
76,EB367A25743,E0CA9A02830,activation,contrast,1,experiment,U_to_V,medium,review
77,EB367A25743,E0CA9A02830,repression,trend,1,pipeline,V_to_U,medium,fail
78,EB367A25743,E0CA9A02830,activation,contrast,1,curation,U_to_V,high,fail
79,EB367A25743,E0CA9A02830,repression,trend,1,database,V_to_U,high,fail
80,EB367A25743,E0CA9A02830,activation,contrast,1,experiment,U_to_V,high,fail
81,EB367A25743,E0CA9A02830,repression,trend,1,pipeline,V_to_U,low,fail
82,EB367A25743,E0CA9A02830,activation,contrast,1,curation,U_to_V,low,fail
83,EB367A25743,E0CA9A02830,repression,trend,1,database,V_to_U,low,fail
84,EB367A25743,E0CA9A02830,activation,contrast,1,experiment,U_to_V,medium,pass
85,EB367A25743,E0CA9A02830,repression,trend,1,pipeline,V_to_U,medium,pass
86,EB367A25743,E0CA9A02830,activation,contrast,1,curation,U_to_V,medium,pass
87,EB367A25743,E0CA9A02830,repression,trend,1,database,V_to_U,high,pass
88,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,high,pass
89,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,high,pass
90,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,low,pass
91,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,low,review
92,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,low,review
93,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,medium,review
94,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,medium,review
95,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,medium,review
96,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,high,review
97,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,high,review
98,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,high,fail
99,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,low,fail
100,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,low,fail
101,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,low,fail
102,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,medium,fail
103,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,medium,fail
104,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,medium,fail
105,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,high,pass
106,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,high,pass
107,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,high,pass
108,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,low,pass
109,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,low,pass
110,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,low,pass
111,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,medium,pass
112,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,medium,review
113,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,medium,review
114,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,high,review
115,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,high,review
116,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,high,review
117,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,low,review
118,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,low,review
119,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,low,fail
120,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,medium,fail
121,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,medium,fail
122,EB367A25743,E1186A1D361,activation,trend,1,curation,U_to_V,medium,fail
123,EB367A25743,E1186A1D361,repression,contrast,1,database,V_to_U,high,fail
124,EB367A25743,E1186A1D361,activation,trend,1,experiment,U_to_V,high,fail
125,EB367A25743,E1186A1D361,repression,contrast,1,pipeline,V_to_U,high,fail
