constraint_id,sense,rhs
c1,=,-35.0
c2,=,-1.0
c3,=,-115.0
c4,=,-24.0
c5,=,-31.0
c6,=,-91.0
c7,=,-80.0
c8,=,0.0
c9,=,2.0
c10,=,-30.0
c11,=,-30.0
c12,=,22.0
c13,=,24.0
c14,=,-1.0
c15,=,-30.0
c16,=,-31.0
c17,=,-30.0
c18,=,-30.0
c19,=,-30.0
c20,=,-30.0
c21,=,-31.0
c22,=,-1.0
c23,=,-30.0
c24,=,-31.0
c25,=,-122.0
c26,=,-152.0
c27,=,0.0
c28,=,1.0
c29,=,-29.0
c30,=,-59.0
c31,=,-89.0
c32,=,-2.84217e-14
c33,=,-30.0
c34,=,-30.0
c35,=,0.0
c36,=,-30.0
c37,=,-30.0
c38,=,1.0
c39,=,-29.0
c40,=,-30.0
c41,=,-14.0
c42,=,-44.0
c43,=,-6.0
c44,=,27.0
c45,=,-3.0
c46,=,-3.0
c47,=,-156.0
c48,=,-60.0
c49,=,-68.0
c50,=,-134.0
c51,=,-59.0
c52,=,-60.0
c53,=,-167.0
c54,=,-145.0
c55,=,-108.0
c56,=,-45.0
c57,=,-45.0
c58,=,-99.0
c59,=,-59.0
c60,=,-59.0
c61,=,-116.0
c62,=,-138.0
c63,=,-136.0
c64,=,-73.0
c65,=,-27.0
c66,=,-57.0
c67,=,-57.0
c68,=,-56.0
c69,=,-87.0
c70,=,-78.0
c71,=,-98.0
c72,=,-68.0
c73,=,-49.0
c74,=,-68.0
c75,=,-86.0
c76,=,-30.0
c77,=,-57.0
c78,=,-57.0
c79,=,-99.0
c80,=,-88.0
c81,=,-1.0
c82,=,-30.0
c83,=,-163.0
c84,=,-66.0
c85,=,24.0
c86,=,0.0
c87,=,-54.0
c88,=,-3.0
c89,=,55.0
c90,=,23.0
c91,=,39.0
c92,=,29.0
c93,=,-3.0
c94,=,-63.0
c95,=,-57.0
c96,=,-6.0
c97,=,54.0
c98,=,-101.0
c99,=,-102.0
c100,=,-58.0
c101,=,-1.0
c102,=,-138.0
c103,=,-150.0
c104,=,-72.0
c105,=,-30.0
c106,=,2.0
c107,=,-22.0
c108,=,-1.0
c109,=,-3.0
c110,=,-16.0
c111,=,-100.0
c112,=,-71.0
c113,=,-90.0
c114,=,-30.0
c115,=,-74.0
c116,=,-75.0
c117,=,-1.0
c118,=,-22.0
c119,=,-53.0
c120,=,-30.0
c121,=,-90.0
c122,=,-15.0
c123,=,-75.0
c124,=,-110.0
c125,=,-31.0
c126,=,-3.0
c127,=,-97.0
c128,=,-30.0
c129,=,-67.0
c130,=,-53.0
c131,=,-45.0
c132,=,-72.0
c133,=,-30.0
c134,=,-73.0
c135,=,-3.0
c136,=,26.0
c137,=,56.0
c138,=,-33.0
c139,=,-30.0
c140,=,-133.0
c141,=,0.0
c142,=,29.0
c143,=,-46.0
c144,=,-59.0
c145,=,-82.0
c146,=,-90.0
c147,=,-110.0
c148,=,-3.0
c149,=,-68.0
c150,=,-134.0
c151,=,-68.0
c152,=,-59.0
c153,=,27.0
c154,=,-33.0
c155,=,-3.0
c156,=,-58.0
c157,=,-34.0
c158,=,0.0
c159,=,-84.0
c160,=,-87.0
c161,=,-3.0
c162,=,59.0
c163,=,-5.0
c164,=,29.0
c165,=,59.0
c166,=,-168.0
c167,=,-50.0
c168,=,-1.0
c169,=,-16.0
c170,=,-119.0
c171,=,-15.0
