freq_id,lower_bound,upper_bound
x227,0.0,4.0
x228,0.0,0.0
x229,0.0,2.0
x230,0.0,1.0
x231,0.0,1.0
x232,0.0,2.0
x233,0.0,2.0
x234,0.0,0.0
x235,0.0,2.0
x236,0.0,1.0
x237,0.0,1.0
x238,0.0,1.0
x239,0.0,1.0
x240,0.0,1.0
x241,0.0,1.0
x242,0.0,1.0
x243,0.0,1.0
x244,0.0,1.0
x245,0.0,1.0
x246,0.0,1.0
x247,0.0,1.0
x248,0.0,0.0
x249,0.0,1.0
x250,0.0,1.0
x251,0.0,3.0
x252,0.0,4.0
x253,0.0,0.0
x254,0.0,0.0
x255,0.0,1.0
x256,0.0,3.0
x257,0.0,4.0
x258,0.0,2.0
x259,0.0,3.0
x260,0.0,1.0
x261,0.0,0.0
x262,0.0,1.0
x263,0.0,1.0
x264,0.0,0.0
x265,0.0,1.0
x266,0.0,1.0
x267,0.0,1.0
x268,0.0,1.0
x269,0.0,1.0
x270,0.0,0.0
x271,0.0,1.0
x272,0.0,1.0
x273,0.0,4.0
x274,0.0,2.0
x275,0.0,2.0
x276,0.0,4.0
x277,0.0,2.0
x278,0.0,2.0
x279,0.0,4.0
x280,0.0,5.0
x281,0.0,4.0
x282,0.0,3.0
x283,0.0,3.0
x284,0.0,3.0
x285,0.0,1.0
x286,0.0,2.0
x287,0.0,4.0
x288,0.0,5.0
x289,0.0,4.0
x290,0.0,3.0
x291,0.0,3.0
x292,0.0,3.0
x293,0.0,3.0
x294,0.0,3.0
x295,0.0,4.0
x296,0.0,3.0
x297,0.0,3.0
x298,0.0,2.0
x299,0.0,2.0
x300,0.0,2.0
x301,0.0,3.0
x302,0.0,1.0
x303,0.0,1.0
x304,0.0,1.0
x305,0.0,3.0
x306,0.0,3.0
x307,0.0,1.0
x308,0.0,1.0
x309,0.0,4.0
x310,0.0,2.0
x311,0.0,1.0
x312,0.0,0.0
x313,0.0,3.0
x314,0.0,1.0
x315,0.0,2.0
x316,0.0,1.0
x317,0.0,3.0
x318,0.0,3.0
x319,0.0,1.0
x320,0.0,1.0
x321,0.0,1.0
x322,0.0,2.0
x323,0.0,3.0
x324,0.0,3.0
x325,0.0,4.0
x326,0.0,4.0
x327,0.0,1.0
x328,0.0,4.0
x329,0.0,3.0
x330,0.0,3.0
x331,0.0,1.0
x332,0.0,3.0
x333,0.0,1.0
x334,0.0,0.0
x335,0.0,1.0
x336,0.0,2.0
x337,0.0,3.0
x338,0.0,2.0
x339,0.0,3.0
x340,0.0,1.0
x341,0.0,2.0
x342,0.0,3.0
x343,0.0,1.0
x344,0.0,2.0
x345,0.0,2.0
x346,0.0,1.0
x347,0.0,3.0
x348,0.0,2.0
x349,0.0,3.0
x350,0.0,3.0
x351,0.0,5.0
x352,0.0,1.0
x353,0.0,3.0
x354,0.0,1.0
x355,0.0,3.0
x356,0.0,2.0
x357,0.0,1.0
x358,0.0,2.0
x359,0.0,1.0
x360,0.0,3.0
x361,0.0,1.0
x362,0.0,1.0
x363,0.0,1.0
x364,0.0,2.0
x365,0.0,1.0
x366,0.0,3.0
x367,0.0,1.0
x368,0.0,0.0
x369,0.0,2.0
x370,0.0,1.0
x371,0.0,2.0
x372,0.0,3.0
x373,0.0,3.0
x374,0.0,1.0
x375,0.0,2.0
x376,0.0,4.0
x377,0.0,2.0
x378,0.0,1.0
x379,0.0,0.0
x380,0.0,2.0
x381,0.0,1.0
x382,0.0,1.0
x383,0.0,2.0
x384,0.0,0.0
x385,0.0,1.0
x386,0.0,2.0
x387,0.0,1.0
x388,0.0,2.0
x389,0.0,1.0
x390,0.0,2.0
x391,0.0,2.0
x392,0.0,3.0
x393,0.0,2.0
x394,0.0,1.0
x395,0.0,2.0
x396,0.0,3.0
x397,0.0,2.0
