constraint_id,variable_id,coefficient
c1,x1,1.0
c1,x4,1.0
c1,x5,1.0
c1,x14,1.0
c1,x22,1.0
c1,x34,1.0
c1,x159,-1.0
c1,x160,1.0
c1,x227,-60.0
c2,x2,-1.0
c2,x3,1.0
c2,x228,-60.0
c3,x2,-1.0
c3,x4,-1.0
c3,x6,-1.0
c3,x7,1.0
c3,x229,-60.0
c4,x5,-1.0
c4,x6,1.0
c4,x8,1.0
c4,x12,1.0
c4,x14,-1.0
c4,x230,-60.0
c5,x9,1.0
c5,x12,1.0
c5,x14,-1.0
c5,x231,-60.0
c6,x10,1.0
c6,x12,-1.0
c6,x22,-1.0
c6,x34,-1.0
c6,x192,1.0
c6,x193,-1.0
c6,x232,-60.0
c7,x11,1.0
c7,x12,-1.0
c7,x22,-1.0
c7,x34,-1.0
c7,x192,1.0
c7,x194,-1.0
c7,x233,-60.0
c8,x13,1.0
c8,x22,1.0
c8,x29,-1.0
c8,x234,-60.0
c9,x17,1.0
c9,x22,1.0
c9,x32,1.0
c9,x212,1.0
c9,x235,-60.0
c10,x15,-1.0
c10,x18,1.0
c10,x236,-60.0
c11,x19,-1.0
c11,x20,1.0
c11,x237,-60.0
c12,x21,1.0
c12,x22,-1.0
c12,x29,1.0
c12,x238,-60.0
c13,x24,1.0
c13,x37,1.0
c13,x239,-60.0
c14,x23,-1.0
c14,x25,1.0
c14,x240,-60.0
c15,x23,-1.0
c15,x26,1.0
c15,x241,-60.0
c16,x23,-1.0
c16,x27,1.0
c16,x242,-60.0
c17,x28,-1.0
c17,x30,1.0
c17,x243,-60.0
c18,x29,-1.0
c18,x31,1.0
c18,x244,-60.0
c19,x34,-1.0
c19,x36,1.0
c19,x245,-60.0
c20,x33,-1.0
c20,x38,1.0
c20,x246,-60.0
c21,x33,-1.0
c21,x39,1.0
c21,x247,-60.0
c22,x41,-1.0
c22,x42,1.0
c22,x248,-60.0
c23,x41,-1.0
c23,x43,1.0
c23,x249,-60.0
c24,x41,-1.0
c24,x44,1.0
c24,x250,-60.0
c25,x32,1.0
c25,x41,-1.0
c25,x45,1.0
c25,x54,-1.0
c25,x62,-1.0
c25,x251,-60.0
c26,x32,1.0
c26,x41,-1.0
c26,x46,1.0
c26,x54,-1.0
c26,x62,-1.0
c26,x252,-60.0
c27,x34,1.0
c27,x41,-1.0
c27,x47,1.0
c27,x253,-60.0
c28,x40,1.0
c28,x41,-1.0
c28,x48,1.0
c28,x254,-60.0
c29,x40,1.0
c29,x41,-1.0
c29,x49,1.0
c29,x255,-60.0
c30,x32,-1.0
c30,x41,1.0
c30,x50,1.0
c30,x56,-1.0
c30,x62,1.0
c30,x256,-60.0
c31,x32,-1.0
c31,x41,1.0
c31,x51,1.0
c31,x56,-1.0
c31,x62,1.0
c31,x257,-60.0
c32,x32,-1.0
c32,x41,1.0
c32,x52,1.0
c32,x62,1.0
c32,x258,-60.0
c33,x32,-1.0
c33,x41,1.0
c33,x53,1.0
c33,x62,1.0
c33,x259,-60.0
c34,x54,-1.0
c34,x55,1.0
c34,x260,-60.0
c35,x57,1.0
c35,x62,-1.0
c35,x205,1.0
c35,x261,-60.0
c36,x56,-1.0
c36,x58,1.0
c36,x262,-60.0
c37,x59,1.0
c37,x62,-1.0
c37,x202,1.0
