service_id,lower_bound,upper_bound,cost
x1,0.0,4.0,1001.0
x2,0.0,54.0,0.0
x3,0.0,54.0,0.0
x4,0.0,59.0,1000.0
x5,0.0,4.0,1001.0
x6,0.0,54.0,0.0
x7,0.0,59.0,1000.0
x8,0.0,4.0,1001.0
x9,0.0,48.0,0.0
x10,0.0,58.0,0.0
x11,0.0,58.0,0.0
x12,0.0,4.0,1387.0
x13,0.0,52.0,0.0
x14,0.0,59.0,245.0
x15,0.0,59.0,437.0
x16,0.0,59.0,500.0
x17,0.0,59.0,500.0
x18,0.0,59.0,725.0
x19,0.0,54.0,0.0
x20,0.0,54.0,0.0
x21,0.0,52.0,0.0
x22,0.0,4.0,2002.0
x23,0.0,54.0,0.0
x24,0.0,54.0,0.0
x25,0.0,59.0,291.0
x26,0.0,54.0,0.0
x27,0.0,59.0,331.0
x28,0.0,59.0,481.0
x29,0.0,59.0,341.0
x30,0.0,59.0,650.0
x31,0.0,59.0,520.0
x32,0.0,59.0,1000.0
x33,0.0,54.0,0.0
x34,0.0,51.0,0.0
x35,0.0,51.0,0.0
x36,0.0,51.0,0.0
x37,0.0,54.0,0.0
x38,0.0,54.0,0.0
x39,0.0,59.0,250.0
x40,0.0,6.0,1001.0
x41,0.0,54.0,227.0
x42,0.0,54.0,338.0
x43,0.0,54.0,0.0
x44,0.0,54.0,954.0
x45,0.0,57.0,0.0
x46,0.0,57.0,0.0
x47,0.0,6.0,2002.0
x48,0.0,54.0,0.0
x49,0.0,54.0,0.0
x50,0.0,59.0,333.33333333
x51,0.0,59.0,333.33333333
x52,0.0,59.0,666.66666667
x53,0.0,59.0,666.66666667
x54,0.0,59.0,333.33333333
x55,0.0,59.0,333.33333333
x56,0.0,58.0,0.0
x57,0.0,6.0,1001.0
x58,0.0,58.0,0.0
x59,0.0,6.0,1001.0
x60,0.0,54.0,0.0
x61,0.0,54.0,0.0
x62,0.0,54.0,823.0
x63,0.0,54.0,440.0
x64,0.0,59.0,1000.0
x65,0.0,59.0,1000.0
x66,0.0,59.0,371.0
x67,0.0,6.0,1001.0
x68,0.0,6.0,1001.0
x69,0.0,54.0,0.0
x70,0.0,54.0,0.0
x71,0.0,4.0,1001.0
x72,0.0,59.0,231.0
x73,0.0,52.0,0.0
x74,0.0,51.0,0.0
x75,0.0,59.0,470.0
x76,0.0,54.0,520.0
x77,0.0,59.0,235.0
x78,0.0,59.0,295.0
x79,0.0,59.0,650.0
x80,0.0,59.0,500.0
x81,0.0,59.0,500.0
x82,0.0,54.0,0.0
x83,0.0,54.0,0.0
x84,0.0,54.0,0.0
x85,0.0,54.0,474.0
x86,0.0,54.0,909.0
x87,0.0,52.0,283.0
x88,0.0,59.0,384.0
x89,0.0,4.0,1001.0
x90,0.0,53.0,0.0
x91,0.0,59.0,1100.0
x92,0.0,59.0,490.0
x93,0.0,59.0,464.0
x94,0.0,59.0,1000.0
x95,0.0,50.0,0.0
x96,0.0,52.0,0.0
x97,0.0,54.0,0.0
x98,0.0,53.0,0.0
x99,0.0,52.0,0.0
x100,0.0,52.0,0.0
x101,0.0,53.0,0.0
x102,0.0,52.0,0.0
x103,0.0,59.0,1000.0
x104,0.0,54.0,287.0
x105,0.0,54.0,0.0
x106,0.0,54.0,0.0
x107,0.0,4.0,1001.0
x108,0.0,5.0,1001.0
x109,0.0,54.0,0.0
x110,0.0,59.0,520.0
x111,0.0,59.0,1100.0
x112,0.0,59.0,500.0
x113,0.0,59.0,500.0
x114,0.0,54.0,0.0
x115,0.0,4.0,1001.0
x116,0.0,54.0,0.0
x117,0.0,54.0,0.0
x118,0.0,59.0,337.0
x119,0.0,53.0,312.0
x120,0.0,53.0,0.0
x121,0.0,53.0,0.0
x122,0.0,56.0,0.0
x123,0.0,4.0,1001.0
x124,0.0,59.0,500.0
x125,0.0,54.0,0.0
x126,0.0,39.0,500.0
x127,0.0,59.0,500.0
x128,0.0,54.0,0.0
x129,0.0,4.0,1001.0
x130,0.0,4.0,1001.0
x131,0.0,59.0,500.0
x132,0.0,5.0,1001.0
x133,0.0,51.0,0.0
x134,0.0,4.0,1001.0
x135,0.0,54.0,0.0
x136,0.0,59.0,366.0
x137,0.0,59.0,489.0
x138,0.0,59.0,1000.0
x139,0.0,54.0,0.0
x140,0.0,54.0,906.0
x141,0.0,4.0,1001.0
x142,0.0,4.0,1001.0
x143,0.0,56.0,0.0
x144,0.0,59.0,1000.0
x145,0.0,4.0,1001.0
x146,0.0,4.0,1001.0
x147,0.0,59.0,232.0
x148,0.0,54.0,0.0
x149,0.0,54.0,0.0
x150,0.0,54.0,0.0
x151,0.0,54.0,0.0
x152,0.0,54.0,293.0
x153,0.0,54.0,703.0
x154,0.0,4.0,1001.0
x155,0.0,59.0,499.0
x156,0.0,58.0,0.0
x157,0.0,4.0,1001.0
x158,0.0,59.0,580.0
x159,0.0,59.0,247.0
x160,0.0,58.0,0.0
x161,0.0,58.0,0.0
x162,0.0,59.0,600.0
x163,0.0,59.0,520.0
x164,0.0,52.0,0.0
x165,0.0,4.0,1001.0
x166,0.0,58.0,0.0
x167,0.0,4.0,1001.0
x168,0.0,49.0,0.0
x169,0.0,58.0,0.0
x170,0.0,4.0,1001.0
x171,0.0,58.0,0.0
x172,0.0,4.0,1001.0
x173,0.0,59.0,476.0
x174,0.0,59.0,1000.0
x175,0.0,58.0,0.0
x176,0.0,59.0,500.0
x177,0.0,59.0,500.0
x178,0.0,58.0,0.0
x179,0.0,59.0,500.0
x180,0.0,59.0,261.0
x181,0.0,57.0,0.0
x182,0.0,58.0,0.0
x183,0.0,58.0,0.0
x184,0.0,4.0,1001.0
x185,0.0,57.0,0.0
x186,0.0,57.0,0.0
x187,0.0,59.0,1000.0
x188,0.0,4.0,1001.0
x189,0.0,58.0,0.0
x190,0.0,59.0,500.0
x191,0.0,4.0,1001.0
x192,0.0,4.0,1001.0
x193,0.0,59.0,540.0
x194,0.0,59.0,431.0
x195,0.0,58.0,0.0
x196,0.0,4.0,1001.0
x197,0.0,59.0,328.0
x198,0.0,59.0,520.0
x199,0.0,58.0,0.0
x200,0.0,54.0,0.0
x201,0.0,52.0,0.0
x202,0.0,51.0,0.0
x203,0.0,59.0,600.0
x204,0.0,52.0,0.0
x205,0.0,51.0,0.0
x206,0.0,59.0,333.33333333
x207,0.0,6.0,1001.0
x208,0.0,54.0,0.0
x209,0.0,54.0,0.0
x210,0.0,53.0,0.0
x211,0.0,53.0,0.0
x212,0.0,4.0,2002.0
x213,0.0,4.0,1001.0
x214,0.0,4.0,1001.0
x215,0.0,54.0,0.0
x216,0.0,59.0,500.0
x217,0.0,59.0,500.0
x218,0.0,52.0,0.0
x219,0.0,54.0,0.0
x220,0.0,54.0,0.0
x221,0.0,58.0,0.0
x222,0.0,59.0,719.0
x223,0.0,58.0,0.0
x224,0.0,52.0,0.0
x225,0.0,58.0,0.0
x226,0.0,4.0,1001.0
