time_id,ambient_temperature_c,wind_speed_ms
1,5.4,4.2
2,4.8,1.8
3,-1.6,10.5
4,5.7,9.4
5,-1.4,13.2
6,-0.1,11.0
7,6.2,12.1
8,4.7,4.2
9,7.7,2.7
10,4.9,11.3
11,3.5,12.1
12,-3.6,14.9
13,0.5,6.2
14,-1.0,5.6
15,-1.3,11.6
16,9.6,5.1
17,0.9,14.0
18,8.4,12.9
19,4.5,6.4
20,6.9,11.3
21,2.5,11.3
22,3.7,1.5
23,2.4,13.5
24,-2.1,7.6
25,5.8,12.4
26,-0.8,4.8
27,-4.6,13.4
28,4.7,5.8
29,-2.3,0.2
30,9.1,13.6
31,9.3,1.4
32,8.7,4.8
33,0.6,14.3
34,-4.8,14.3
35,8.9,8.6
36,1.4,9.5
37,9.5,6.7
38,9.5,4.4
39,7.8,4.9
40,-0.6,10.1
41,0.8,11.3
42,7.8,11.9
43,-0.2,11.8
44,-2.5,1.4
45,3.4,7.4
46,9.0,0.9
47,5.4,8.2
48,3.6,6.6
49,-3.5,13.3
50,4.2,5.3
51,9.9,1.8
52,-2.9,2.1
53,2.8,11.4
54,8.2,9.3
55,6.1,1.5
56,5.5,1.3
57,5.5,10.5
58,0.4,1.1
59,-0.6,12.3
60,7.1,10.6
61,7.2,1.2
62,8.0,1.3
63,8.7,14.8
64,2.7,5.6
65,2.5,5.6
66,7.0,12.2
67,4.7,14.2
68,5.5,14.8
69,6.9,11.3
70,8.4,5.6
71,0.1,1.3
72,0.6,11.7
73,-3.6,8.4
74,3.7,6.4
75,-4.5,13.6
76,2.0,1.7
77,3.1,7.4
78,-0.7,0.2
79,3.9,7.0
80,-4.5,0.8
81,-4.4,1.8
82,7.3,1.8
83,0.4,9.7
84,-3.1,11.2
85,2.8,8.8
86,6.5,14.4
87,-1.8,5.6
88,4.3,4.3
89,-3.7,13.0
90,-4.2,3.4
91,3.0,14.4
92,3.1,0.2
93,4.6,14.5
94,5.9,0.6
95,9.6,13.4
96,2.7,7.9
97,-0.2,14.9
98,6.9,1.1
99,-0.9,8.3
100,1.6,14.5
101,-3.8,7.8
102,-4.6,9.4
103,9.4,10.4
104,7.5,6.8
105,5.4,9.4
106,1.1,8.8
107,-2.4,13.5
108,-2.7,0.7
109,-1.2,4.2
110,3.2,14.3
111,5.7,13.4
112,4.9,6.8
113,-0.8,9.3
114,9.3,4.2
115,6.1,2.8
116,3.3,7.0
117,4.2,5.3
118,1.3,8.8
119,-1.3,1.2
120,0.3,14.6
121,6.4,14.8
122,-4.8,10.5
123,-3.3,8.0
124,-4.3,4.6
125,-4.4,12.2
126,7.8,10.3
127,5.6,2.4
128,2.1,13.7
129,-3.5,12.3
130,2.4,14.2
131,2.1,10.9
132,-2.4,9.2
133,1.5,6.3
134,1.0,14.0
135,4.2,13.0
136,4.5,0.7
137,-4.3,0.4
138,0.6,5.6
139,4.4,12.2
140,2.5,14.8
141,7.8,2.3
142,4.9,8.9
143,-2.6,5.7
144,-3.9,14.5
145,4.6,12.6
146,-4.6,12.6
147,3.8,7.0
148,9.1,6.2
149,3.6,4.1
150,0.8,0.8
151,4.6,13.0
152,1.9,12.2
153,3.2,15.0
154,9.1,14.9
155,0.8,8.3
156,9.4,11.5
157,8.6,14.2
158,-2.1,12.7
159,-4.0,3.7
160,-3.5,6.8
161,-4.7,1.9
162,-3.6,14.3
163,5.2,9.1
164,-3.9,3.4
165,-0.2,10.1
166,7.7,9.3
167,-4.7,5.4
168,7.2,1.7
