unit_id,location_zone,last_maintenance_date
DH_UNIT_001,South,2023-01-01
DH_UNIT_002,South,2023-01-02
DH_UNIT_003,South,2023-01-03
DH_UNIT_004,South,2023-01-04
DH_UNIT_005,South,2023-01-05
DH_UNIT_006,East,2023-01-06
DH_UNIT_007,East,2023-01-07
DH_UNIT_008,South,2023-01-08
DH_UNIT_009,West,2023-01-09
DH_UNIT_010,North,2023-01-10
DH_UNIT_011,South,2023-01-11
DH_UNIT_012,West,2023-01-12
DH_UNIT_013,North,2023-01-13
DH_UNIT_014,South,2023-01-14
DH_UNIT_015,South,2023-01-15
DH_UNIT_016,East,2023-01-16
DH_UNIT_017,North,2023-01-17
DH_UNIT_018,North,2023-01-18
DH_UNIT_019,West,2023-01-19
DH_UNIT_020,East,2023-01-20
DH_UNIT_021,East,2023-01-21
DH_UNIT_022,East,2023-01-22
DH_UNIT_023,East,2023-01-23
DH_UNIT_024,North,2023-01-24
DH_UNIT_025,North,2023-01-25
DH_UNIT_026,South,2023-01-26
DH_UNIT_027,South,2023-01-27
DH_UNIT_028,East,2023-01-28
DH_UNIT_029,East,2023-01-29
DH_UNIT_030,East,2023-01-30
DH_UNIT_031,South,2023-01-31
DH_UNIT_032,West,2023-02-01
DH_UNIT_033,West,2023-02-02
DH_UNIT_034,South,2023-02-03
DH_UNIT_035,South,2023-02-04
DH_UNIT_036,South,2023-02-05
DH_UNIT_037,South,2023-02-06
DH_UNIT_038,South,2023-02-07
DH_UNIT_039,South,2023-02-08
DH_UNIT_040,East,2023-02-09
DH_UNIT_041,East,2023-02-10
DH_UNIT_042,East,2023-02-11
DH_UNIT_043,East,2023-02-12
DH_UNIT_044,South,2023-02-13
DH_UNIT_045,West,2023-02-14
DH_UNIT_046,North,2023-02-15
DH_UNIT_047,South,2023-02-16
DH_UNIT_048,North,2023-02-17
DH_UNIT_049,West,2023-02-18
DH_UNIT_050,East,2023-02-19
DH_UNIT_051,West,2023-02-20
DH_UNIT_052,South,2023-02-21
DH_UNIT_053,East,2023-02-22
DH_UNIT_054,South,2023-02-23
DH_UNIT_055,East,2023-02-24
DH_UNIT_056,North,2023-02-25
DH_UNIT_057,North,2023-02-26
DH_UNIT_058,North,2023-02-27
DH_UNIT_059,West,2023-02-28
DH_UNIT_060,South,2023-03-01
DH_UNIT_061,West,2023-03-02
DH_UNIT_062,North,2023-03-03
DH_UNIT_063,South,2023-03-04
DH_UNIT_064,North,2023-03-05
DH_UNIT_065,West,2023-03-06
DH_UNIT_066,West,2023-03-07
DH_UNIT_067,West,2023-03-08
DH_UNIT_068,North,2023-03-09
DH_UNIT_069,South,2023-03-10
DH_UNIT_070,South,2023-03-11
DH_UNIT_071,North,2023-03-12
DH_UNIT_072,South,2023-03-13
DH_UNIT_073,North,2023-03-14
DH_UNIT_074,South,2023-03-15
DH_UNIT_075,East,2023-03-16
DH_UNIT_076,East,2023-03-17
DH_UNIT_077,West,2023-03-18
DH_UNIT_078,East,2023-03-19
DH_UNIT_079,East,2023-03-20
DH_UNIT_080,East,2023-03-21
DH_UNIT_081,North,2023-03-22
DH_UNIT_082,East,2023-03-23
DH_UNIT_083,East,2023-03-24
DH_UNIT_084,West,2023-03-25
DH_UNIT_085,East,2023-03-26
DH_UNIT_086,East,2023-03-27
DH_UNIT_087,South,2023-03-28
DH_UNIT_088,West,2023-03-29
DH_UNIT_089,West,2023-03-30
DH_UNIT_090,West,2023-03-31
DH_UNIT_091,West,2023-04-01
DH_UNIT_092,West,2023-04-02
DH_UNIT_093,West,2023-04-03
DH_UNIT_094,North,2023-04-04
DH_UNIT_095,East,2023-04-05
DH_UNIT_096,West,2023-04-06
DH_UNIT_097,East,2023-04-07
DH_UNIT_098,East,2023-04-08
DH_UNIT_099,North,2023-04-09
DH_UNIT_100,West,2023-04-10
