unit_id,manufacturer,commission_year,thermal_efficiency_class
DH_UNIT_001,Ansaldo,2007,D
DH_UNIT_002,Doosan,1986,B
DH_UNIT_003,Mitsubishi,1988,B
DH_UNIT_004,Doosan,1987,B
DH_UNIT_005,Doosan,1991,C
DH_UNIT_006,GE,2013,C
DH_UNIT_007,Mitsubishi,2012,D
DH_UNIT_008,Mitsubishi,2002,D
DH_UNIT_009,Mitsubishi,2003,A
DH_UNIT_010,Doosan,2016,A
DH_UNIT_011,Ansaldo,2014,D
DH_UNIT_012,Mitsubishi,2019,C
DH_UNIT_013,Doosan,2001,B
DH_UNIT_014,GE,2006,D
DH_UNIT_015,Ansaldo,2014,A
DH_UNIT_016,GE,1980,C
DH_UNIT_017,Ansaldo,2014,D
DH_UNIT_018,Doosan,2016,D
DH_UNIT_019,Siemens,1993,C
DH_UNIT_020,Ansaldo,1982,D
DH_UNIT_021,GE,1980,C
DH_UNIT_022,Doosan,1984,B
DH_UNIT_023,Ansaldo,2005,C
DH_UNIT_024,Siemens,1993,C
DH_UNIT_025,Siemens,2018,C
DH_UNIT_026,Mitsubishi,2006,D
DH_UNIT_027,Mitsubishi,1988,D
DH_UNIT_028,GE,1994,C
DH_UNIT_029,Ansaldo,1994,D
DH_UNIT_030,Ansaldo,2005,A
DH_UNIT_031,Mitsubishi,1992,A
DH_UNIT_032,Ansaldo,2011,D
DH_UNIT_033,Ansaldo,2018,D
DH_UNIT_034,Siemens,2011,C
DH_UNIT_035,Mitsubishi,1983,B
DH_UNIT_036,Doosan,2009,D
DH_UNIT_037,Mitsubishi,2016,A
DH_UNIT_038,Doosan,2002,C
DH_UNIT_039,Siemens,2018,D
DH_UNIT_040,GE,1994,A
DH_UNIT_041,Ansaldo,2008,A
DH_UNIT_042,Siemens,2015,B
DH_UNIT_043,Ansaldo,1992,C
DH_UNIT_044,GE,2011,C
DH_UNIT_045,GE,1986,B
DH_UNIT_046,Siemens,2001,B
DH_UNIT_047,GE,2007,C
DH_UNIT_048,Doosan,1981,C
DH_UNIT_049,GE,1985,D
DH_UNIT_050,Ansaldo,2007,D
DH_UNIT_051,Ansaldo,2007,B
DH_UNIT_052,Ansaldo,1999,D
DH_UNIT_053,Ansaldo,2009,A
DH_UNIT_054,Doosan,1990,D
DH_UNIT_055,Mitsubishi,2007,D
DH_UNIT_056,Siemens,2004,A
DH_UNIT_057,Ansaldo,2018,B
DH_UNIT_058,GE,2012,A
DH_UNIT_059,Ansaldo,1980,D
DH_UNIT_060,GE,2006,B
DH_UNIT_061,GE,1992,D
DH_UNIT_062,Ansaldo,1982,A
DH_UNIT_063,Doosan,2018,A
DH_UNIT_064,GE,1985,D
DH_UNIT_065,GE,1987,C
DH_UNIT_066,Ansaldo,2006,C
DH_UNIT_067,GE,1988,A
DH_UNIT_068,GE,2016,A
DH_UNIT_069,Ansaldo,2012,C
DH_UNIT_070,Ansaldo,2003,C
DH_UNIT_071,Siemens,1994,D
DH_UNIT_072,Doosan,2011,D
DH_UNIT_073,Doosan,2011,C
DH_UNIT_074,GE,2003,D
DH_UNIT_075,Doosan,1991,D
DH_UNIT_076,GE,2018,B
DH_UNIT_077,Siemens,1981,D
DH_UNIT_078,Ansaldo,1982,A
DH_UNIT_079,Ansaldo,2016,D
DH_UNIT_080,Ansaldo,1996,D
DH_UNIT_081,Doosan,1981,C
DH_UNIT_082,Siemens,1981,A
DH_UNIT_083,Doosan,2007,D
DH_UNIT_084,Doosan,2002,D
DH_UNIT_085,Siemens,2016,B
DH_UNIT_086,Siemens,2011,D
DH_UNIT_087,Siemens,2012,D
DH_UNIT_088,Siemens,1980,B
DH_UNIT_089,Ansaldo,1998,C
DH_UNIT_090,Mitsubishi,1981,D
DH_UNIT_091,Mitsubishi,2005,B
DH_UNIT_092,Siemens,2011,A
DH_UNIT_093,Mitsubishi,1985,C
DH_UNIT_094,Mitsubishi,2011,A
DH_UNIT_095,Siemens,1983,A
DH_UNIT_096,Mitsubishi,1990,B
DH_UNIT_097,Doosan,1996,D
DH_UNIT_098,GE,2017,B
DH_UNIT_099,GE,2003,B
DH_UNIT_100,Siemens,1984,B
