time_step,solar_irradiance_wm2,wind_speed_ms,grid_frequency_hz
1,815.8,0.3,49.988
2,161.7,9.5,50.015
3,806.1,3.7,50.0
4,948.0,14.1,50.057
5,57.9,9.1,49.996
6,863.9,12.4,49.947
7,413.4,1.2,50.028
8,743.8,14.8,49.875
9,856.1,3.7,50.01
10,347.0,10.9,50.079
11,52.4,10.2,50.071
12,858.8,8.5,50.004
13,632.8,9.1,50.106
14,344.7,11.1,50.026
15,488.6,13.5,49.977
16,65.1,7.2,50.023
17,567.9,13.0,49.991
18,464.8,11.9,50.06
19,642.8,7.1,50.053
20,812.6,8.9,50.043
21,185.0,13.7,49.959
22,6.2,11.5,50.017
23,340.6,3.2,49.96
24,716.8,9.3,49.934
25,960.7,8.7,49.966
26,970.7,1.4,49.995
27,277.0,2.0,50.037
28,448.0,3.2,50.074
29,453.6,14.0,49.979
30,210.7,11.8,49.998
31,918.0,10.2,50.043
32,73.6,8.7,49.93
33,818.3,0.7,49.95
34,993.5,6.6,50.01
35,605.4,2.6,49.988
36,109.0,7.4,50.067
37,355.0,3.9,50.062
38,305.0,13.6,49.995
39,329.6,7.0,50.048
40,363.1,12.8,50.06
41,659.1,0.2,49.976
42,987.5,13.1,49.978
43,437.2,10.5,50.011
44,33.8,14.6,49.964
45,394.1,3.9,49.945
46,726.6,14.6,49.925
47,46.4,1.7,50.02
48,683.6,8.6,49.941
49,923.0,8.1,49.944
50,102.1,11.2,50.018
51,431.7,3.2,49.979
52,624.1,2.9,49.977
53,470.0,1.6,49.959
54,300.1,12.3,50.047
55,82.7,6.3,49.998
56,874.9,2.4,50.089
57,400.2,14.6,49.979
58,125.5,1.6,50.03
59,343.7,13.9,50.019
60,373.4,8.1,50.036
61,419.0,9.2,50.016
62,55.0,11.0,49.927
63,55.7,8.3,50.05
64,875.8,6.0,49.994
65,61.8,14.2,49.953
66,634.0,13.6,49.982
67,6.7,8.3,50.027
68,969.7,4.2,49.995
69,379.1,8.4,50.009
70,512.6,14.5,49.932
71,50.2,10.8,49.943
72,295.3,3.0,49.991
73,574.0,8.0,50.089
74,196.2,0.1,49.937
75,626.6,13.4,50.001
76,720.9,2.8,49.945
77,703.7,8.4,50.101
78,97.4,3.3,49.996
79,987.9,12.2,50.048
80,556.5,12.6,50.002
81,153.1,5.5,49.963
82,411.6,0.9,50.024
83,616.9,7.1,49.942
84,150.2,5.5,49.977
85,27.3,13.9,49.987
86,115.6,10.3,50.033
87,772.3,8.7,50.05
88,11.9,1.1,49.968
89,119.1,9.2,49.939
90,836.9,0.4,49.992
91,568.4,14.4,50.015
92,113.9,8.0,49.921
93,40.3,3.2,49.955
94,93.3,6.0,49.967
95,818.5,7.4,49.965
96,316.2,5.4,49.949
97,524.3,6.9,49.97
98,916.5,7.7,50.018
99,634.9,8.3,49.956
100,377.6,2.3,49.96
101,479.4,3.1,50.002
102,663.7,9.3,49.941
103,385.2,9.4,49.982
104,495.1,8.8,50.083
105,694.6,3.7,50.013
106,108.9,12.3,49.952
107,704.9,14.2,49.958
108,864.7,8.4,50.091
109,116.3,10.2,50.038
110,739.0,7.7,50.012
111,602.7,7.3,49.981
112,982.2,12.8,49.991
113,255.2,1.1,49.953
114,617.7,11.8,50.004
115,525.0,10.0,49.985
116,263.8,12.2,50.089
117,913.3,1.8,49.992
118,943.4,13.0,49.98
119,605.7,6.8,50.026
120,721.8,11.6,50.084
121,736.7,13.9,50.015
122,190.9,9.3,50.093
123,366.3,11.4,49.979
124,63.6,4.6,50.127
125,875.6,12.1,49.982
126,465.6,4.1,49.975
127,368.5,2.9,50.033
128,631.1,6.2,50.014
129,967.3,1.2,49.993
130,734.7,1.4,49.982
131,962.1,7.2,49.965
132,268.7,7.9,50.039
133,758.4,9.3,50.025
134,444.1,9.2,50.085
135,177.2,12.0,50.026
136,595.0,12.7,50.017
137,89.9,1.2,49.992
138,461.9,14.8,50.055
139,919.0,1.5,49.998
140,699.1,13.4,49.977
141,932.6,12.0,50.005
142,947.1,11.4,50.012
143,569.2,8.2,50.023
144,501.3,9.2,49.969
145,254.6,7.5,50.051
146,930.9,1.8,49.934
147,197.6,6.9,50.025
148,680.8,12.2,49.931
149,974.6,11.9,49.95
150,351.4,12.7,49.982
151,264.8,10.9,50.039
152,626.3,14.3,50.002
153,31.3,1.0,50.002
154,346.6,3.5,50.003
155,425.4,10.4,50.018
156,561.3,1.9,50.031
157,798.9,0.9,50.08
158,833.3,13.0,50.027
159,788.5,13.1,49.985
160,893.8,10.2,50.01
161,260.7,13.7,50.01
162,199.6,6.6,50.056
163,933.6,12.1,49.905
164,184.6,4.5,49.965
165,338.4,6.4,50.011
166,81.5,3.2,50.099
167,951.3,9.4,50.023
168,19.2,12.6,49.931
