unit_id,mode_id,min_output,max_output,ramp_up_rate_mw_per_min,ramp_down_rate_mw_per_min
DER_001,1,5.0,30.0,1.0,1.0
DER_002,1,5.0,30.0,1.0,1.0
DER_003,1,5.0,30.0,1.0,1.0
DER_004,1,150.0,300.0,10.0,10.0
DER_005,1,100.0,300.0,10.0,10.0
DER_006,1,10.0,30.0,1.0,1.0
DER_007,1,25.0,100.0,3.33,3.33
DER_008,1,5.0,30.0,1.0,1.0
DER_009,1,5.0,30.0,1.0,1.0
DER_010,1,100.0,300.0,10.0,10.0
DER_011,1,100.0,350.0,11.67,11.67
DER_012,1,8.0,30.0,1.0,1.0
DER_013,1,8.0,30.0,1.0,1.0
DER_014,1,25.0,100.0,3.33,3.33
DER_015,1,8.0,30.0,1.0,1.0
DER_016,1,25.0,100.0,3.33,3.33
DER_017,1,8.0,30.0,1.0,1.0
DER_018,1,8.0,30.0,1.0,1.0
DER_019,1,25.0,100.0,3.33,3.33
DER_020,1,50.0,250.0,8.33,8.33
DER_021,1,50.0,250.0,8.33,8.33
DER_022,1,25.0,100.0,3.33,3.33
DER_023,1,25.0,100.0,3.33,3.33
DER_024,1,50.0,200.0,6.67,6.67
DER_025,1,50.0,200.0,6.67,6.67
DER_026,1,25.0,100.0,3.33,3.33
DER_027,1,100.0,420.0,14.0,14.0
DER_028,1,100.0,420.0,14.0,14.0
DER_029,1,80.0,300.0,10.0,10.0
DER_030,1,30.0,80.0,2.67,2.67
DER_031,1,10.0,30.0,1.0,1.0
DER_032,1,5.0,30.0,1.0,1.0
DER_033,1,5.0,20.0,0.67,0.67
DER_034,1,25.0,100.0,3.33,3.33
DER_035,1,25.0,100.0,3.33,3.33
DER_036,1,150.0,300.0,10.0,10.0
DER_037,1,25.0,100.0,3.33,3.33
DER_038,1,10.0,30.0,1.0,1.0
DER_039,1,100.0,300.0,10.0,10.0
DER_040,1,50.0,200.0,6.67,6.67
DER_041,1,8.0,20.0,0.67,0.67
DER_042,1,20.0,50.0,1.67,1.67
DER_043,1,100.0,300.0,10.0,10.0
DER_044,1,100.0,300.0,10.0,10.0
DER_045,1,100.0,300.0,10.0,10.0
DER_046,1,8.0,20.0,0.67,0.67
DER_047,1,25.0,100.0,3.33,3.33
DER_048,1,25.0,100.0,3.33,3.33
DER_049,1,8.0,20.0,0.67,0.67
DER_050,1,25.0,50.0,1.67,1.67
DER_051,1,25.0,100.0,3.33,3.33
DER_052,1,25.0,100.0,3.33,3.33
DER_053,1,25.0,100.0,3.33,3.33
DER_054,1,25.0,50.0,1.67,1.67
