time_step,solar_irradiance,wind_speed_m_s,grid_frequency_hz
0,436.9,14.4,50.007
1,658.1,6.5,50.003
2,189.6,0.7,50.04
3,406.7,1.3,50.065
4,948.8,8.4,49.915
5,140.7,3.5,50.023
6,432.2,11.1,50.043
7,648.2,11.6,49.976
8,176.5,3.0,49.983
9,179.5,0.1,49.971
10,941.6,4.7,50.064
11,871.5,10.9,49.926
12,570.7,4.8,49.988
13,299.0,11.9,49.995
14,347.6,6.2,50.002
15,924.9,14.1,49.975
16,52.5,2.5,50.045
17,523.2,1.3,50.008
18,696.9,5.0,50.005
19,957.9,5.0,49.915
20,672.1,12.9,50.042
21,879.6,6.7,50.112
22,366.5,7.1,50.008
23,837.4,14.4,50.042
24,91.1,8.5,50.043
25,126.0,11.2,50.017
26,89.0,4.4,50.013
27,125.1,3.3,49.972
28,666.4,7.4,50.066
29,658.0,1.6,49.999
30,970.7,9.8,50.031
31,257.9,4.8,49.992
32,375.4,3.2,50.011
33,728.2,0.8,49.99
34,540.3,0.2,50.013
35,472.3,7.8,50.076
36,374.8,4.9,50.041
37,673.0,0.5,49.937
38,331.4,9.3,49.938
39,448.0,0.6,50.077
40,472.0,3.9,49.934
41,248.5,6.6,50.014
42,723.3,6.8,49.947
43,505.1,9.8,50.002
44,809.1,6.1,49.943
45,249.1,4.6,50.091
46,294.6,11.6,49.981
47,346.5,3.2,49.96
48,829.0,9.0,49.971
49,209.5,11.6,49.984
50,579.0,8.7,49.938
51,778.3,2.4,49.986
52,70.6,13.0,49.982
53,282.1,7.1,49.952
54,856.7,8.0,49.959
55,893.5,12.4,50.012
56,589.2,5.1,50.01
57,431.5,0.5,50.038
58,825.5,12.6,50.073
59,834.2,6.5,49.996
60,123.7,2.0,49.881
61,156.0,3.4,50.013
62,625.2,9.3,49.987
63,530.7,4.0,50.048
64,347.7,2.3,50.047
65,962.6,0.6,50.021
66,576.9,2.7,50.066
67,533.4,14.9,50.048
68,254.3,1.1,50.017
69,617.9,6.7,50.007
70,775.9,4.2,50.005
71,686.6,8.2,50.139
72,571.6,6.5,50.063
73,514.7,10.3,49.948
74,259.9,13.8,50.041
75,726.4,8.9,49.991
76,978.3,14.2,49.97
77,480.6,9.9,50.032
78,464.1,2.8,50.042
79,889.1,3.5,50.021
80,420.7,13.8,50.065
81,939.5,14.7,49.98
82,569.6,8.4,50.003
83,504.5,5.4,50.086
84,694.3,13.3,49.954
85,560.5,11.6,50.018
86,200.1,8.9,50.122
87,688.8,2.3,49.952
88,734.0,10.4,49.997
89,424.8,10.8,49.966
90,441.2,13.1,49.992
91,604.3,3.3,49.983
92,644.0,13.7,50.05
93,401.7,9.6,49.959
94,111.7,4.3,50.011
95,183.1,8.3,49.944
96,661.7,14.7,49.99
97,87.8,0.5,50.024
98,209.9,11.9,49.99
99,630.1,1.3,50.051
100,111.3,14.2,49.946
101,614.9,6.1,50.023
102,80.1,2.2,50.034
103,246.9,12.0,49.932
104,665.1,4.4,49.953
105,413.1,10.7,49.976
106,383.5,9.6,49.921
107,91.8,8.8,50.058
108,156.8,12.4,49.968
109,956.8,3.0,49.962
110,867.1,8.1,50.029
111,999.0,4.1,49.959
112,306.4,1.5,49.965
113,498.4,5.5,50.064
114,610.6,3.1,50.011
115,356.5,10.7,50.075
116,779.3,3.7,50.028
117,732.5,5.3,50.019
118,561.2,7.2,49.972
119,487.2,5.2,50.063
120,708.9,2.3,49.976
121,260.8,0.3,49.948
122,986.0,2.9,50.097
123,229.9,11.3,49.944
124,826.0,3.0,49.994
125,991.7,1.5,49.957
126,149.6,2.0,50.024
127,706.5,14.3,50.076
128,691.7,4.7,50.001
129,41.3,1.8,50.046
130,611.8,0.8,50.016
131,266.5,11.6,49.974
132,4.2,10.4,49.943
133,612.8,11.6,50.024
134,821.0,12.8,50.102
135,819.0,8.5,50.026
136,838.9,8.1,50.013
137,840.5,9.0,49.982
138,111.0,7.8,50.02
139,966.3,2.3,49.996
140,369.6,5.4,49.984
141,962.9,2.8,50.088
142,967.7,13.3,50.027
143,360.5,4.9,50.031
144,114.5,4.5,50.07
145,14.0,8.2,49.949
146,295.3,10.0,50.015
147,126.9,1.8,50.0
148,588.1,6.0,49.974
149,729.8,13.9,50.092
150,764.8,7.9,49.955
151,438.1,5.3,50.067
152,260.3,4.5,49.987
153,986.7,6.7,50.005
154,350.4,9.7,49.984
155,562.8,2.8,49.986
156,561.6,4.3,49.943
157,422.5,5.5,49.976
158,954.1,9.2,50.027
159,289.3,8.2,49.946
160,663.8,5.0,50.019
161,593.8,0.1,50.026
162,591.6,11.1,50.104
163,384.3,1.8,49.988
164,98.2,5.3,50.015
165,851.9,14.5,49.978
166,720.6,10.1,50.066
167,777.7,6.5,49.939
