unit_id,manufacturer,maintenance_schedule,grid_connection_point
GEN_019,Mitsubishi,Q4,SUB_00
GEN_024,Mitsubishi,Q3,SUB_01
GEN_027,Mitsubishi,Q2,SUB_02
GEN_028,Ansaldo,Q2,SUB_03
GEN_029,Siemens,Q1,SUB_04
GEN_030,Mitsubishi,Q3,SUB_05
GEN_031,Ansaldo,Q1,SUB_06
GEN_035,Ansaldo,Q3,SUB_07
GEN_038,Ansaldo,Q4,SUB_08
GEN_051,Siemens,Q3,SUB_09
GEN_052,GE,Q3,SUB_10
GEN_054,Siemens,Q1,SUB_11
GEN_057,Ansaldo,Q1,SUB_12
GEN_061,Ansaldo,Q2,SUB_13
GEN_064,Ansaldo,Q1,SUB_14
GEN_072,GE,Q3,SUB_15
GEN_081,Mitsubishi,Q4,SUB_16
GEN_089,Siemens,Q3,SUB_17
GEN_097,Mitsubishi,Q3,SUB_18
GEN_099,Mitsubishi,Q1,SUB_19
GEN_102,Siemens,Q2,SUB_20
