rule_id,rule_family,unit_id,time_id,subgroup_id,sense,rhs,gen_scope,gen_coef,online_capacity_source
"MIN_UP_LOGIC[group=1,u=19,t=1]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,1,1.0,>=,-48.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=1]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,1,1.0,<=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=1,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,1,1.0,>=,-2.3702,,,
"STARTUP_COST_RULE[u=19,t=1,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,1,3.0,>=,-425.7071,,,
"MIN_UP_LOGIC[group=1,u=19,t=2]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,2,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=2]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,2,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=2,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,2,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=2,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,2,3.0,>=,-417.0192,,,
"MIN_UP_LOGIC[group=1,u=19,t=3]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,3,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=3]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,3,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=3,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,3,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=3,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,3,3.0,>=,-408.3313,,,
"MIN_UP_LOGIC[group=1,u=19,t=4]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,4,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=4]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,4,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=4,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,4,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=4,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,4,3.0,>=,-399.6434,,,
"MIN_UP_LOGIC[group=1,u=19,t=5]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,5,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=5]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,5,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=5,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,5,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=5,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,5,3.0,>=,-390.9555,,,
"MIN_UP_LOGIC[group=1,u=19,t=6]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,6,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=6]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,6,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=6,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,6,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=6,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,6,3.0,>=,-382.2676,,,
"MIN_UP_LOGIC[group=1,u=19,t=7]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,7,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=7]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,7,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=7,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,7,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=7,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,7,3.0,>=,-373.5797,,,
"MIN_UP_LOGIC[group=1,u=19,t=8]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,8,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=8]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,8,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=8,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,8,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=8,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,8,3.0,>=,-364.8918,,,
"MIN_UP_LOGIC[group=1,u=19,t=9]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,9,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=9]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,9,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=9,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,9,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=9,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,9,3.0,>=,-356.2039,,,
"MIN_UP_LOGIC[group=1,u=19,t=10]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,10,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=10]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,10,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=10,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,10,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=10,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,10,3.0,>=,-347.516,,,
"MIN_UP_LOGIC[group=1,u=19,t=11]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,11,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=11]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,11,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=11,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,11,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=11,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,11,3.0,>=,-338.8281,,,
"MIN_UP_LOGIC[group=1,u=19,t=12]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,12,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=12]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,12,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=12,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,12,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=12,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,12,3.0,>=,-330.1402,,,
"MIN_UP_LOGIC[group=1,u=19,t=13]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,13,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=13]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,13,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=13,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,13,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=13,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,13,3.0,>=,-321.4523,,,
"MIN_UP_LOGIC[group=1,u=19,t=14]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,14,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=14]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,14,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=14,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,14,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=14,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,14,3.0,>=,-312.7644,,,
"MIN_UP_LOGIC[group=1,u=19,t=15]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,15,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=15]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,15,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=15,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,15,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=15,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,15,3.0,>=,-304.0765,,,
"MIN_UP_LOGIC[group=1,u=19,t=16]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,16,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=16]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,16,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=16,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,16,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=16,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,16,3.0,>=,-295.3886,,,
"MIN_UP_LOGIC[group=1,u=19,t=17]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,17,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=17]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,17,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=17,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,17,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=17,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,17,3.0,>=,-286.7007,,,
"MIN_UP_LOGIC[group=1,u=19,t=18]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,18,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=18]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,18,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=18,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,18,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=18,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,18,3.0,>=,-278.0128,,,
"MIN_UP_LOGIC[group=1,u=19,t=19]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,19,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=19]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,19,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=19,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,19,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=19,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,19,3.0,>=,-269.3249,,,
"MIN_UP_LOGIC[group=1,u=19,t=20]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,20,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=20]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,20,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=20,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,20,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=20,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,20,3.0,>=,-260.637,,,
"MIN_UP_LOGIC[group=1,u=19,t=21]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,21,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=21]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,21,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=21,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,21,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=21,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,21,3.0,>=,-251.9491,,,
"MIN_UP_LOGIC[group=1,u=19,t=22]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,22,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=22]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,22,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=22,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,22,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=22,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,22,3.0,>=,-243.2612,,,
"MIN_UP_LOGIC[group=1,u=19,t=23]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,23,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=23]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,23,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=23,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,23,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=23,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,23,3.0,>=,-234.5733,,,
"MIN_UP_LOGIC[group=1,u=19,t=24]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,24,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=24]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,24,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=24,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,24,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=24,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,24,3.0,>=,-225.8854,,,
"MIN_UP_LOGIC[group=1,u=19,t=25]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,25,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=25]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,25,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=25,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,25,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=25,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,25,3.0,>=,-217.1975,,,
"MIN_UP_LOGIC[group=1,u=19,t=26]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,26,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=26]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,26,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=26,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,26,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=26,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,26,3.0,>=,-208.5096,,,
"MIN_UP_LOGIC[group=1,u=19,t=27]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,27,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=27]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,27,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=27,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,27,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=27,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,27,3.0,>=,-199.8217,,,
"MIN_UP_LOGIC[group=1,u=19,t=28]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,28,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=28]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,28,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=28,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,28,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=28,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,28,3.0,>=,-191.1338,,,
"MIN_UP_LOGIC[group=1,u=19,t=29]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,29,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=29]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,29,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=29,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,29,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=29,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,29,3.0,>=,-182.4459,,,
"MIN_UP_LOGIC[group=1,u=19,t=30]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,30,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=30]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,30,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=30,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,30,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=30,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,30,3.0,>=,-173.758,,,
"MIN_UP_LOGIC[group=1,u=19,t=31]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,31,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=31]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,31,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=31,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,31,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=31,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,31,3.0,>=,-165.0701,,,
"MIN_UP_LOGIC[group=1,u=19,t=32]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,32,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=32]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,32,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=32,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,32,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=32,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,32,3.0,>=,-156.3822,,,
"MIN_UP_LOGIC[group=1,u=19,t=33]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,33,1.0,>=,-0.0,,,
"MIN_DOWN_LOGIC[group=1,u=19,t=33]",THERMAL_STRESS_LIMIT_TYPE_B,GEN_019,33,1.0,<=,48.0,,,
"STARTUP_COST_RULE[u=19,t=33,cat=1]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,33,1.0,>=,-0.0,,,
"STARTUP_COST_RULE[u=19,t=33,cat=3]",ACTIVATION_SURCHARGE_LOGIC,GEN_019,33,3.0,>=,-147.6943,,,
"MIN_UP_LOGIC[group=1,u=19,t=34]",THERMAL_STRESS_LIMIT_TYPE_A,GEN_019,34,1.0,>=,-0.0,,,
