unit_id,manufacturer,installation_date,efficiency_rating
GEN_019,Mitsubishi,2000-09-09,0.44
GEN_024,Mitsubishi,2016-10-04,0.34
GEN_027,Mitsubishi,2020-05-22,0.31
GEN_028,Ansaldo,2005-09-30,0.57
GEN_029,Siemens,2005-01-24,0.49
GEN_030,Mitsubishi,2013-09-13,0.33
GEN_031,Ansaldo,2014-08-06,0.35
GEN_035,Ansaldo,2004-05-30,0.34
GEN_038,Ansaldo,2003-11-09,0.46
GEN_051,Siemens,2000-07-08,0.5
GEN_052,GE,2007-01-12,0.44
GEN_054,Siemens,2013-01-14,0.48
GEN_057,Ansaldo,2017-02-24,0.37
GEN_061,Ansaldo,2001-09-18,0.42
GEN_064,Ansaldo,2015-10-06,0.43
GEN_072,GE,2017-08-12,0.34
GEN_081,Mitsubishi,2002-08-11,0.55
GEN_089,Siemens,2016-05-14,0.52
GEN_097,Mitsubishi,2014-01-22,0.32
GEN_099,Mitsubishi,2014-08-09,0.39
GEN_102,Siemens,2007-09-14,0.38
