unit_id,asset_name,subsidiary
ASSET_01,Thermal_Unit_14,GenCo_A
ASSET_02,Thermal_Unit_19,GenCo_B
ASSET_03,Thermal_Unit_21,GenCo_C
ASSET_04,Thermal_Unit_24,GenCo_D
ASSET_05,Thermal_Unit_26,GenCo_A
ASSET_06,Thermal_Unit_27,GenCo_B
ASSET_07,Thermal_Unit_28,GenCo_C
ASSET_08,Thermal_Unit_29,GenCo_D
ASSET_09,Thermal_Unit_30,GenCo_A
ASSET_10,Thermal_Unit_31,GenCo_B
ASSET_11,Thermal_Unit_32,GenCo_C
ASSET_12,Thermal_Unit_33,GenCo_D
ASSET_13,Thermal_Unit_35,GenCo_A
ASSET_14,Thermal_Unit_38,GenCo_B
ASSET_15,Thermal_Unit_42,GenCo_C
ASSET_16,Thermal_Unit_44,GenCo_D
ASSET_17,Thermal_Unit_45,GenCo_A
ASSET_18,Thermal_Unit_51,GenCo_B
ASSET_19,Thermal_Unit_52,GenCo_C
ASSET_20,Thermal_Unit_53,GenCo_D
ASSET_21,Thermal_Unit_59,GenCo_A
ASSET_22,Thermal_Unit_62,GenCo_B
ASSET_23,Thermal_Unit_67,GenCo_C
ASSET_24,Thermal_Unit_94,GenCo_D
ASSET_25,Thermal_Unit_97,GenCo_A
ASSET_26,Thermal_Unit_101,GenCo_B
