unit_id,mode_id,min_output,max_output
ASSET_01,1,185.0,220.0
ASSET_01,2,220.1,250.0
ASSET_01,3,250.1,280.0
ASSET_01,4,280.1,321.4
ASSET_02,1,100.0,112.6
ASSET_02,2,112.7,135.2
ASSET_02,3,135.3,158.0
ASSET_03,1,8.0,10.3
ASSET_03,2,10.4,13.3
ASSET_03,3,13.4,17.0
ASSET_03,4,17.1,20.0
ASSET_03,5,20.1,23.75
ASSET_04,1,2.1,16.8
ASSET_05,1,5.936,11.872
ASSET_06,1,2.1,8.4
ASSET_07,1,0.999,2.997
ASSET_08,1,1.462,2.924
ASSET_09,1,5.936,5.937
ASSET_10,1,1.462,2.924
ASSET_11,1,6.2,6.3
ASSET_12,1,1.4,4.2
ASSET_13,1,90.0,96.9
ASSET_13,2,97.0,134.9
ASSET_13,3,135.0,152.4
ASSET_13,4,152.5,165.9
ASSET_14,1,90.0,96.9
ASSET_14,2,97.0,134.9
ASSET_14,3,135.0,152.4
ASSET_14,4,152.5,175.0
ASSET_15,1,160.0,180.0
ASSET_15,2,180.1,200.0
ASSET_15,3,200.1,210.0
ASSET_15,4,210.1,220.0
ASSET_15,5,220.1,250.75
ASSET_16,1,0.722,0.723
ASSET_17,1,0.653,1.959
ASSET_18,1,15.0,18.5
ASSET_18,2,18.6,26.0
ASSET_18,3,26.1,33.6
ASSET_18,4,33.7,37.5
ASSET_19,1,15.0,18.5
ASSET_19,2,18.6,26.0
ASSET_19,3,26.1,33.6
ASSET_19,4,33.7,37.5
ASSET_20,1,50.0,70.0
ASSET_20,2,70.1,85.3
ASSET_21,1,75.0,113.9
ASSET_21,2,114.0,128.3
ASSET_22,1,75.0,88.7
ASSET_22,2,88.8,113.9
ASSET_22,3,114.0,130.3
ASSET_23,1,202.0,259.0
ASSET_24,1,155.0,198.0
ASSET_25,1,1.03,5.16
ASSET_26,1,65.0,79.4
ASSET_26,2,79.5,105.8
ASSET_26,3,105.9,141.04
