unit_id,operator_id,commissioning_year,carbon_intensity_index
ASSET_01,OP_1,1990,0.4
ASSET_02,OP_2,1991,0.42000000000000004
ASSET_03,OP_3,1992,0.44
ASSET_04,OP_1,1993,0.46
ASSET_05,OP_2,1994,0.48000000000000004
ASSET_06,OP_3,1995,0.5
ASSET_07,OP_1,1996,0.52
ASSET_08,OP_2,1997,0.54
ASSET_09,OP_3,1998,0.56
ASSET_10,OP_1,1999,0.5800000000000001
ASSET_11,OP_2,2000,0.6000000000000001
ASSET_12,OP_3,2001,0.62
ASSET_13,OP_1,2002,0.64
ASSET_14,OP_2,2003,0.66
ASSET_15,OP_3,2004,0.68
ASSET_16,OP_1,2005,0.7
ASSET_17,OP_2,2006,0.72
ASSET_18,OP_3,2007,0.74
ASSET_19,OP_1,2008,0.76
ASSET_20,OP_2,2009,0.78
ASSET_21,OP_3,2010,0.8
ASSET_22,OP_1,2011,0.8200000000000001
ASSET_23,OP_2,2012,0.8400000000000001
ASSET_24,OP_3,2013,0.8600000000000001
ASSET_25,OP_1,2014,0.88
ASSET_26,OP_2,2015,0.9
