time_step,ambient_temperature_c,process_steam_demand_tph,cooling_water_temp_c
1,23.2,98.8,21.0
2,17.8,162.0,22.1
3,29.5,147.4,14.2
4,26.6,177.4,12.7
5,29.1,148.6,21.3
6,28.4,135.2,22.1
7,24.0,64.1,24.9
8,28.8,105.2,16.2
9,16.3,89.8,15.6
10,17.9,86.6,21.6
11,15.7,196.0,15.1
12,19.9,109.0,24.0
13,20.8,183.8,22.9
14,19.1,144.7,16.4
15,27.4,169.2,21.3
16,20.4,125.4,21.3
17,19.2,136.5,11.5
18,23.1,123.9,23.5
19,17.1,79.3,17.6
20,27.0,158.4,22.4
21,16.1,92.1,14.8
22,29.8,53.6,23.4
23,26.6,146.8,15.8
24,18.0,76.6,10.2
25,15.1,191.1,23.6
26,27.2,193.1,11.4
27,25.6,187.2,14.8
28,25.9,105.5,24.3
29,26.6,52.3,24.3
30,16.1,189.2,18.6
31,20.4,114.2,19.5
32,16.7,195.0,16.7
33,27.9,194.5,14.4
34,24.3,178.0,14.9
35,20.0,94.2,20.1
36,16.0,107.8,21.3
37,19.7,177.7,21.9
38,19.9,97.5,21.8
39,25.9,75.4,11.4
40,24.6,133.5,17.4
41,28.3,190.4,10.9
42,22.1,154.4,18.2
43,16.8,135.5,16.6
44,25.7,64.6,23.3
45,26.4,142.3,15.3
46,23.4,198.5,11.8
47,26.6,71.0,12.1
48,22.4,127.7,21.4
49,22.8,181.6,19.3
50,21.4,161.1,11.5
51,15.4,154.6,11.3
52,16.6,155.4,20.5
53,15.5,103.9,11.1
54,24.5,94.0,22.3
55,19.7,171.4,20.6
56,22.6,171.5,11.2
57,28.6,180.1,11.3
58,18.7,187.0,24.8
59,21.2,126.7,15.6
60,26.3,125.2,15.6
61,18.4,169.7,22.2
62,16.2,147.5,24.2
63,19.3,155.3,24.8
64,17.4,169.4,21.3
65,28.9,183.5,15.6
66,27.1,100.7,11.3
67,24.5,106.3,21.7
68,28.1,64.1,18.4
69,27.1,136.7,16.4
70,17.8,55.4,23.6
71,28.4,119.8,11.7
72,23.1,131.4,17.4
73,27.1,93.0,10.2
74,28.4,138.6,17.0
75,19.8,54.6,10.8
76,16.7,55.6,11.8
77,18.4,173.4,11.8
78,21.4,104.0,19.7
79,27.3,69.1,21.2
80,27.9,128.3,18.8
81,15.1,165.5,24.4
82,22.7,82.4,15.6
83,21.3,143.4,14.3
84,18.3,62.8,23.0
85,16.8,57.8,13.4
86,20.1,129.7,24.4
87,29.1,131.1,10.2
88,19.8,145.6,24.5
89,22.8,158.9,10.6
90,25.5,196.4,23.4
91,20.5,127.4,17.9
92,29.6,98.4,24.9
93,29.4,169.3,11.1
94,18.8,90.6,18.3
95,22.5,115.8,24.5
96,19.5,61.8,17.8
97,19.3,53.8,19.4
98,15.6,194.4,20.4
99,24.1,175.4,16.8
100,22.5,154.4,19.4
101,15.8,111.3,18.8
102,19.2,76.0,23.5
103,28.6,73.5,10.7
104,18.6,87.5,14.2
105,17.2,132.4,24.3
106,22.3,157.2,23.4
107,29.8,149.0,16.8
108,18.6,92.0,19.3
109,25.1,193.2,14.2
110,26.4,160.7,12.8
111,18.6,133.2,17.0
112,25.9,141.8,15.3
113,20.5,112.9,18.8
114,24.5,87.2,11.2
115,24.5,103.4,24.6
116,23.0,163.7,24.8
117,16.4,52.2,20.5
118,27.5,67.4,18.0
119,19.8,56.9,14.6
120,17.8,56.1,22.2
121,15.6,178.3,20.3
122,23.9,155.5,12.4
123,25.2,121.1,23.7
124,15.2,64.7,22.3
125,22.7,123.7,24.2
126,18.4,121.0,20.9
127,24.7,76.0,19.2
128,17.6,115.1,16.3
129,25.4,109.8,24.0
130,20.8,142.4,23.0
131,29.1,145.3,10.7
132,17.1,56.8,10.4
133,20.1,106.2,15.6
134,16.7,143.9,22.2
135,28.9,125.5,24.8
136,28.2,178.5,12.3
137,18.9,148.8,18.9
138,24.9,74.4,15.7
139,27.3,60.6,24.5
140,23.3,146.4,22.6
141,22.9,54.0,22.6
142,18.6,137.9,17.0
143,16.4,191.0,16.2
144,28.5,136.3,14.1
145,28.5,108.2,10.8
146,24.5,146.5,23.0
147,20.1,118.7,22.2
148,20.2,131.8,25.0
149,25.9,191.2,24.9
150,28.5,107.9,18.3
151,28.3,194.2,21.5
152,26.7,185.8,24.2
153,24.6,79.4,22.7
154,16.3,60.4,13.7
155,17.4,65.1,16.8
156,28.5,52.7,11.9
157,24.1,64.2,24.3
158,15.1,152.5,19.1
159,16.5,60.7,13.4
160,25.0,97.8,20.1
161,15.1,176.7,19.3
162,17.4,53.5,15.4
163,23.2,172.2,11.7
164,25.4,92.3,20.1
165,24.8,67.7,17.8
166,18.4,154.5,21.6
167,25.7,144.3,17.8
168,18.6,181.6,22.8
