time_id,demand,spinning_reserve_requirement
1,1537.0,76.85
2,1523.0,76.15
3,1516.0,75.8
4,1506.0,75.3
5,1502.0,75.1
6,1503.0,75.15
7,1505.0,75.25
8,1502.0,75.1
9,1515.0,75.75
10,1518.0,75.9
11,1544.0,77.2
12,1550.0,77.5
13,1550.0,77.5
14,1535.0,76.75
15,1536.0,76.8
16,1556.0,77.8
17,1545.0,77.25
18,1547.0,77.35
19,1510.0,75.5
20,1493.0,74.65
21,1534.0,76.7
22,1548.0,77.4
23,1538.0,76.9
24,1526.0,76.3
25,1536.0,76.8
26,1528.0,76.4
27,1523.0,76.15
28,1516.0,75.8
29,1505.0,75.25
30,1507.0,75.35
31,1511.0,75.55
32,1508.0,75.4
33,1524.0,76.2
34,1528.0,76.4
35,1555.0,77.75
36,1562.0,78.1
37,1563.0,78.15
38,1545.0,77.25
39,1546.0,77.3
40,1564.0,78.2
41,1555.0,77.75
42,1549.0,77.45
43,1516.0,75.8
44,1502.0,75.1
45,1546.0,77.3
46,1560.0,78.0
47,1544.0,77.2
48,1535.0,76.75
49,1537.0,76.85
50,1528.0,76.4
51,1526.0,76.3
52,1515.0,75.75
53,1507.0,75.35
54,1506.0,75.3
55,1507.0,75.35
56,1494.0,74.7
57,1499.0,74.95
58,1502.0,75.1
59,1525.0,76.25
60,1537.0,76.85
61,1538.0,76.9
62,1518.0,75.9
63,1525.0,76.25
64,1539.0,76.95
65,1528.0,76.4
66,1527.0,76.35
67,1505.0,75.25
68,1491.0,74.55
69,1534.0,76.7
70,1551.0,77.55
71,1542.0,77.1
72,1528.0,76.4
73,1528.0,76.4
74,1521.0,76.05
75,1520.0,76.0
76,1513.0,75.65
77,1503.0,75.15
78,1506.0,75.3
79,1502.0,75.1
80,1487.0,74.35
81,1493.0,74.65
82,1487.0,74.35
83,1515.0,75.75
84,1518.0,75.9
85,1529.0,76.45
86,1509.0,75.45
87,1509.0,75.45
88,1525.0,76.25
89,1509.0,75.45
90,1513.0,75.65
91,1508.0,75.4
92,1521.0,76.05
93,1551.0,77.55
94,1564.0,78.2
95,1553.0,77.65
96,1532.0,76.6
97,1524.0,76.2
98,1512.0,75.6
99,1511.0,75.55
100,1496.0,74.8
101,1491.0,74.55
102,1492.0,74.6
103,1495.0,74.75
104,1484.0,74.2
105,1481.0,74.05
106,1493.0,74.65
107,1515.0,75.75
108,1526.0,76.3
109,1524.0,76.2
110,1512.0,75.6
111,1515.0,75.75
112,1525.0,76.25
113,1512.0,75.6
114,1504.0,75.2
115,1488.0,74.4
116,1491.0,74.55
117,1506.0,75.3
118,1519.0,75.95
119,1511.0,75.55
120,1504.0,75.2
121,1502.0,75.1
122,1489.0,74.45
123,1494.0,74.7
124,1489.0,74.45
125,1489.0,74.45
126,1497.0,74.85
127,1497.0,74.85
128,1501.0,75.05
129,1501.0,75.05
130,1498.0,74.9
131,1519.0,75.95
132,1527.0,76.35
133,1530.0,76.5
134,1515.0,75.75
135,1517.0,75.85
136,1530.0,76.5
137,1515.0,75.75
138,1494.0,74.7
139,1488.0,74.4
140,1490.0,74.5
141,1513.0,75.65
142,1536.0,76.8
143,1525.0,76.25
144,1529.0,76.45
145,1524.0,76.2
146,1511.0,75.55
147,1510.0,75.5
148,1503.0,75.15
149,1499.0,74.95
150,1503.0,75.15
151,1504.0,75.2
152,1504.0,75.2
153,1520.0,76.0
154,1521.0,76.05
155,1542.0,77.1
156,1547.0,77.35
157,1549.0,77.45
158,1535.0,76.75
159,1532.0,76.6
160,1543.0,77.15
161,1531.0,76.55
162,1513.0,75.65
163,1503.0,75.15
164,1505.0,75.25
165,1520.0,76.0
166,1535.0,76.75
167,1527.0,76.35
168,1535.0,76.75
