code_type,code,location_id,wave_id
HUB,H9906711,0,
HUB,H5183814,1,
HUB,H9402089,2,
HUB,H5417792,3,
HUB,H8487831,4,
HUB,H1312183,5,
HUB,H0543892,6,
HUB,H2514780,7,
HUB,H6729766,8,
HUB,H6087173,9,
HUB,H3840479,10,
HUB,H5210432,11,
HUB,H5422433,12,
HUB,H3356574,13,
HUB,H8660481,14,
HUB,H4502638,15,
HUB,H7688276,16,
HUB,H6692637,17,
HUB,H1390913,18,
HUB,H5897727,19,
HUB,H4608990,20,
HUB,H6363567,21,
HUB,H5390273,22,
HUB,H2509311,23,
HUB,H1081262,24,
HUB,H0455439,25,
HUB,H8911502,26,
HUB,H6699721,27,
HUB,H7243268,28,
HUB,H0732131,29,
HUB,H0713336,30,
HUB,H8048478,31,
HUB,H6871362,32,
HUB,H9676302,33,
HUB,H6909037,34,
HUB,H7112053,35,
HUB,H4565658,36,
HUB,H2788727,37,
HUB,H2098593,38,
HUB,H0831743,39,
HUB,H7688334,40,
HUB,H0977192,41,
HUB,H0734616,42,
HUB,H4927877,43,
HUB,H6305070,44,
HUB,H0361636,45,
HUB,H5593623,46,
HUB,H3563364,47,
HUB,H8719583,48,
HUB,H3849307,49,
HUB,H4656123,50,
HUB,H6746004,51,
HUB,H4237831,52,
HUB,H6757504,53,
HUB,H8164450,54,
HUB,H0805114,55,
HUB,H8979590,56,
HUB,H1459530,57,
HUB,H2686586,58,
HUB,H9309550,59,
HUB,H9570310,60,
HUB,H9440582,61,
HUB,H6357708,62,
HUB,H1750744,63,
HUB,H5919788,64,
HUB,H2427142,65,
HUB,H5185958,66,
HUB,H8043403,67,
HUB,H6790398,68,
HUB,H6629406,69,
HUB,H4702031,70,
HUB,H6535383,71,
HUB,H4151705,72,
HUB,H0716389,73,
HUB,H1312149,74,
HUB,H5437948,75,
HUB,H6338704,76,
HUB,H4271883,77,
HUB,H1840721,78,
HUB,H3446486,79,
HUB,H7577370,80,
HUB,H6791902,81,
HUB,H7551926,82,
HUB,H0220528,83,
HUB,H4696527,84,
HUB,H7739990,85,
HUB,H2986472,86,
HUB,H0162719,87,
HUB,H4061033,88,
HUB,H2368495,89,
HUB,H5818721,90,
HUB,H9308618,91,
HUB,H5717942,92,
HUB,H1712534,93,
HUB,H4446355,94,
HUB,H6452165,95,
HUB,H0848711,96,
HUB,H1585946,97,
HUB,H9172095,98,
HUB,H4787631,99,
HUB,H0282045,100,
HUB,H5901387,101,
HUB,H4097453,102,
HUB,H4602929,103,
HUB,H2485013,104,
HUB,H5899494,105,
HUB,H0870535,106,
HUB,H9280986,107,
HUB,H9173572,108,
HUB,H2282458,109,
HUB,H9727016,110,
HUB,H2437267,111,
HUB,H2636347,112,
HUB,H5338159,113,
HUB,H0329666,114,
HUB,H0388179,115,
HUB,H3819681,116,
HUB,H1110350,117,
HUB,H8613335,118,
HUB,H9099806,119,
HUB,H2630270,120,
HUB,H2403659,121,
HUB,H5874460,122,
HUB,H8035772,123,
HUB,H4036078,124,
HUB,H0300605,125,
HUB,H0234957,126,
HUB,H5367675,127,
HUB,H1151584,128,
HUB,H4490752,129,
HUB,H0229435,130,
HUB,H8026674,131,
HUB,H1353248,132,
HUB,H7954029,133,
HUB,H8512577,134,
HUB,H1666822,135,
HUB,H6746355,136,
HUB,H9231170,137,
HUB,H7695808,138,
HUB,H8355873,139,
HUB,H6006827,140,
HUB,H1639568,141,
HUB,H7138383,142,
HUB,H5330692,143,
HUB,H3682755,144,
HUB,H0995683,145,
HUB,H0496703,146,
HUB,H0945802,147,
HUB,H7429320,148,
HUB,H5088095,149,
HUB,H3310538,150,
HUB,H4018544,151,
HUB,H8027147,152,
HUB,H3045176,153,
HUB,H6128963,154,
HUB,H3527785,155,
HUB,H5905765,156,
HUB,H6646418,157,
HUB,H4643573,158,
HUB,H2466944,159,
WAVE,W0,,0
WAVE,W1,,1
WAVE,W2,,2
WAVE,W3,,3
WAVE,W4,,4
