ledger_id,hub_code,wave_code,event_type,message
LEDGER_0001499,H4151705,W1,NOTE,heartbeat
LEDGER_0000933,H0282045,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0001050,H3819681,W3,EXCHANGE_ONLY,manual_review
LEDGER_0000067,H0543892,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0000009,H9906711,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0000072,H0543892,W4,EXCHANGE_ONLY,audit_trace
LEDGER_0001403,H3045176,W2,EXCHANGE_ONLY,manual_review
LEDGER_0001196,H8026674,W0,EXCHANGE_ONLY,manual_review
LEDGER_0000415,H4927877,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000424,H6305070,W1,EXCHANGE_ONLY,manual_review
LEDGER_0001312,H5330692,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0000311,H8048478,W0,EXCHANGE_ONLY,manual_review
LEDGER_0000843,H2368495,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000001,H9906711,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000725,H6338704,W3,EXCHANGE_ONLY,auto_flag
LEDGER_0001122,H0300605,W0,EXCHANGE_ONLY,manual_review
LEDGER_0000300,H0732131,W4,EXCHANGE_ONLY,manual_review
LEDGER_0000986,H9173572,W0,EXCHANGE_ONLY,auto_flag
LEDGER_0001014,H9727016,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0000380,H0831743,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000416,H4927877,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000940,H5901387,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0001015,H9727016,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0000728,H6338704,W4,EXCHANGE_ONLY,manual_review
LEDGER_0000669,H6535383,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000417,H4927877,W3,EXCHANGE_ONLY,manual_review
LEDGER_0000102,H3840479,W0,EXCHANGE_ONLY,auto_flag
LEDGER_0000599,H6357708,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000270,H8911502,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000005,H9906711,W1,EXCHANGE_ONLY,manual_review
LEDGER_0000892,H6452165,W2,EXCHANGE_ONLY,audit_trace
LEDGER_0000441,H0361636,W4,EXCHANGE_ONLY,manual_review
LEDGER_0001157,H1151584,W0,EXCHANGE_ONLY,auto_flag
LEDGER_0000449,H5593623,W3,EXCHANGE_ONLY,auto_flag
LEDGER_0000141,H8660481,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0001342,H0496703,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0000500,H6757504,W2,EXCHANGE_ONLY,audit_trace
LEDGER_0001154,H5367675,W3,EXCHANGE_ONLY,manual_review
LEDGER_0001258,H7695808,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000404,H0734616,W0,EXCHANGE_ONLY,manual_review
LEDGER_0000540,H8979590,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000310,H8048478,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000620,H5919788,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0000075,H2514780,W0,EXCHANGE_ONLY,manual_review
LEDGER_0000849,H9308618,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000566,H9309550,W3,EXCHANGE_ONLY,auto_flag
LEDGER_0001135,H0300605,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0000705,H1312149,W3,EXCHANGE_ONLY,manual_review
LEDGER_0001028,H2636347,W1,EXCHANGE_ONLY,auto_flag
