window_id,yard_id,location_id,stage_id,base_capacity,open_cost
win_00000,0,0,0,1,1
win_00001,0,0,1,1,1
win_00002,0,0,2,1,1
win_00003,0,0,3,1,1
win_00004,0,0,4,1,1
win_00005,0,1,0,1,1
win_00006,0,1,1,1,1
win_00007,0,1,3,1,1
win_00008,0,2,1,1,1
win_00009,0,2,3,1,1
win_00010,0,3,0,1,1
win_00011,0,3,4,1,1
win_00012,0,4,0,1,1
win_00013,0,4,1,1,1
win_00014,0,4,2,1,1
win_00015,0,4,3,1,1
win_00016,0,5,0,1,1
win_00017,0,5,1,1,1
win_00018,0,5,2,1,1
win_00019,0,5,3,1,1
win_00020,0,5,4,1,1
win_00021,0,6,1,1,1
win_00022,0,6,2,1,1
win_00023,0,7,0,1,1
win_00024,0,7,1,1,1
win_00025,0,7,3,1,1
win_00026,0,8,2,1,1
win_00027,0,9,1,1,1
win_00028,0,9,2,1,1
win_00029,0,9,3,1,1
win_00030,0,10,0,1,1
win_00031,0,10,3,1,1
win_00032,0,10,4,1,1
win_00033,0,11,1,1,1
win_00034,0,11,3,1,1
win_00035,0,11,4,1,1
win_00036,0,12,0,1,1
win_00037,0,12,3,1,1
win_00038,0,13,3,1,1
win_00039,0,14,0,1,1
win_00040,0,14,1,1,1
win_00041,0,14,3,1,1
win_00042,0,15,1,1,1
win_00043,0,15,3,1,1
win_00044,0,16,0,1,1
win_00045,0,16,1,1,1
win_00046,0,17,1,1,1
win_00047,0,17,4,1,1
win_00048,0,18,3,1,1
win_00049,0,19,0,1,1
win_00050,0,19,1,1,1
win_00051,0,19,2,1,1
win_00052,0,19,3,1,1
win_00053,0,20,1,1,1
win_00054,0,20,3,1,1
win_00055,0,20,4,1,1
win_00056,0,21,3,1,1
win_00057,0,21,4,1,1
win_00058,0,22,0,1,1
win_00059,0,22,1,1,1
win_00060,0,22,3,1,1
win_00061,0,23,0,1,1
win_00062,0,23,1,1,1
win_00063,0,23,3,1,1
win_00064,0,24,3,1,1
win_00065,0,24,4,1,1
win_00066,0,25,0,1,1
win_00067,0,25,1,1,1
win_00068,0,25,2,1,1
win_00069,0,26,0,1,1
win_00070,0,26,1,1,1
win_00071,0,26,2,1,1
win_00072,0,27,1,1,1
win_00073,0,27,2,1,1
win_00074,0,27,3,1,1
win_00075,0,27,4,1,1
win_00076,0,28,1,1,1
win_00077,0,28,4,1,1
win_00078,0,29,0,1,1
win_00079,0,29,2,1,1
win_00080,0,29,3,1,1
win_00081,0,30,1,1,1
win_00082,0,30,2,1,1
win_00083,0,31,0,1,1
win_00084,0,31,1,1,1
win_00085,0,32,1,1,1
win_00086,0,32,2,1,1
win_00087,0,32,3,1,1
win_00088,0,32,4,1,1
win_00089,0,33,0,1,1
win_00090,0,33,4,1,1
win_00091,0,35,0,1,1
win_00092,0,35,2,1,1
win_00093,0,35,3,1,1
win_00094,0,36,1,1,1
win_00095,0,36,2,1,1
win_00096,0,36,4,1,1
win_00097,0,38,0,1,1
win_00098,0,38,1,1,1
win_00099,0,38,4,1,1
win_00100,0,39,0,1,1
win_00101,0,39,1,1,1
win_00102,0,40,0,1,1
win_00103,0,40,1,1,1
win_00104,0,40,2,1,1
win_00105,0,40,3,1,1
win_00106,0,41,0,1,1
win_00107,0,41,3,1,1
win_00108,0,41,4,1,1
win_00109,0,42,0,1,1
win_00110,0,42,1,1,1
win_00111,0,42,2,1,1
win_00112,0,42,4,1,1
win_00113,0,44,0,1,1
win_00114,0,44,1,1,1
win_00115,0,45,3,1,1
win_00116,0,46,1,1,1
win_00117,0,46,4,1,1
win_00118,0,47,0,1,1
win_00119,0,47,1,1,1
win_00120,0,47,2,1,1
win_00121,0,48,0,1,1
win_00122,0,48,2,1,1
win_00123,0,48,4,1,1
win_00124,0,49,0,1,1
win_00125,0,49,1,1,1
win_00126,0,49,2,1,1
win_00127,0,49,4,1,1
win_00128,0,50,1,1,1
win_00129,0,50,2,1,1
win_00130,0,51,0,1,1
win_00131,0,51,4,1,1
win_00132,0,52,2,1,1
win_00133,0,52,3,1,1
win_00134,0,52,4,1,1
win_00135,0,53,0,1,1
win_00136,0,53,1,1,1
win_00137,0,54,3,1,1
win_00138,0,55,1,1,1
win_00139,0,56,1,1,1
win_00140,0,57,2,1,1
win_00141,0,57,3,1,1
win_00142,0,58,3,1,1
win_00143,0,58,4,1,1
win_00144,0,59,0,1,1
win_00145,0,59,1,1,1
win_00146,0,60,2,1,1
win_00147,0,61,2,1,1
win_00148,0,61,3,1,1
win_00149,0,62,4,1,1
win_00150,0,63,0,1,1
win_00151,0,63,1,1,1
win_00152,0,63,3,1,1
win_00153,0,63,4,1,1
win_00154,0,64,1,1,1
win_00155,0,64,2,1,1
win_00156,0,65,3,1,1
win_00157,0,66,3,1,1
win_00158,0,66,4,1,1
win_00159,0,67,1,1,1
win_00160,0,67,2,1,1
win_00161,0,67,3,1,1
win_00162,0,68,0,1,1
win_00163,0,68,3,1,1
win_00164,0,68,4,1,1
win_00165,0,69,1,1,1
win_00166,0,69,3,1,1
win_00167,0,69,4,1,1
win_00168,0,70,0,1,1
win_00169,0,70,1,1,1
win_00170,0,72,0,1,1
win_00171,0,72,2,1,1
win_00172,0,72,3,1,1
win_00173,0,72,4,1,1
win_00174,0,73,0,1,1
win_00175,0,73,2,1,1
win_00176,0,75,2,1,1
win_00177,0,76,1,1,1
win_00178,0,76,2,1,1
win_00179,0,77,0,1,1
win_00180,0,77,2,1,1
win_00181,0,77,3,1,1
win_00182,0,78,0,1,1
win_00183,0,78,3,1,1
win_00184,0,79,1,1,1
win_00185,0,81,0,1,1
win_00186,0,81,2,1,1
win_00187,0,81,3,1,1
win_00188,0,81,4,1,1
win_00189,0,82,2,1,1
win_00190,0,82,4,1,1
win_00191,0,83,2,1,1
win_00192,0,83,3,1,1
win_00193,0,84,0,1,1
win_00194,0,84,1,1,1
win_00195,0,84,2,1,1
win_00196,0,84,3,1,1
win_00197,0,85,1,1,1
win_00198,0,85,2,1,1
win_00199,0,87,0,1,1
win_00200,0,87,2,1,1
win_00201,0,87,3,1,1
win_00202,0,88,0,1,1
win_00203,0,88,3,1,1
win_00204,0,89,0,1,1
win_00205,0,89,1,1,1
win_00206,0,89,3,1,1
win_00207,0,89,4,1,1
win_00208,0,90,1,1,1
win_00209,0,90,4,1,1
win_00210,0,91,0,1,1
win_00211,0,91,1,1,1
win_00212,0,91,2,1,1
win_00213,0,91,4,1,1
win_00214,0,92,2,1,1
win_00215,0,92,4,1,1
win_00216,0,93,2,1,1
win_00217,0,93,3,1,1
win_00218,0,94,0,1,1
win_00219,0,94,4,1,1
win_00220,0,95,2,1,1
win_00221,0,95,3,1,1
win_00222,0,96,0,1,1
win_00223,0,96,1,1,1
win_00224,0,96,2,1,1
win_00225,0,97,0,1,1
win_00226,0,97,4,1,1
win_00227,0,98,2,1,1
win_00228,0,98,3,1,1
win_00229,0,99,4,1,1
win_00230,0,100,0,1,1
win_00231,0,100,2,1,1
win_00232,0,100,3,1,1
win_00233,0,100,4,1,1
win_00234,0,101,1,1,1
win_00235,0,101,2,1,1
win_00236,0,102,0,1,1
win_00237,0,102,4,1,1
win_00238,0,103,1,1,1
win_00239,0,103,3,1,1
win_00240,0,103,4,1,1
win_00241,0,104,3,1,1
win_00242,0,105,2,1,1
win_00243,0,106,0,1,1
win_00244,0,106,1,1,1
win_00245,0,106,2,1,1
win_00246,0,106,4,1,1
win_00247,0,107,4,1,1
win_00248,0,108,3,1,1
win_00249,0,109,1,1,1
win_00250,0,109,2,1,1
win_00251,0,109,3,1,1
win_00252,0,109,4,1,1
win_00253,0,110,0,1,1
win_00254,0,110,1,1,1
win_00255,0,110,3,1,1
win_00256,0,110,4,1,1
win_00257,0,111,0,1,1
win_00258,0,111,3,1,1
win_00259,0,112,1,1,1
win_00260,0,112,2,1,1
win_00261,0,112,3,1,1
win_00262,0,112,4,1,1
win_00263,0,113,0,1,1
win_00264,0,113,2,1,1
win_00265,0,114,0,1,1
win_00266,0,114,2,1,1
win_00267,0,114,3,1,1
win_00268,0,114,4,1,1
win_00269,0,115,0,1,1
win_00270,0,115,1,1,1
win_00271,0,115,2,1,1
win_00272,0,115,3,1,1
win_00273,0,116,0,1,1
win_00274,0,116,3,1,1
win_00275,0,117,0,1,1
win_00276,0,117,3,1,1
win_00277,0,117,4,1,1
win_00278,0,118,1,1,1
win_00279,0,118,3,1,1
win_00280,0,119,2,1,1
win_00281,0,119,3,1,1
win_00282,0,120,1,1,1
win_00283,0,120,4,1,1
win_00284,0,121,1,1,1
win_00285,0,121,4,1,1
win_00286,0,122,0,1,1
win_00287,0,122,1,1,1
win_00288,0,122,4,1,1
win_00289,0,123,1,1,1
win_00290,0,123,2,1,1
win_00291,0,123,3,1,1
win_00292,0,123,4,1,1
win_00293,0,124,2,1,1
win_00294,0,124,3,1,1
win_00295,0,124,4,1,1
win_00296,0,125,0,1,1
win_00297,0,125,1,1,1
win_00298,0,125,3,1,1
win_00299,0,125,4,1,1
win_00300,0,126,0,1,1
win_00301,0,126,1,1,1
win_00302,0,126,4,1,1
win_00303,0,127,1,1,1
win_00304,0,127,2,1,1
win_00305,0,127,3,1,1
win_00306,0,128,0,1,1
win_00307,0,128,1,1,1
win_00308,0,128,3,1,1
win_00309,0,128,4,1,1
win_00310,0,129,0,1,1
win_00311,0,129,3,1,1
win_00312,0,129,4,1,1
win_00313,0,130,0,1,1
win_00314,0,130,4,1,1
win_00315,0,131,0,1,1
win_00316,0,131,1,1,1
win_00317,0,131,4,1,1
win_00318,0,132,1,1,1
win_00319,0,132,2,1,1
win_00320,0,132,3,1,1
win_00321,0,132,4,1,1
win_00322,0,133,0,1,1
win_00323,0,133,2,1,1
win_00324,0,133,4,1,1
win_00325,0,134,1,1,1
win_00326,0,134,2,1,1
win_00327,0,134,3,1,1
win_00328,0,134,4,1,1
win_00329,0,135,0,1,1
win_00330,0,135,2,1,1
win_00331,0,136,0,1,1
win_00332,0,136,1,1,1
win_00333,0,136,2,1,1
win_00334,0,137,0,1,1
win_00335,0,137,2,1,1
win_00336,0,137,3,1,1
win_00337,0,137,4,1,1
win_00338,0,138,0,1,1
win_00339,0,138,1,1,1
win_00340,0,138,2,1,1
win_00341,0,139,0,1,1
win_00342,0,139,3,1,1
win_00343,0,140,0,1,1
win_00344,0,140,1,1,1
win_00345,0,140,2,1,1
win_00346,0,141,0,1,1
win_00347,0,141,2,1,1
win_00348,0,141,4,1,1
win_00349,0,142,3,1,1
win_00350,0,142,4,1,1
win_00351,0,143,0,1,1
win_00352,0,143,2,1,1
win_00353,0,143,4,1,1
win_00354,0,144,0,1,1
win_00355,0,144,1,1,1
win_00356,0,145,1,1,1
win_00357,0,145,4,1,1
win_00358,0,146,0,1,1
win_00359,0,146,1,1,1
win_00360,0,146,2,1,1
win_00361,0,146,4,1,1
win_00362,0,147,1,1,1
win_00363,0,147,2,1,1
win_00364,0,147,3,1,1
win_00365,0,148,0,1,1
win_00366,0,148,3,1,1
win_00367,0,148,4,1,1
win_00368,0,149,0,1,1
win_00369,0,149,1,1,1
win_00370,0,149,4,1,1
win_00371,0,150,1,1,1
win_00372,0,150,3,1,1
win_00373,0,150,4,1,1
win_00374,0,151,0,1,1
win_00375,0,151,4,1,1
win_00376,0,152,0,1,1
win_00377,0,152,1,1,1
win_00378,0,153,1,1,1
win_00379,0,154,2,1,1
win_00380,0,154,4,1,1
win_00381,0,155,1,1,1
win_00382,0,155,3,1,1
win_00383,0,155,4,1,1
win_00384,0,156,0,1,1
win_00385,0,156,1,1,1
win_00386,0,156,2,1,1
win_00387,0,156,3,1,1
win_00388,0,156,4,1,1
win_00389,0,157,1,1,1
win_00390,0,157,4,1,1
win_00391,0,0,0,1,1
win_00392,0,0,1,1,1
win_00393,0,0,2,1,1
win_00394,0,0,3,1,1
win_00395,0,0,4,1,1
win_00396,0,1,0,1,1
win_00397,0,1,1,1,1
win_00398,0,1,3,1,1
win_00399,0,2,1,1,1
win_00400,0,2,3,1,1
win_00401,0,3,0,1,1
win_00402,0,3,4,1,1
win_00403,0,4,0,1,1
win_00404,0,4,1,1,1
win_00405,0,4,2,1,1
win_00406,0,4,3,1,1
win_00407,0,5,0,1,1
win_00408,0,5,1,1,1
win_00409,0,5,2,1,1
win_00410,0,5,3,1,1
win_00411,0,5,4,1,1
win_00412,0,6,1,1,1
win_00413,0,6,2,1,1
win_00414,0,7,0,1,1
win_00415,0,7,1,1,1
win_00416,0,7,3,1,1
win_00417,0,8,2,1,1
win_00418,0,9,1,1,1
win_00419,0,9,2,1,1
win_00420,0,9,3,1,1
win_00421,0,10,0,1,1
win_00422,0,10,3,1,1
win_00423,0,10,4,1,1
win_00424,0,11,1,1,1
win_00425,0,11,3,1,1
win_00426,0,11,4,1,1
win_00427,0,12,0,1,1
win_00428,0,12,3,1,1
win_00429,0,13,3,1,1
win_00430,0,14,0,1,1
win_00431,0,14,1,1,1
win_00432,0,14,3,1,1
win_00433,0,15,1,1,1
win_00434,0,15,3,1,1
win_00435,0,16,0,1,1
win_00436,0,16,1,1,1
win_00437,0,17,1,1,1
win_00438,0,17,4,1,1
win_00439,0,18,3,1,1
win_00440,0,19,0,1,1
win_00441,0,19,1,1,1
win_00442,0,19,2,1,1
win_00443,0,19,3,1,1
win_00444,0,20,1,1,1
win_00445,0,20,3,1,1
win_00446,0,20,4,1,1
win_00447,0,21,3,1,1
win_00448,0,21,4,1,1
win_00449,0,22,0,1,1
win_00450,0,22,1,1,1
win_00451,0,22,3,1,1
win_00452,0,23,0,1,1
win_00453,0,23,1,1,1
win_00454,0,23,3,1,1
win_00455,0,24,3,1,1
win_00456,0,24,4,1,1
win_00457,0,25,0,1,1
win_00458,0,25,1,1,1
win_00459,0,25,2,1,1
win_00460,0,26,0,1,1
win_00461,0,26,1,1,1
win_00462,0,26,2,1,1
win_00463,0,27,1,1,1
win_00464,0,27,2,1,1
win_00465,0,27,3,1,1
win_00466,0,27,4,1,1
win_00467,0,28,1,1,1
win_00468,0,28,4,1,1
win_00469,0,29,0,1,1
win_00470,0,29,2,1,1
win_00471,0,29,3,1,1
win_00472,0,30,1,1,1
win_00473,0,30,2,1,1
win_00474,0,31,0,1,1
win_00475,0,31,1,1,1
win_00476,0,32,1,1,1
win_00477,0,32,2,1,1
win_00478,0,32,3,1,1
win_00479,0,32,4,1,1
win_00480,0,33,0,1,1
win_00481,0,33,4,1,1
win_00482,0,35,0,1,1
win_00483,0,35,2,1,1
win_00484,0,35,3,1,1
win_00485,0,36,1,1,1
win_00486,0,36,2,1,1
win_00487,0,36,4,1,1
win_00488,0,38,0,1,1
win_00489,0,38,1,1,1
win_00490,0,38,4,1,1
win_00491,0,39,0,1,1
win_00492,0,39,1,1,1
win_00493,0,40,0,1,1
win_00494,0,40,1,1,1
win_00495,0,40,2,1,1
win_00496,0,40,3,1,1
win_00497,0,41,0,1,1
win_00498,0,41,3,1,1
win_00499,0,41,4,1,1
win_00500,0,42,0,1,1
win_00501,0,42,1,1,1
win_00502,0,42,2,1,1
win_00503,0,42,4,1,1
win_00504,0,44,0,1,1
win_00505,0,44,1,1,1
win_00506,0,45,3,1,1
win_00507,0,46,1,1,1
win_00508,0,46,4,1,1
win_00509,0,47,0,1,1
win_00510,0,47,1,1,1
win_00511,0,47,2,1,1
win_00512,0,48,0,1,1
win_00513,0,48,2,1,1
win_00514,0,48,4,1,1
win_00515,0,49,0,1,1
win_00516,0,49,1,1,1
win_00517,0,49,2,1,1
win_00518,0,49,4,1,1
win_00519,0,50,1,1,1
win_00520,0,50,2,1,1
win_00521,0,51,0,1,1
win_00522,0,51,4,1,1
win_00523,0,52,2,1,1
win_00524,0,52,3,1,1
win_00525,0,52,4,1,1
