option_id,reported_cost,travel_minutes,carbon_kg,sla_risk_band
opt_02402,84.05,106,24.83,HIGH
opt_00651,36.78,102,2.86,LOW
opt_02572,117.32,52,24.33,MED
opt_03951,120.92,119,7.73,HIGH
opt_03453,193.24,29,22.48,MED
opt_02241,199.33,41,14.34,LOW
opt_03707,140.8,72,22.79,MED
opt_04855,39.69,27,4.86,HIGH
opt_03909,54.85,106,16.76,LOW
opt_04734,182.78,108,24.63,MED
opt_03164,34.87,102,3.38,HIGH
opt_05011,102.76,91,12.82,HIGH
opt_01223,56.47,75,1.86,HIGH
opt_02423,30.57,2,22.48,HIGH
opt_03322,119.29,74,18.41,LOW
opt_00999,132.86,25,4.93,LOW
opt_00024,50.14,15,17.89,HIGH
opt_00787,122.26,45,1.19,LOW
opt_05002,172.85,22,22.01,LOW
opt_00735,225.79,68,2.69,MED
opt_02925,178.82,79,21.6,MED
opt_03198,0.48,42,10.35,LOW
opt_04097,20.65,51,0.51,LOW
opt_05015,72.8,36,24.96,MED
opt_00752,221.29,41,14.86,LOW
opt_00185,102.84,111,8.94,HIGH
opt_02707,8.54,46,22.4,LOW
opt_01398,100.68,28,23.87,LOW
opt_00370,199.33,65,10.39,LOW
opt_03931,145.43,76,21.92,LOW
opt_00541,124.29,117,14.0,MED
opt_03661,31.42,23,13.62,MED
opt_02963,94.35,87,6.99,LOW
opt_03082,134.73,14,11.17,MED
opt_04884,0.63,2,23.77,MED
opt_02586,158.24,69,4.37,MED
opt_00190,240.18,87,22.5,HIGH
opt_04278,23.65,96,6.03,MED
opt_04412,66.43,72,20.73,HIGH
opt_02447,59.92,35,14.03,LOW
opt_03050,35.84,68,17.01,LOW
opt_02928,206.21,65,14.66,LOW
opt_03221,156.06,53,2.86,HIGH
opt_00085,47.05,20,22.79,HIGH
opt_04494,220.42,64,6.2,HIGH
opt_03209,53.51,17,7.6,MED
opt_03670,67.76,42,12.58,LOW
opt_04732,214.92,116,11.98,LOW
opt_01334,109.25,119,3.27,HIGH
opt_04950,35.57,11,1.37,HIGH
opt_04340,129.75,5,9.49,LOW
opt_02291,201.17,48,19.12,HIGH
opt_01711,189.13,13,16.01,MED
opt_03801,106.73,86,14.7,HIGH
opt_01992,236.97,109,12.81,MED
opt_01734,247.46,8,24.39,MED
opt_02735,175.89,89,13.0,MED
opt_03377,222.19,28,17.32,MED
opt_04876,144.8,97,1.93,MED
opt_02827,6.86,70,24.63,LOW
opt_03085,165.87,88,0.59,MED
opt_02355,9.52,25,22.48,LOW
opt_01214,247.64,14,8.11,MED
opt_03706,58.43,107,16.17,HIGH
opt_03841,124.94,87,23.01,LOW
opt_02237,98.08,33,0.65,LOW
opt_00138,220.78,73,17.21,LOW
opt_02937,114.53,81,13.63,LOW
opt_00754,126.9,29,6.96,LOW
opt_01371,192.81,31,22.85,HIGH
opt_03758,103.56,60,16.27,HIGH
opt_03334,224.02,91,9.52,LOW
opt_04849,115.1,98,15.19,LOW
opt_01390,43.3,82,6.36,HIGH
opt_04159,208.74,16,4.23,LOW
opt_02630,97.6,14,6.16,LOW
opt_04130,43.63,91,20.07,LOW
opt_03970,143.33,11,18.17,HIGH
opt_00459,176.37,20,13.37,HIGH
opt_04327,172.6,75,3.37,LOW
opt_01592,80.92,27,19.5,HIGH
opt_04312,125.8,33,7.15,MED
opt_04122,203.55,29,2.59,MED
opt_00068,230.0,39,22.33,HIGH
opt_02503,120.55,99,20.28,MED
opt_00544,2.69,14,21.5,MED
opt_03613,134.1,55,11.87,LOW
opt_02351,47.03,9,3.64,HIGH
opt_00492,84.76,95,20.74,MED
opt_01040,202.5,27,19.11,LOW
opt_01457,58.29,27,1.95,HIGH
opt_02238,89.71,65,17.82,LOW
opt_00903,183.76,92,22.78,HIGH
opt_02747,114.38,17,6.2,MED
opt_01093,53.59,74,19.7,LOW
opt_01519,203.07,93,2.72,MED
opt_04899,180.38,5,10.89,LOW
opt_00096,43.89,58,6.05,LOW
opt_04180,188.87,29,8.24,HIGH
opt_03977,99.2,52,23.52,MED
opt_02147,69.36,57,12.86,LOW
opt_03869,45.73,98,17.61,LOW
opt_01808,110.25,12,2.16,HIGH
opt_02580,197.32,1,10.16,LOW
opt_00309,205.5,58,18.98,MED
opt_01618,65.17,91,11.03,LOW
opt_04735,85.44,58,2.01,HIGH
opt_00688,96.83,64,4.33,LOW
opt_00532,248.62,7,6.98,HIGH
opt_02992,160.83,84,14.05,MED
opt_02668,50.28,3,9.72,HIGH
opt_00478,129.6,70,1.53,LOW
opt_04146,226.27,91,17.03,LOW
opt_02767,21.25,116,15.51,MED
opt_04226,69.27,69,4.83,MED
opt_02438,120.72,13,1.67,LOW
opt_02097,6.89,34,9.52,LOW
opt_00981,160.59,35,1.38,LOW
opt_03478,72.94,105,22.29,MED
opt_03640,118.82,56,21.42,LOW
opt_01964,76.57,84,7.36,HIGH
opt_02374,122.23,36,23.07,HIGH
opt_01366,182.8,114,24.96,MED
opt_01996,99.08,22,24.05,MED
opt_00631,107.64,93,16.11,MED
opt_04710,134.46,100,18.64,HIGH
opt_01218,97.75,77,1.12,LOW
opt_02642,151.21,63,15.51,HIGH
opt_01936,78.64,101,11.87,LOW
opt_00781,225.43,104,14.2,LOW
opt_00998,110.58,68,22.68,HIGH
opt_01128,187.59,28,7.25,LOW
opt_03038,192.29,73,2.13,LOW
opt_01395,199.66,2,4.28,MED
opt_04906,202.51,49,23.95,MED
opt_00381,85.64,64,18.25,LOW
opt_05001,93.49,119,5.39,MED
opt_02582,106.52,90,19.15,MED
opt_02710,124.45,73,3.97,HIGH
opt_04347,177.47,99,8.97,MED
opt_02686,85.28,5,5.93,MED
opt_03987,126.11,103,14.88,HIGH
opt_03158,3.3,16,10.86,MED
opt_01361,155.87,103,14.93,LOW
opt_01256,105.67,49,24.7,HIGH
opt_04173,6.31,92,12.65,HIGH
opt_02981,123.64,94,5.06,MED
opt_01157,216.97,9,6.77,MED
opt_04635,84.91,38,22.12,MED
opt_01102,235.83,76,16.62,HIGH
opt_01474,246.59,45,17.16,HIGH
opt_00033,159.83,18,22.78,MED
opt_02901,177.83,51,23.13,MED
opt_04368,125.54,37,14.55,HIGH
opt_04172,117.88,116,3.63,LOW
opt_02679,153.95,11,19.65,MED
opt_00362,158.94,35,18.23,MED
opt_04789,93.47,25,22.52,LOW
opt_00470,239.82,54,7.46,MED
opt_00702,29.95,93,17.78,HIGH
opt_00995,227.47,88,0.82,MED
opt_04541,31.43,102,21.35,LOW
opt_01327,126.07,32,19.1,LOW
opt_04613,78.36,78,6.13,LOW
opt_04335,52.67,83,20.82,HIGH
opt_01951,13.57,29,22.95,LOW
opt_04912,244.57,82,17.17,MED
opt_01078,176.25,57,2.39,HIGH
opt_04505,5.72,84,23.07,MED
opt_02972,230.3,31,8.6,MED
opt_02994,174.76,46,19.89,HIGH
opt_02000,180.63,114,10.68,MED
opt_02422,46.18,66,7.06,LOW
opt_02597,48.43,66,21.01,LOW
opt_04565,70.11,35,5.81,HIGH
opt_02902,170.38,20,16.4,LOW
