option_id,pool_id,source_system,confidence,note
opt_02402,pool_00,SYS_C,0.927,
opt_00651,pool_01,SYS_A,0.819,
opt_02572,pool_02,SYS_C,0.688,
opt_03951,pool_03,SYS_B,0.824,
opt_03453,pool_04,SYS_B,0.957,
opt_02241,pool_00,SYS_B,0.66,
opt_03707,pool_01,SYS_A,0.853,
opt_04855,pool_02,SYS_A,0.753,
opt_03909,pool_03,SYS_C,0.675,
opt_04734,pool_04,SYS_B,0.714,
opt_03164,pool_00,SYS_C,0.625,
opt_05011,pool_01,SYS_C,0.667,
opt_01223,pool_02,SYS_B,0.892,
opt_02423,pool_03,SYS_B,0.732,
opt_03322,pool_04,SYS_B,0.809,
opt_00999,pool_00,SYS_A,0.801,
opt_00024,pool_01,SYS_B,0.695,
opt_00787,pool_02,SYS_A,1.0,
opt_05002,pool_03,SYS_B,0.65,
opt_00735,pool_04,SYS_B,0.906,
opt_02925,pool_00,SYS_A,0.828,
opt_03198,pool_01,SYS_B,0.961,
opt_04097,pool_02,SYS_B,0.614,
opt_05015,pool_03,SYS_B,0.741,
opt_00752,pool_04,SYS_A,0.74,
opt_00185,pool_00,SYS_C,0.84,
opt_02707,pool_01,SYS_A,0.886,
opt_01398,pool_02,SYS_A,0.754,
opt_00370,pool_03,SYS_C,0.807,
opt_03931,pool_04,SYS_A,0.68,
opt_00541,pool_00,SYS_C,0.891,
opt_03661,pool_01,SYS_C,0.838,
opt_02963,pool_02,SYS_C,0.723,
opt_03082,pool_03,SYS_C,0.72,
opt_04884,pool_04,SYS_B,0.767,
opt_02586,pool_00,SYS_A,0.763,
opt_00190,pool_01,SYS_C,0.72,
opt_04278,pool_02,SYS_C,0.748,
opt_04412,pool_03,SYS_B,0.816,
opt_02447,pool_04,SYS_C,0.81,
opt_03050,pool_00,SYS_C,0.707,
opt_02928,pool_01,SYS_C,0.923,
opt_03221,pool_02,SYS_B,0.626,
opt_00085,pool_03,SYS_C,0.919,
opt_04494,pool_04,SYS_C,0.687,
opt_03209,pool_00,SYS_C,0.834,
opt_03670,pool_01,SYS_A,0.971,
opt_04732,pool_24,SYS_A,0.241,possible_misclassification
opt_01334,pool_03,SYS_B,0.875,
opt_04950,pool_04,SYS_A,0.874,
opt_04340,pool_00,SYS_A,0.91,
opt_02291,pool_01,SYS_A,0.985,
opt_01711,pool_12,SYS_C,0.37,possible_misclassification
opt_03801,pool_03,SYS_B,0.88,
opt_01992,pool_04,SYS_B,0.682,
opt_01734,pool_00,SYS_B,0.935,
opt_02735,pool_01,SYS_C,0.635,
opt_03377,pool_02,SYS_A,0.765,
opt_04876,pool_03,SYS_A,0.859,
opt_02827,pool_04,SYS_B,0.916,
opt_03085,pool_00,SYS_C,0.767,
opt_02355,pool_01,SYS_C,0.721,
opt_01214,pool_02,SYS_A,0.796,
opt_03706,pool_03,SYS_C,0.691,
opt_03841,pool_04,SYS_C,0.646,
opt_02237,pool_00,SYS_C,0.814,
opt_00138,pool_07,SYS_C,0.14,possible_misclassification
opt_02937,pool_02,SYS_A,0.934,
opt_00754,pool_03,SYS_C,0.611,
opt_01371,pool_04,SYS_B,0.67,
opt_03758,pool_00,SYS_A,0.896,
opt_03334,pool_01,SYS_A,0.868,
opt_04849,pool_02,SYS_A,0.707,
opt_01390,pool_03,SYS_A,0.887,
opt_04159,pool_04,SYS_B,0.688,
opt_02630,pool_00,SYS_B,0.662,
opt_04130,pool_01,SYS_C,0.751,
opt_03970,pool_02,SYS_C,0.609,
opt_00459,pool_03,SYS_C,0.63,
opt_04327,pool_04,SYS_A,0.749,
opt_01592,pool_00,SYS_C,0.879,
opt_04312,pool_01,SYS_C,0.956,
opt_04122,pool_02,SYS_A,0.951,
opt_00068,pool_03,SYS_C,0.786,
opt_02503,pool_04,SYS_B,0.755,
opt_00544,pool_00,SYS_A,0.941,
opt_03613,pool_01,SYS_A,0.678,
opt_02351,pool_02,SYS_B,0.782,
opt_00492,pool_03,SYS_A,0.988,
opt_01040,pool_04,SYS_C,0.841,
opt_01457,pool_00,SYS_A,0.718,
opt_02238,pool_01,SYS_A,0.728,
opt_00903,pool_02,SYS_C,0.973,
opt_02747,pool_03,SYS_C,0.885,
opt_01093,pool_04,SYS_C,0.972,
opt_01519,pool_00,SYS_C,0.64,
opt_04899,pool_01,SYS_A,0.959,
opt_00096,pool_02,SYS_C,0.63,
opt_04180,pool_03,SYS_B,0.782,
opt_03977,pool_04,SYS_A,0.782,
opt_02147,pool_00,SYS_A,0.852,
opt_03869,pool_01,SYS_B,0.974,
opt_01808,pool_02,SYS_C,0.969,
opt_02580,pool_03,SYS_A,0.947,
opt_00309,pool_04,SYS_A,0.682,
opt_01618,pool_00,SYS_B,0.952,
opt_04735,pool_01,SYS_C,0.687,
