option_id,unit_id,dest_location_id,wave_id
opt_00000,8,18,3
opt_00001,10,5,1
opt_00002,130,135,1
opt_00003,14,20,3
opt_00004,84,99,1
opt_00005,60,59,2
opt_00006,90,108,2
opt_00007,133,130,1
opt_00008,45,53,2
opt_00009,122,117,3
opt_00010,9,17,2
opt_00011,85,78,4
opt_00012,56,63,2
opt_00013,24,44,2
opt_00014,109,109,1
opt_00015,60,63,2
opt_00016,52,72,1
opt_00017,27,27,1
opt_00018,82,94,1
opt_00019,10,5,1
opt_00020,79,88,0
opt_00021,111,10,0
opt_00022,134,134,4
opt_00023,7,20,1
opt_00024,0,13,2
opt_00025,100,111,2
opt_00026,145,151,2
opt_00027,158,159,0
opt_00028,87,86,1
opt_00029,100,12,2
opt_00030,84,92,1
opt_00031,23,31,1
opt_00032,113,15,1
opt_00033,4,8,4
opt_00034,107,11,1
opt_00035,51,63,2
opt_00036,54,65,4
opt_00037,135,139,1
opt_00038,66,91,2
opt_00039,70,78,0
opt_00040,75,86,1
opt_00041,45,56,2
opt_00042,83,83,1
opt_00043,40,62,1
opt_00044,72,86,1
opt_00045,60,53,2
opt_00046,9,14,2
opt_00047,130,136,3
opt_00048,82,87,0
opt_00049,18,42,3
opt_00050,30,36,1
opt_00051,33,49,0
opt_00052,66,98,2
opt_00053,102,111,3
opt_00054,51,56,2
opt_00055,103,9,4
opt_00056,41,64,4
opt_00057,67,82,1
opt_00058,77,81,2
opt_00059,35,34,2
opt_00060,120,129,4
opt_00061,39,47,3
opt_00062,51,68,2
opt_00063,21,31,1
opt_00064,108,15,2
opt_00065,88,98,1
opt_00066,116,116,3
opt_00067,151,147,1
opt_00068,2,9,1
opt_00069,10,4,1
opt_00070,37,39,2
opt_00071,11,19,3
opt_00072,43,58,2
opt_00073,86,98,1
opt_00074,70,89,0
opt_00075,38,30,4
opt_00076,29,26,0
opt_00077,6,20,1
opt_00078,106,22,0
opt_00079,124,120,1
opt_00080,91,114,3
opt_00081,55,50,0
opt_00082,28,47,3
opt_00083,96,4,0
opt_00084,111,1,0
opt_00085,1,0,0
opt_00086,57,55,3
opt_00087,17,25,0
opt_00088,82,78,0
opt_00089,94,103,1
opt_00090,25,36,1
opt_00091,97,100,3
opt_00092,82,95,1
opt_00093,59,50,0
opt_00094,8,21,3
opt_00095,84,83,1
opt_00096,2,4,1
opt_00097,26,29,0
opt_00098,102,4,1
opt_00099,61,62,1
opt_00100,33,25,0
opt_00101,115,125,2
opt_00102,110,107,2
opt_00103,37,34,2
opt_00104,68,91,2
opt_00105,28,46,3
opt_00106,61,61,1
opt_00107,156,152,2
opt_00108,107,3,2
opt_00109,97,19,3
opt_00110,67,82,1
opt_00111,9,12,2
opt_00112,34,28,1
opt_00113,117,123,3
opt_00114,122,118,3
opt_00115,134,144,0
opt_00116,157,146,1
opt_00117,134,131,0
opt_00118,105,7,1
opt_00119,84,82,1
opt_00120,15,39,2
opt_00121,9,16,2
opt_00122,96,107,0
opt_00123,133,141,1
opt_00124,96,112,3
opt_00125,9,16,2
opt_00126,83,92,1
opt_00127,86,84,2
opt_00128,62,69,2
opt_00129,41,58,1
opt_00130,82,77,0
opt_00131,38,36,1
opt_00132,23,31,1
opt_00133,156,151,2
opt_00134,67,86,1
opt_00135,30,38,1
opt_00136,90,17,2
opt_00137,60,59,3
opt_00138,1,21,2
opt_00139,152,146,4
opt_00140,28,42,3
opt_00141,27,38,1
opt_00142,129,115,1
opt_00143,76,79,3
opt_00144,98,4,0
opt_00145,31,43,2
opt_00146,103,3,0
opt_00147,23,32,1
opt_00148,99,19,3
opt_00149,35,37,2
opt_00150,15,43,2
opt_00151,118,126,0
opt_00152,28,28,2
opt_00153,100,14,2
opt_00154,21,32,1
opt_00155,105,7,1
opt_00156,46,64,3
opt_00157,83,75,1
opt_00158,53,58,1
opt_00159,106,22,4
opt_00160,30,28,1
opt_00161,100,19,4
opt_00162,67,92,2
opt_00163,127,115,1
opt_00164,46,64,3
opt_00165,115,121,2
opt_00166,97,21,3
opt_00167,89,85,2
opt_00168,117,119,3
opt_00169,57,55,2
opt_00170,108,16,2
opt_00171,95,105,0
opt_00172,109,6,1
opt_00173,12,0,0
opt_00174,53,61,1
opt_00175,84,92,1
opt_00176,60,63,2
opt_00177,60,68,2
opt_00178,119,122,0
opt_00179,67,83,1
opt_00180,81,90,3
opt_00181,53,65,2
opt_00182,28,28,2
opt_00183,19,34,3
opt_00184,63,52,0
opt_00185,0,12,2
opt_00186,87,99,1
opt_00187,59,54,0
opt_00188,55,54,1
opt_00189,7,13,2
