step_id,window_id
step_00000,win_00000
step_00001,win_00001
step_00002,win_00002
step_00003,win_00003
step_00004,win_00004
step_00005,win_00005
step_00006,win_00006
step_00007,win_00007
step_00008,win_00008
step_00009,win_00009
step_00010,win_00010
step_00011,win_00011
step_00012,win_00012
step_00013,win_00013
step_00014,win_00014
step_00015,win_00015
step_00016,win_00016
step_00017,win_00017
step_00018,win_00018
step_00019,win_00019
step_00020,win_00020
step_00021,win_00021
step_00022,win_00022
step_00023,win_00023
step_00024,win_00024
step_00025,win_00025
step_00026,win_00026
step_00027,win_00027
step_00028,win_00028
step_00029,win_00029
step_00030,win_00030
step_00031,win_00031
step_00032,win_00032
step_00033,win_00033
step_00034,win_00034
step_00035,win_00035
step_00036,win_00036
step_00037,win_00037
step_00038,win_00038
step_00039,win_00039
step_00040,win_00040
step_00041,win_00041
step_00042,win_00042
step_00043,win_00043
step_00044,win_00044
step_00045,win_00045
step_00046,win_00046
step_00047,win_00047
step_00048,win_00048
step_00049,win_00049
step_00050,win_00050
step_00051,win_00051
step_00052,win_00052
step_00053,win_00053
step_00054,win_00054
step_00055,win_00055
step_00056,win_00056
step_00057,win_00057
step_00058,win_00058
step_00059,win_00059
step_00060,win_00060
step_00061,win_00061
step_00062,win_00062
step_00063,win_00063
step_00064,win_00064
step_00065,win_00065
step_00066,win_00066
step_00067,win_00067
step_00068,win_00068
step_00069,win_00069
step_00070,win_00070
step_00071,win_00071
step_00072,win_00072
step_00073,win_00073
step_00074,win_00074
step_00075,win_00075
step_00076,win_00076
step_00077,win_00077
step_00078,win_00078
step_00079,win_00079
step_00080,win_00080
step_00081,win_00081
step_00082,win_00082
step_00083,win_00083
step_00084,win_00084
step_00085,win_00085
step_00086,win_00086
step_00087,win_00087
step_00088,win_00088
step_00089,win_00089
step_00090,win_00090
step_00091,win_00091
step_00092,win_00092
step_00093,win_00093
step_00094,win_00094
step_00095,win_00095
step_00096,win_00096
step_00097,win_00097
step_00098,win_00098
step_00099,win_00099
step_00100,win_00100
step_00101,win_00101
step_00102,win_00102
step_00103,win_00103
step_00104,win_00104
step_00105,win_00105
step_00106,win_00106
step_00107,win_00107
step_00108,win_00108
step_00109,win_00109
step_00110,win_00110
step_00111,win_00111
step_00112,win_00112
step_00113,win_00113
step_00114,win_00114
step_00115,win_00115
step_00116,win_00116
step_00117,win_00117
step_00118,win_00118
step_00119,win_00119
step_00120,win_00120
step_00121,win_00121
step_00122,win_00122
step_00123,win_00123
step_00124,win_00124
step_00125,win_00125
step_00126,win_00126
step_00127,win_00127
step_00128,win_00128
step_00129,win_00129
step_00130,win_00130
step_00131,win_00131
step_00132,win_00132
step_00133,win_00133
step_00134,win_00134
step_00135,win_00135
step_00136,win_00136
step_00137,win_00137
step_00138,win_00138
step_00139,win_00139
step_00140,win_00140
step_00141,win_00141
step_00142,win_00142
step_00143,win_00143
step_00144,win_00144
step_00145,win_00145
step_00146,win_00146
step_00147,win_00147
step_00148,win_00148
step_00149,win_00149
step_00150,win_00150
step_00151,win_00151
step_00152,win_00152
step_00153,win_00153
step_00154,win_00154
step_00155,win_00155
step_00156,win_00156
step_00157,win_00157
step_00158,win_00158
step_00159,win_00159
step_00160,win_00160
step_00161,win_00161
step_00162,win_00162
step_00163,win_00163
step_00164,win_00164
step_00165,win_00165
step_00166,win_00166
step_00167,win_00167
step_00168,win_00168
step_00169,win_00169
step_00170,win_00170
step_00171,win_00171
step_00172,win_00172
step_00173,win_00173
step_00174,win_00174
step_00175,win_00175
step_00176,win_00176
step_00177,win_00177
step_00178,win_00178
step_00179,win_00179
step_00180,win_00180
step_00181,win_00181
step_00182,win_00182
step_00183,win_00183
step_00184,win_00184
step_00185,win_00185
step_00186,win_00186
step_00187,win_00187
step_00188,win_00188
step_00189,win_00189
step_00190,win_00190
step_00191,win_00191
step_00192,win_00192
step_00193,win_00193
step_00194,win_00194
step_00195,win_00195
step_00196,win_00196
step_00197,win_00197
step_00198,win_00198
step_00199,win_00199
step_00200,win_00200
step_00201,win_00201
step_00202,win_00202
step_00203,win_00203
step_00204,win_00204
step_00205,win_00205
step_00206,win_00206
step_00207,win_00207
step_00208,win_00208
step_00209,win_00209
step_00210,win_00210
step_00211,win_00211
step_00212,win_00212
step_00213,win_00213
