rule_id,location_id,wave_id,rule_kind
br_000_1,0,1,EXCHANGE_ONLY
br_000_2,0,2,EXCHANGE_ONLY
br_000_3,0,3,EXCHANGE_ONLY
br_000_5,0,5,EXCHANGE_ONLY
br_000_6,0,6,EXCHANGE_ONLY
br_001_1,1,1,EXCHANGE_ONLY
br_001_4,1,4,EXCHANGE_ONLY
br_002_0,2,0,EXCHANGE_ONLY
br_002_1,2,1,EXCHANGE_ONLY
br_002_2,2,2,EXCHANGE_ONLY
br_002_3,2,3,EXCHANGE_ONLY
br_002_4,2,4,EXCHANGE_ONLY
br_002_5,2,5,EXCHANGE_ONLY
br_003_5,3,5,EXCHANGE_ONLY
br_003_6,3,6,EXCHANGE_ONLY
br_004_0,4,0,EXCHANGE_ONLY
br_004_1,4,1,EXCHANGE_ONLY
br_004_2,4,2,EXCHANGE_ONLY
br_004_4,4,4,EXCHANGE_ONLY
br_005_0,5,0,EXCHANGE_ONLY
br_005_1,5,1,EXCHANGE_ONLY
br_005_3,5,3,EXCHANGE_ONLY
br_005_5,5,5,EXCHANGE_ONLY
br_005_6,5,6,EXCHANGE_ONLY
br_006_0,6,0,EXCHANGE_ONLY
br_006_3,6,3,EXCHANGE_ONLY
br_006_4,6,4,EXCHANGE_ONLY
br_006_5,6,5,EXCHANGE_ONLY
br_006_6,6,6,EXCHANGE_ONLY
br_007_0,7,0,EXCHANGE_ONLY
br_007_1,7,1,EXCHANGE_ONLY
br_007_2,7,2,EXCHANGE_ONLY
br_007_3,7,3,EXCHANGE_ONLY
br_007_5,7,5,EXCHANGE_ONLY
br_007_6,7,6,EXCHANGE_ONLY
br_008_0,8,0,EXCHANGE_ONLY
br_008_1,8,1,EXCHANGE_ONLY
br_008_2,8,2,EXCHANGE_ONLY
br_008_3,8,3,EXCHANGE_ONLY
br_008_5,8,5,EXCHANGE_ONLY
br_009_0,9,0,EXCHANGE_ONLY
br_009_3,9,3,EXCHANGE_ONLY
br_009_6,9,6,EXCHANGE_ONLY
br_010_0,10,0,EXCHANGE_ONLY
br_010_1,10,1,EXCHANGE_ONLY
br_010_2,10,2,EXCHANGE_ONLY
br_010_4,10,4,EXCHANGE_ONLY
br_010_5,10,5,EXCHANGE_ONLY
br_011_0,11,0,EXCHANGE_ONLY
br_011_1,11,1,EXCHANGE_ONLY
br_011_5,11,5,EXCHANGE_ONLY
br_011_6,11,6,EXCHANGE_ONLY
br_012_1,12,1,EXCHANGE_ONLY
br_012_2,12,2,EXCHANGE_ONLY
br_012_3,12,3,EXCHANGE_ONLY
br_012_4,12,4,EXCHANGE_ONLY
br_012_5,12,5,EXCHANGE_ONLY
br_012_6,12,6,EXCHANGE_ONLY
br_013_0,13,0,EXCHANGE_ONLY
br_013_1,13,1,EXCHANGE_ONLY
br_013_2,13,2,EXCHANGE_ONLY
br_013_4,13,4,EXCHANGE_ONLY
br_013_6,13,6,EXCHANGE_ONLY
br_014_3,14,3,EXCHANGE_ONLY
br_014_4,14,4,EXCHANGE_ONLY
br_014_5,14,5,EXCHANGE_ONLY
br_014_6,14,6,EXCHANGE_ONLY
br_015_0,15,0,EXCHANGE_ONLY
br_015_2,15,2,EXCHANGE_ONLY
br_016_0,16,0,EXCHANGE_ONLY
br_016_1,16,1,EXCHANGE_ONLY
br_016_3,16,3,EXCHANGE_ONLY
br_016_5,16,5,EXCHANGE_ONLY
br_017_1,17,1,EXCHANGE_ONLY
br_017_4,17,4,EXCHANGE_ONLY
br_017_6,17,6,EXCHANGE_ONLY
br_018_1,18,1,EXCHANGE_ONLY
br_018_2,18,2,EXCHANGE_ONLY
br_018_3,18,3,EXCHANGE_ONLY
br_018_5,18,5,EXCHANGE_ONLY
br_018_6,18,6,EXCHANGE_ONLY
br_019_1,19,1,EXCHANGE_ONLY
br_019_2,19,2,EXCHANGE_ONLY
br_019_4,19,4,EXCHANGE_ONLY
br_019_5,19,5,EXCHANGE_ONLY
br_020_2,20,2,EXCHANGE_ONLY
br_020_3,20,3,EXCHANGE_ONLY
br_020_4,20,4,EXCHANGE_ONLY
br_020_6,20,6,EXCHANGE_ONLY
br_021_0,21,0,EXCHANGE_ONLY
br_021_4,21,4,EXCHANGE_ONLY
br_021_5,21,5,EXCHANGE_ONLY
br_021_6,21,6,EXCHANGE_ONLY
br_022_1,22,1,EXCHANGE_ONLY
br_022_2,22,2,EXCHANGE_ONLY
br_022_4,22,4,EXCHANGE_ONLY
br_022_5,22,5,EXCHANGE_ONLY
br_022_6,22,6,EXCHANGE_ONLY
br_023_2,23,2,EXCHANGE_ONLY
br_023_5,23,5,EXCHANGE_ONLY
br_023_6,23,6,EXCHANGE_ONLY
br_024_1,24,1,EXCHANGE_ONLY
br_024_2,24,2,EXCHANGE_ONLY
br_024_4,24,4,EXCHANGE_ONLY
br_024_5,24,5,EXCHANGE_ONLY
br_024_6,24,6,EXCHANGE_ONLY
br_025_1,25,1,EXCHANGE_ONLY
br_025_5,25,5,EXCHANGE_ONLY
