ledger_id,hub_code,wave_code,event_type,message
LEDGER_0001828,H5621478,W3,EXCHANGE_ONLY,manual_review
LEDGER_0001542,H6390089,W2,EXCHANGE_ONLY,audit_trace
LEDGER_0004144,H9278343,W6,EXCHANGE_ONLY,audit_trace
LEDGER_0001528,H3970644,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0001205,H6991949,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0002751,H2890984,W6,EXCHANGE_ONLY,manual_review
LEDGER_0001919,H9849028,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000161,H8165666,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0003076,H2842584,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0001443,H1335409,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0000997,H5300801,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0003672,H0799684,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0003825,H5227056,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0003769,H0453540,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000574,H7483072,W2,EXCHANGE_ONLY,manual_review
LEDGER_0003824,H8580754,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0001534,H3970644,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0000217,H8256685,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0001989,H8216900,W2,EXCHANGE_ONLY,audit_trace
LEDGER_0000565,H2332047,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0000001,H5137517,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0000341,H1677958,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0003599,H8588819,W5,EXCHANGE_ONLY,manual_review
LEDGER_0003312,H8315787,W1,EXCHANGE_ONLY,manual_review
LEDGER_0002621,H7867297,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0004436,H3638702,W1,INFO,heartbeat
LEDGER_0003602,H8588819,W5,EXCHANGE_ONLY,manual_review
LEDGER_0004360,H3475967,W4,HEALTHCHECK,n/a
LEDGER_0000298,H3166714,W4,EXCHANGE_ONLY,manual_review
LEDGER_0003765,H9250360,W2,EXCHANGE_ONLY,manual_review
LEDGER_0000921,H1825153,W2,EXCHANGE_ONLY,audit_trace
LEDGER_0000111,H8769297,W6,EXCHANGE_ONLY,auto_flag
LEDGER_0001629,H8973697,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0001758,H3056831,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0000194,H6050098,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0002006,H9872751,W5,EXCHANGE_ONLY,manual_review
LEDGER_0000205,H6050098,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0003330,H7002950,W0,EXCHANGE_ONLY,auto_flag
LEDGER_0002971,H1181656,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0003337,H7002950,W4,EXCHANGE_ONLY,manual_review
LEDGER_0002215,H9560594,W6,EXCHANGE_ONLY,manual_review
LEDGER_0003846,H2120808,W3,EXCHANGE_ONLY,audit_trace
LEDGER_0001122,H2321952,W2,EXCHANGE_ONLY,manual_review
LEDGER_0002960,H6299223,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0000378,H0609006,W6,EXCHANGE_ONLY,audit_trace
LEDGER_0000121,H2530061,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0001502,H1195802,W6,EXCHANGE_ONLY,manual_review
LEDGER_0000547,H6632883,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0003480,H9233483,W4,EXCHANGE_ONLY,manual_review
LEDGER_0000874,H9933387,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000116,H2530061,W0,EXCHANGE_ONLY,manual_review
LEDGER_0001949,H8904705,W4,EXCHANGE_ONLY,audit_trace
LEDGER_0000797,H1612249,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0001717,H7587369,W5,EXCHANGE_ONLY,audit_trace
LEDGER_0001072,H0699947,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000123,H2530061,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000606,H3311153,W1,EXCHANGE_ONLY,manual_review
LEDGER_0001738,H0847956,W3,EXCHANGE_ONLY,auto_flag
LEDGER_0003550,H9168337,W3,EXCHANGE_ONLY,manual_review
LEDGER_0003466,H9233483,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0003121,H4299978,W6,EXCHANGE_ONLY,manual_review
LEDGER_0002426,H2051729,W1,EXCHANGE_ONLY,auto_flag
LEDGER_0000166,H8165666,W2,EXCHANGE_ONLY,manual_review
LEDGER_0003031,H8177698,W1,EXCHANGE_ONLY,audit_trace
LEDGER_0000953,H6924583,W4,EXCHANGE_ONLY,manual_review
LEDGER_0001880,H1003661,W2,EXCHANGE_ONLY,manual_review
LEDGER_0003646,H8925420,W5,EXCHANGE_ONLY,audit_trace
LEDGER_0004046,H8607476,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0004242,H0495109,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0002857,H6240202,W6,EXCHANGE_ONLY,auto_flag
LEDGER_0001505,H3475967,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0000876,H9933387,W5,EXCHANGE_ONLY,manual_review
LEDGER_0001436,H1335409,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0001694,H4755549,W1,EXCHANGE_ONLY,manual_review
LEDGER_0001544,H6390089,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000193,H6050098,W1,EXCHANGE_ONLY,manual_review
LEDGER_0003020,H7473134,W3,EXCHANGE_ONLY,auto_flag
LEDGER_0002205,H9560594,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0003717,H5643507,W0,EXCHANGE_ONLY,manual_review
LEDGER_0001661,H6671838,W3,EXCHANGE_ONLY,manual_review
LEDGER_0000450,H8471386,W5,EXCHANGE_ONLY,manual_review
LEDGER_0004355,H3421223,W3,HEALTHCHECK,n/a
LEDGER_0002550,H8112538,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0001512,H3475967,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0000107,H8769297,W5,EXCHANGE_ONLY,manual_review
LEDGER_0001993,H8216900,W5,EXCHANGE_ONLY,manual_review
LEDGER_0001168,H5018652,W0,EXCHANGE_ONLY,manual_review
LEDGER_0002009,H9872751,W6,EXCHANGE_ONLY,auto_flag
LEDGER_0001097,H0280899,W5,EXCHANGE_ONLY,audit_trace
LEDGER_0004207,H3241509,W6,EXCHANGE_ONLY,auto_flag
LEDGER_0002296,H3802195,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0004225,H2370202,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0000320,H7565829,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0002853,H6240202,W5,EXCHANGE_ONLY,manual_review
LEDGER_0000688,H4351458,W3,EXCHANGE_ONLY,manual_review
LEDGER_0000662,H0338101,W2,EXCHANGE_ONLY,manual_review
LEDGER_0001277,H6141913,W2,EXCHANGE_ONLY,audit_trace
LEDGER_0003280,H5211687,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0002540,H8112538,W0,EXCHANGE_ONLY,manual_review
LEDGER_0004401,H4931571,W5,HEALTHCHECK,heartbeat
LEDGER_0002147,H3421223,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0000713,H8796573,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0003072,H2842584,W1,EXCHANGE_ONLY,manual_review
LEDGER_0003137,H2108240,W5,EXCHANGE_ONLY,auto_flag
LEDGER_0000153,H0453467,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0004176,H4488024,W6,EXCHANGE_ONLY,audit_trace
LEDGER_0003188,H0636912,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0000835,H6871675,W5,EXCHANGE_ONLY,audit_trace
LEDGER_0001469,H9639417,W2,EXCHANGE_ONLY,auto_flag
LEDGER_0002186,H5978052,W2,EXCHANGE_ONLY,manual_review
LEDGER_0001475,H9639417,W6,EXCHANGE_ONLY,auto_flag
LEDGER_0002508,H1149426,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0004178,H4488024,W6,EXCHANGE_ONLY,audit_trace
LEDGER_0002304,H3802195,W4,EXCHANGE_ONLY,auto_flag
LEDGER_0003968,H7568048,W0,EXCHANGE_ONLY,audit_trace
LEDGER_0001271,H9162742,W1,EXCHANGE_ONLY,audit_trace
